,Minas Gerais - IDH,Minas Gerais - Consumo de Cimento (t),Minas Gerais - IDH Educacao,Minas Gerais - value,Minas Gerais - IDH Renda,Minas Gerais - Produção de Cimento (t),Minas Gerais - Desemprego,Minas Gerais - PIB - Estadual,Minas Gerais - PIB - Construção Civil,Minas Gerais - PIB - Per Capita,Minas Gerais - PIB - Preços de Mercado,Contratação  Home equity (Bi R$),Contratação  Livre (Bi R$),Contratação  FGTS (Bi R$),Contratação  SFH (Bi R$),Contratação Jurídico Livre (Bi R$),Contratação Jurídico SFH (Bi R$),Direcionamento Aquisição (R$),Direcionamento Construção (R$),Direcionamento Aplicação (R$),Ativos Problemáticos - Home equity (R$),Ativos Problemáticos - SFH (R$),Ativos Problemáticos - FGTS (R$),Carteira de Crédito – Home equity (R$),Carteira de Crédito – Livre (R$),Carteira de Crédito - FGTS (R$),Carteira de Crédito - SFH  (R$),Carteira de Crédito P.Jurídica - Comercial (R$),Carteira de Crédito P.Jurídica -  Livre (R$),Carteira de Crédito  P.Jurídica - FGTS (R$),Inadimplência - SFH (%),Inadimplência - FGTS (%),Inadimplência - Livre (%),Inadimplência - Comercial (%),Inadimplência - Home equity (%),Poupança e Empréstimo - SBPE (R$), Títulos - LH (R$), Títulos – LIG (R$), Títulos – CRI (R$), Títulos – LCI (R$), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Minas Gerais - IDH Longevidade
2004-2,0.7587509418921511,219.561,0.7030973691593139,0.3306173036766531,0.756427739339777,696.2192459157556,8.16863015239404,298575535.0132668,17495129.96878153,14.17911752753992,277852009.83589906,205406522.2573996,1591488218.6298296,959882558.6824805,3242646978.401554,439397713.2757202,601813291.4966843,130569020412.9618,10376894770.726276,117867701121.49696,431794730.7068678,3811109135.747315,4647186676.740942,9187032955.849554,76554813409.44434,66390157691.25513,71044146490.819,531325568.344198,19781129142.470634,20351664236.052074,1.5476760947654469,2.466609591091037,1.5725329630304696,0.3070871436661489,3.946090336956922,160892861691.6457,1216777279.1744282,7668766013.278598,19260838995.78532,82260693756.95403,0.6179234500456987,-6312.09879505444,6.535527586437412,1.2447554117031494,0.7877508194696684,179558325.62127495,7402970.507331404,0.813175865272952,0.8318750133906481
2004-3,0.7589116109795052,304.641,0.7034140527828299,0.3313371134350217,0.756214610144414,703.7686305311402,8.166692230742887,298902541.833854,17513660.11519487,14.183593880835849,277955714.7601519,206046755.96414092,1599990851.8320944,963680176.08381,3263569562.814433,442137809.5444663,604338927.6422707,130666764692.03474,10374614364.159338,118456241527.25378,429884337.0734981,3828505833.127668,4655498779.326583,9190553467.951271,76473162350.45947,66352665202.79086,71173269548.3168,538999831.2560511,19795633680.28814,20375507862.38107,1.5459293269643086,2.4671201461341523,1.5672925027040898,0.3082186156986471,3.936621294481406,162106292290.56564,1217736362.976702,7591572860.439557,19270952490.82013,82160436735.32416,0.6110282002564377,-6382.974247910342,6.304693993612522,1.2465540316260806,0.7462153668542578,179731875.3385749,7408420.067588114,0.7940584078254243,0.83226504917903
2004-4,0.7590722800668592,262.564,0.7037307364063459,0.331732900196302,0.7560014809490512,708.0032805311401,8.164754309091732,299229548.65444124,17532190.261608206,14.18807023413178,278059419.68440473,206729403.60741544,1609085435.7731352,967648453.7944056,3285915209.208772,445065812.42872953,607036593.7785321,130775238631.2927,10372433754.966415,119090182446.20894,427783636.4878807,3846596297.8948426,4664484034.491104,9194141533.616611,76385749496.16563,66314341169.71084,71314034457.38214,547217950.3350643,19811278092.850506,20401129776.07905,1.5440602924665947,2.467702814156368,1.5616928400604784,0.3094418637810726,3.926394491926674,163410305655.80234,1218762381.3799868,7508709662.463091,19282425485.03444,82046918027.04713,0.602215193421453,-6659.524121320398,6.092845857236326,1.2127250214234362,0.7161196882161044,179905425.05587482,7413869.627844823,0.7742123337341686,0.8326550849674118
2004-5,0.7592329491542132,299.209,0.704047420029862,0.3320590995496532,0.7557883517536882,715.4832561408963,8.162816387440577,299556555.4750285,17550720.408021543,14.192546587427708,278163124.6086576,207453245.17993212,1618754213.0935652,971789784.857042,3309642515.348115,448175632.0938666,609900473.577113,130894832929.73276,10370397088.804394,119768967176.74191,425500297.747779,3865373845.079823,4674139881.319183,9197802543.155518,76292728781.6046,66275535577.06798,71466578114.35387,555965458.9240329,19828051891.078487,20428498236.38238,1.5420725305071357,2.4683545234626814,1.5557449743610758,0.3107566860259063,3.9154360251673457,164803294844.15686,1219853387.6325216,7420291588.372207,19295334109.46664,81920782646.79195,0.5930166849467975,-6639.092352241397,5.906435456003245,1.2817627267622196,0.6877653033067546,180078974.77317473,7419319.188101534,0.7850618617376672,0.8330451207557936
2004-6,0.7593936182415674,303.866,0.704364103653378,0.3324447931580461,0.7555752225583252,719.9879942361343,8.160878465789423,299883562.29561573,17569250.55443488,14.197022940723638,278266829.5329104,208217060.6744005,1628979426.4339976,976106562.3144944,3334710078.996004,451461178.7052339,612924750.7096579,131025938286.352,10368548511.330164,120492039017.2323,423041989.6509562,3884831789.71359,4684463758.895497,9201541886.877935,76194254141.81813,66236598409.9152,71631037415.5708,565227890.3657517,19845944585.89284,20457581502.52745,1.5399695803207607,2.469072202358092,1.549459904867323,0.3121628805456293,3.903771990078034,166283652912.43027,1221007434.9825451,7326433807.189909,19309754495.1551,81782675609.22754,0.574475450988554,-6748.885395968077,5.749095649630231,1.4699831580623657,0.6580265037168356,180252524.49047467,7424768.748358243,0.7615174276282071,0.8334351565441754
2004-7,0.7595542873289214,320.442,0.704680787276894,0.3331931897835138,0.7553620933629623,726.889715166367,8.158940544138268,300210569.1162029,17587780.70084822,14.20149929401957,278370534.4571632,209019630.0835296,1639743318.4350452,980601179.2095376,3361076497.915983,454916362.428188,616103608.8478111,131168945400.14755,10366932168.200603,121258841266.0596,420416380.9951755,3904963446.827128,4695453106.304723,9205364955.093822,76090479511.848,66197879653.30542,71807549257.37181,574990778.0030156,19864945688.214306,20488347833.750626,1.5377549811423,2.469852779147596,1.5428486308406606,0.3136602454527225,3.8914284825333576,167849772917.42368,1222222576.678296,7227251487.939203,19325762773.13824,81633241929.0229,0.5593363966337657,-6784.497815846861,5.627047610968012,1.277476010520013,0.6207840323429428,180426074.2077746,7430218.308614952,0.7524273421975352,0.8338251923325573
2004-8,0.7597149564162754,318.685,0.70499747090041,0.3339039775265765,0.7551489641675994,730.778874257276,8.157002622487113,300537575.93679017,17606310.84726156,14.2059756473155,278474239.3814161,209859733.4000288,1651028131.737322,985276028.5849458,3388700369.8715954,458535093.4280854,619431231.663217,131324244970.11652,10365592205.072609,122068817221.6034,417631140.5782001,3925762131.45142,4707105362.631538,9209277138.11312,75981558826.73596,66159729292.29156,71996250536.09572,585239655.1786197,19885044708.96364,20520765489.28829,1.5354322722065834,2.470693182136193,1.535922151542529,0.315248578859667,3.878431598407932,169500047915.9381,1223496865.9680123,7122859799.643095,19343435074.45441,81473126620.847,0.5366506165950669,-6905.605509166634,5.503636763429107,1.3692624947884502,0.5909034137973287,180599623.9250745,7435667.868871663,0.7295497751500113,0.8342152281209392
2004-9,0.7598756255036295,315.841,0.705314154523926,0.3335193921498052,0.7549358349722364,733.8028075906094,8.15506470083596,300864582.7573774,17624840.993674897,14.21045200061143,278577944.3056689,210736150.6166073,1662816108.9814403,990133503.4834944,3417540292.6263843,462311281.87028265,622901802.8275201,131492227695.256,10364572767.60306,122921410182.2432,414693937.1977933,3947221158.617447,4719417966.960619,9213283826.245775,75867646021.52379,66122497311.92654,72197278148.08138,595960055.235359,19906231159.0616,20554802728.37681,1.5330049927484408,2.471590339628882,1.5286914662343694,0.3169276788789438,3.864807433576373,171232870964.77472,1224828356.0999331,7013373911.324589,19362847530.14204,81302974699.36882,0.521373108360619,-6995.222858870797,5.379865840264738,1.2233548439105977,0.5537026055994817,180773173.6423745,7441117.429128372,0.7095428699539044,0.834605263909321
2004-10,0.7600362945909835,300.355,0.7056308381474421,0.3330622289429346,0.7547227057768734,737.586742373218,8.153126779184804,301191589.57796466,17643371.140088234,14.21492835390736,278681649.22992176,211647661.72597444,1675089492.8080137,995175996.947958,3447554863.9438925,466238837.92013633,626509506.0123647,131673284274.56306,10363918001.44884,123816063446.35857,411612439.6517181,3969333843.356193,4732388358.376644,9217390409.80174,75748895031.25323,66086533697.26328,72410768989.6676,607137511.5160282,19928494549.42893,20590427810.252567,1.530476682002702,2.472541179930659,1.521167574177622,0.3186973436230338,3.850582083913298,173046635120.73453,1226215100.322297,6898908992.006691,19384076271.239483,81123431179.25732,0.5156158255655208,-7120.238857990881,5.253056293059425,1.0832535786578323,0.5450174136197448,180946723.3596744,7446566.989385082,0.6959159305043552,0.8349952996977028
2004-11,0.7601969636783376,297.717,0.7059475217709581,0.3325720076658961,0.7545095765815104,740.3391679051329,8.151188857533649,301518596.3985519,17661901.28650157,14.219404707203289,278785354.15417457,212593046.7208394,1687830525.8576553,1000405902.0211112,3478702681.587664,470311671.7430028,630248524.8893956,131867805407.03484,10363672052.266838,124752220312.32904,408394316.737738,3992093500.698641,4746013975.964289,9221602279.090963,75625459790.96608,66052188433.3547,72636859957.19324,618757557.3634225,19951824390.98639,20627608994.151936,1.527850879204197,2.473542631346524,1.5133614746337278,0.3205573712044181,3.835781645293322,174939733440.61862,1227655151.8833425,6779580210.712405,19407197428.78515,80935141075.18147,0.5071034898207396,-7055.497216121851,5.122595130555095,1.225778954987658,0.5310516981315352,181120273.0769744,7452016.549641792,0.6696517138276467,0.8353853354860847
