,Mato Grosso - Produção de Cimento (t),Mato Grosso - IDH Longevidade,Mato Grosso - Consumo de Cimento (t),Mato Grosso - IDH Educacao,Mato Grosso - Desemprego,Mato Grosso - IDH Renda,Mato Grosso - IDH,Mato Grosso - PIB - Estadual,Mato Grosso - PIB - Construção Civil,Mato Grosso - PIB - Per Capita,Mato Grosso - PIB - Preços de Mercado,Mato Grosso - value,Contratação  Home equity (Bi R$),Contratação  Livre (Bi R$),Contratação  FGTS (Bi R$),Contratação  SFH (Bi R$),Contratação Jurídico Livre (Bi R$),Contratação Jurídico SFH (Bi R$),Direcionamento Aquisição (R$),Direcionamento Construção (R$),Direcionamento Aplicação (R$),Ativos Problemáticos - Home equity (R$),Ativos Problemáticos - SFH (R$),Ativos Problemáticos - FGTS (R$),Carteira de Crédito – Home equity (R$),Carteira de Crédito – Livre (R$),Carteira de Crédito - FGTS (R$),Carteira de Crédito - SFH  (R$),Carteira de Crédito P.Jurídica - Comercial (R$),Carteira de Crédito P.Jurídica -  Livre (R$),Carteira de Crédito  P.Jurídica - FGTS (R$),Inadimplência - SFH (%),Inadimplência - FGTS (%),Inadimplência - Livre (%),Inadimplência - Comercial (%),Inadimplência - Home equity (%),Poupança e Empréstimo - SBPE (R$), Títulos - LH (R$), Títulos – LIG (R$), Títulos – CRI (R$), Títulos – LCI (R$), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%)
2017-12,93.4631119857835,0.7824094188089832,90.828,0.7559557826157195,7.121271133291107,0.733343018305646,0.7568350712354517,76751019.58460234,2824494.153536635,17.85689407055809,56174246.487461,0.4245065323719014,213885014.48769027,677380512.5086389,3810065542.856353,3360580408.1878576,164821967.0056787,427453879.89255166,471459137515.3831,35921750102.61236,449952563372.4618,1155434735.3645055,10297210323.455557,14397741471.012152,11422881950.251295,59712167738.04326,258141723191.39648,249417912263.4323,2240668855.31372,14908203595.233448,17029510907.273932,1.3660519220579366,1.91288500699957,1.476529729336201,1.3077918228500989,5.042576528298798,569117577164.3434,1074520829.1282156,3425875248.1109447,70429811850.5087,168201984446.14682,0.3672792049521601,-5909.074373680363,2.284012403287865,0.571256581329347,0.5118095547455561,199067057.8953033,7774175.356668091,0.3656492538346034
2018-1,93.08112013838368,0.7821185755838712,96.36,0.7559484803962491,7.109464637507791,0.7334013610910002,0.7567430087965388,76765591.25551,2824324.9676263034,17.858302703968686,56180803.36097593,0.4242247316056347,214096087.98950583,672639495.4720234,3782078023.227946,3426001742.3579087,165198103.05966476,446492371.4826109,475602427643.6436,36369149234.602936,450692008981.05023,1146375508.642702,10275426843.715528,14576508052.888067,11396840065.219774,59399865786.84545,260488731991.2798,250174928712.14,2239329976.2350245,14646229475.599333,16627901646.11116,1.3621257965995608,1.9268938107760247,1.4720906952342154,1.291634740431958,4.999907782283767,572099476704.4933,1068891323.9933236,3984694372.516865,70622560074.52621,167050649934.08096,0.359951630964679,-7507.112082157307,2.294901938999484,0.4677947795212472,0.5005214276758065,199141077.18729573,7771953.540587035,0.3696733376163027
2018-2,93.194701683199,0.7817709890352642,86.444,0.7558874840356146,7.103508491573336,0.733404401705326,0.7565819709843913,76740115.46317594,2824711.99968517,17.857176598744577,56174361.4086467,0.4239542976573427,214370655.36382413,668819372.1339651,3764599597.937541,3492109466.427303,167773737.9656438,452524497.498644,479854177528.33154,36827994376.02645,451428042027.0055,1136731403.1764796,10241195262.43737,14752009812.593151,11372329303.373957,59088627709.50639,262837593387.9642,250996469269.136,2237590504.40701,14382718628.512903,16233411533.423315,1.350755947631206,1.9340789708144737,1.4604598607694657,1.2791046063526397,4.947067953988546,575166745548.5654,1063992170.599952,4556961509.604239,70850326908.14911,165842586199.115,0.3566771125869745,-6365.607522997055,2.2942193420185,0.5842783280443261,0.4906301391980058,199211473.5675211,7769100.068513057,0.3678170211034027
2018-3,93.64363356098244,0.7814234024866571,94.285,0.7558264876749801,7.097552345638882,0.7334074423196517,0.7564209331722439,76714639.67084187,2825099.031744037,17.85605049352047,56167919.45631748,0.4236964194116961,215278507.31159604,663156953.393792,3765473271.058348,3564817426.758933,171251121.468306,459996966.53218055,484120146464.0316,37285309193.1678,452036615171.7628,1128653493.391115,10220035647.228874,14962975308.23461,11348718142.530348,58773770733.43772,265188432870.5496,251859893382.9629,2241486169.451774,14121491740.168848,15851144814.4724,1.346447168635572,1.955766109975368,1.459414318902475,1.2673339941891035,4.910082265237175,578439367060.7357,1058493286.0604156,5142791828.396054,71077479541.71034,164670430183.60666,0.3495024706940896,-6480.507442523628,2.2880364237022737,0.5418064917506906,0.5232126003004083,199281869.9477465,7766246.596439078,0.3683207687170368
2018-4,93.62684828534738,0.7810758159380501,98.986,0.7557654913143456,7.091596199704428,0.7334104829339775,0.7562598953600965,76689163.8785078,2825486.0638029035,17.85492438829636,56161477.50398825,0.4234523322124095,216347486.416918,656501762.8416828,3748227555.243662,3633068405.562104,171423807.22296768,458859814.5509572,488467130784.4846,37752480644.8656,452565082503.8329,1122605820.5594914,10217536976.588087,15218596274.182936,11326107741.855274,58463252327.49922,267533012253.2696,252790845980.8436,2248884446.9888144,13861956124.204304,15487020419.263376,1.343324138790623,1.9798659422023048,1.459891238877392,1.2652536546754594,4.88835561435877,582181077021.3098,1052509174.0863472,5742300497.91535,71279846496.01405,163547751259.7394,0.3395277178203111,-5470.865705466022,2.2785452626718063,0.5299240735031111,0.515815979242938,199352266.32797185,7763393.124365101,0.3659433206644214
2018-5,94.22850672485404,0.7807282293894431,88.072,0.7557044949537111,7.085640053769974,0.7334135235483032,0.756098857547949,76663688.08617373,2825873.0958617697,17.85379828307225,56155035.55165902,0.4232233193603809,223676797.4350744,648691069.5192217,3734371557.9875774,3695889484.578596,173422162.04310492,458611113.22146606,492919050565.2042,38230307115.60149,453068070305.3419,1118165005.7687209,10227768960.706406,15496975993.919054,11306573637.622135,58154276082.52155,269869702140.8292,253803676077.991,2263113557.601272,13611010461.340668,15135596225.40814,1.3352718725083426,1.9938916708379568,1.4542079678437694,1.2677001261053196,4.861079449790066,586572628255.246,1046268728.4474888,6355602687.185113,71470854401.27664,162464090129.3382,0.3254327923342447,-3673.4527105981465,2.263363965667075,0.5184624540086805,0.52140209156142,199422662.70819715,7760539.652291123,0.3622852915238501
2018-6,95.05877601166269,0.7803806428408361,141.01,0.7556434985930766,7.07968390783552,0.733416564162629,0.7559378197358015,76638212.29383966,2826260.1279206364,17.85267217784814,56148593.59932979,0.4230085019576468,228203462.94426933,644449523.4213554,3721349233.3053856,3788830490.358229,177000156.2477605,462504568.36657774,497447198064.7851,38720309256.46092,453516422440.47577,1114121453.186501,10240200064.97354,15765280008.233583,11290182716.755348,57846137413.58903,272194803163.9527,254898089313.50607,2279621866.946076,13359154909.848322,14790596431.069754,1.3206076129024873,1.9942186434226803,1.439515887400246,1.25543172077022,4.82118782401899,591272994456.4902,1041254469.205604,6982813565.228351,71673217658.47841,161306743387.1004,0.3206049076093145,-748.3523814090865,2.2443322394271,0.4924018064984997,0.5229599052733115,199493059.0884225,7757686.180217145,0.3628244523982531
2018-7,95.22689151788298,0.7800330562922291,122.652,0.755582502232442,7.073727761901067,0.7334196047769548,0.7557767819236542,76612736.5015056,2826647.159979503,17.851546072624032,56142151.647000566,0.4228090399776,231799645.1675448,642479877.0441059,3714678735.632984,3901264005.1113553,182696659.2426341,463295701.6535372,502082251213.4031,39221665907.41143,453933811574.8783,1110807310.277069,10260041179.566454,16048820356.66804,11276587832.457272,57536295237.96916,274522406568.43976,256077949523.3971,2293175722.3371577,13110820786.9063,14449810898.93373,1.3055868315538146,1.9934671961550845,1.4248970147884452,1.2403173348565557,4.777365737089136,596390030630.934,1036519780.546039,7624048301.068051,71937874437.68277,160128494222.9894,0.3000532519420144,680.1816531338795,2.2152710819180843,0.5175037746548349,0.5428312509061592,199563455.46864787,7754832.708143167,0.3648945585252806
2018-8,95.93805891378598,0.779685469743622,142.145,0.7555215058718076,7.067771615966612,0.7334226453912804,0.7556157441115068,76587260.70917153,2827034.19203837,17.850419967399926,56135709.69467134,0.4234424598925568,239076964.3842981,646375793.7739196,3709902177.0381913,4035640929.631771,188541882.5037132,468388011.0016554,506847768032.2394,39731224845.46442,454330286364.9503,1107987597.1023502,10273324235.483688,16323813272.048552,11285354136.957766,57232350078.81833,276854646744.7521,257366490186.06305,2302150327.7298927,12870935482.714134,14116733299.668833,1.2882178826739628,1.989771712437315,1.407581615084567,1.2174906747263854,4.724352758526623,601669910529.016,1032716799.3465405,8279422063.727253,72135172583.87552,158911615272.62387,0.2957038398442303,2763.919661232488,2.182490373260064,0.5663143037004692,0.6161288722138691,199633851.84887323,7751979.236069188,0.3657658514233124
2018-9,95.94669547365984,0.779337883195015,121.124,0.755460509511173,7.061815470032158,0.7334256860056062,0.7554547062993593,76561784.91683747,2827421.2240972365,17.849293862175816,56129267.742342114,0.4244156083942001,245297868.2641191,653468221.9996896,3680593682.123922,4179921174.708397,199913641.51623863,470332069.7362831,511743593745.97504,40249440624.35335,454662510921.55096,1105014682.3966932,10285651319.95531,16596735748.148146,11298136195.352116,56937485748.56019,279166051705.1908,258763588035.71384,2306475980.715873,12640779923.667828,13789324939.885157,1.2724322183630257,1.988078509155208,1.3922887050389583,1.2008530537692046,4.672233081153187,607105682036.0734,1029420804.6748576,8949050022.228945,72355396555.45276,157686832046.39807,0.308341137605073,4007.361037620176,2.152733596601701,0.541645975717225,0.6740366051135752,199704248.2290986,7749125.763995211,0.3852201759804345
