,Piauí - IDH Educacao
2019-10,0.6729817975844781
2019-11,0.6728469167162828
2019-12,0.6727120358480877
2020-1,0.6725771549798925
2020-2,0.6723694061539826
2020-3,0.6721616573280726
2020-4,0.6719539085021627
2020-5,0.6717461596762528
2020-6,0.6715384108503429
2020-7,0.671330662024433
2020-8,0.6711229131985231
2020-9,0.6709151643726132
2020-10,0.6707074155467033
2020-11,0.6704996667207934
2020-12,0.6702919178948835
2021-1,0.6700841690689736
2021-2,0.6698726855013143
2021-3,0.669661201933655
2021-4,0.6694497183659958
2021-5,0.6692382347983364
2021-6,0.6690267512306771
2021-7,0.6688152676630179
2021-8,0.6686037840953586
2021-9,0.6683923005276993
2021-10,0.66818081696004
2021-11,0.6679693333923806
2021-12,0.6677578498247214
2022-1,0.6675463662570621
