,Pernambuco - IDH Educacao
2014-11,0.6881116255501257
2014-12,0.6883201425991525
2015-1,0.6885286596481793
2015-2,0.689610064194425
2015-3,0.6906914687406709
2015-4,0.6917728732869166
2015-5,0.6928542778331623
2015-6,0.6939356823794081
2015-7,0.6950170869256538
2015-8,0.6960984914718996
2015-9,0.6971798960181453
2015-10,0.6982613005643911
2015-11,0.6993427051106369
2015-12,0.7004241096568826
2016-1,0.7015055142031283
2016-2,0.7015926771895157
2016-3,0.701679840175903
2016-4,0.7017670031622903
2016-5,0.7018541661486777
2016-6,0.701941329135065
2016-7,0.7020284921214524
2016-8,0.7021156551078398
2016-9,0.7022028180942271
2016-10,0.7022899810806145
2016-11,0.7023771440670018
2016-12,0.7024643070533891
2017-1,0.7025514700397765
2017-2,0.7026920114794717
2017-3,0.702832552919167
2017-4,0.7029730943588623
2017-5,0.7031136357985576
2017-6,0.7032541772382528
2017-7,0.7033947186779481
2017-8,0.7035352601176434
2017-9,0.7036758015573387
2017-10,0.7038163429970339
2017-11,0.7039568844367292
2017-12,0.7040974258764245
2018-1,0.7042379673161198
2018-2,0.7041261337351813
2018-3,0.7040143001542428
2018-4,0.7039024665733042
2018-5,0.7037906329923658
2018-6,0.7036787994114273
2018-7,0.7035669658304888
2018-8,0.7034551322495504
2018-9,0.7033432986686119
2018-10,0.7032314650876734
2018-11,0.7031196315067348
2018-12,0.7030077979257964
2019-1,0.7028959643448579
2019-2,0.702781539832319
2019-3,0.70266711531978
2019-4,0.702552690807241
2019-5,0.7024382662947021
2019-6,0.7023238417821631
2019-7,0.7022094172696242
2019-8,0.7020949927570852
2019-9,0.7019805682445462
2019-10,0.7018661437320073
2019-11,0.7017517192194683
2019-12,0.7016372947069294
2020-1,0.7015228701943904
2020-2,0.7013147101201055
2020-3,0.7011065500458206
2020-4,0.7008983899715356
2020-5,0.7006902298972507
2020-6,0.7004820698229658
2020-7,0.7002739097486809
2020-8,0.7000657496743959
2020-9,0.699857589600111
2020-10,0.6996494295258261
2020-11,0.6994412694515412
2020-12,0.6992331093772562
2021-1,0.6990249493029713
2021-2,0.6988584716461756
2021-3,0.69869199398938
2021-4,0.6985255163325843
2021-5,0.6983590386757886
2021-6,0.698192561018993
2021-7,0.6980260833621973
2021-8,0.6978596057054016
2021-9,0.697693128048606
2021-10,0.6975266503918103
2021-11,0.6973601727350146
2021-12,0.6971936950782189
2022-1,0.6970272174214233
