,Rio de Janeiro - IDH Educacao
2019-9,0.7617496159455271
2019-10,0.7616192560594237
2019-11,0.7614888961733204
2019-12,0.761358536287217
2020-1,0.7612281764011136
2020-2,0.7610783898586978
2020-3,0.760928603316282
2020-4,0.7607788167738663
2020-5,0.7606290302314505
2020-6,0.7604792436890346
2020-7,0.7603294571466188
2020-8,0.760179670604203
2020-9,0.7600298840617872
2020-10,0.7598800975193714
2020-11,0.7597303109769556
2020-12,0.7595805244345398
2021-1,0.759430737892124
2021-2,0.7594415768155491
2021-3,0.7594524157389744
2021-4,0.7594632546623996
2021-5,0.7594740935858247
2021-6,0.7594849325092499
2021-7,0.7594957714326751
2021-8,0.7595066103561003
2021-9,0.7595174492795255
2021-10,0.7595282882029506
2021-11,0.7595391271263758
2021-12,0.7595499660498011
2022-1,0.7595608049732262
