,Espírito Santo - IDH Educacao
2012-7,0.7239294177890011
2012-8,0.7241422805742611
2012-9,0.7243551433595211
2012-10,0.7245680061447811
2012-11,0.7247808689300411
2012-12,0.7249937317153011
2013-1,0.7252065945005611
2013-2,0.7253746958512595
2013-3,0.7255427972019578
2013-4,0.7257108985526561
2013-5,0.7258789999033545
2013-6,0.7260471012540528
2013-7,0.7262152026047513
2013-8,0.7263833039554496
2013-9,0.7265514053061479
2013-10,0.7267195066568463
2013-11,0.7268876080075446
2013-12,0.7270557093582429
2014-1,0.7272238107089413
2014-2,0.7273503649499756
2014-3,0.7274769191910099
2014-4,0.7276034734320442
2014-5,0.7277300276730786
2014-6,0.7278565819141128
2014-7,0.7279831361551472
2014-8,0.7281096903961816
2014-9,0.7282362446372158
2014-10,0.7283627988782502
2014-11,0.7284893531192845
2014-12,0.7286159073603188
2015-1,0.7287424616013531
2015-2,0.7293232042549396
2015-3,0.729903946908526
2015-4,0.7304846895621125
2015-5,0.731065432215699
2015-6,0.7316461748692854
2015-7,0.732226917522872
2015-8,0.7328076601764584
2015-9,0.7333884028300448
2015-10,0.7339691454836312
2015-11,0.7345498881372177
2015-12,0.7351306307908042
2016-1,0.7357113734443906
2016-2,0.7357394899098785
2016-3,0.7357676063753662
2016-4,0.735795722840854
2016-5,0.7358238393063419
2016-6,0.7358519557718297
2016-7,0.7358800722373176
2016-8,0.7359081887028053
2016-9,0.7359363051682931
2016-10,0.735964421633781
2016-11,0.7359925380992687
2016-12,0.7360206545647565
2017-1,0.7360487710302444
2017-2,0.736087019295625
2017-3,0.7361252675610056
2017-4,0.7361635158263862
2017-5,0.7362017640917669
2017-6,0.7362400123571475
2017-7,0.7362782606225281
2017-8,0.7363165088879087
2017-9,0.7363547571532894
2017-10,0.73639300541867
2017-11,0.7364312536840506
2017-12,0.7364695019494312
2018-1,0.7365077502148119
2018-2,0.7364585665043181
2018-3,0.7364093827938242
2018-4,0.7363601990833304
2018-5,0.7363110153728365
2018-6,0.7362618316623427
2018-7,0.7362126479518489
2018-8,0.736163464241355
2018-9,0.7361142805308613
2018-10,0.7360650968203674
2018-11,0.7360159131098736
2018-12,0.7359667293993797
2019-1,0.7359175456888859
2019-2,0.7358790422471351
2019-3,0.7358405388053841
2019-4,0.7358020353636333
2019-5,0.7357635319218824
2019-6,0.7357250284801315
2019-7,0.7356865250383806
2019-8,0.7356480215966298
2019-9,0.735609518154879
2019-10,0.735571014713128
2019-11,0.7355325112713772
2019-12,0.7354940078296263
2020-1,0.7354555043878754
2020-2,0.7352847127544503
2020-3,0.7351139211210251
2020-4,0.7349431294875999
2020-5,0.7347723378541747
2020-6,0.7346015462207496
2020-7,0.7344307545873243
2020-8,0.7342599629538992
2020-9,0.734089171320474
2020-10,0.7339183796870489
2020-11,0.7337475880536237
2020-12,0.7335767964201985
2021-1,0.7334060047867733
2021-2,0.7333408987624307
2021-3,0.7332757927380881
2021-4,0.7332106867137453
2021-5,0.7331455806894027
2021-6,0.7330804746650601
2021-7,0.7330153686407175
2021-8,0.7329502626163749
2021-9,0.7328851565920322
2021-10,0.7328200505676896
2021-11,0.7327549445433469
2021-12,0.7326898385190043
2022-1,0.7326247324946616
