,Pará - IDH Educacao
2019-9,0.670901893697489
2019-10,0.6708583357953282
2019-11,0.6708147778931675
2019-12,0.6707712199910066
2020-1,0.6707276620888458
2020-2,0.6704074171046704
2020-3,0.670087172120495
2020-4,0.6697669271363196
2020-5,0.6694466821521442
2020-6,0.6691264371679687
2020-7,0.6688061921837933
2020-8,0.668485947199618
2020-9,0.6681657022154425
2020-10,0.6678454572312671
2020-11,0.6675252122470917
2020-12,0.6672049672629162
2021-1,0.6668847222787408
2021-2,0.6667399095687313
2021-3,0.6665950968587218
2021-4,0.6664502841487122
2021-5,0.6663054714387027
2021-6,0.6661606587286931
2021-7,0.6660158460186836
2021-8,0.6658710333086741
2021-9,0.6657262205986646
2021-10,0.665581407888655
2021-11,0.6654365951786455
2021-12,0.665291782468636
2022-1,0.6651469697586264
