,Goiás - IDH Educacao
2019-9,0.7603256379842898
2019-10,0.7602565353984633
2019-11,0.7601874328126368
2019-12,0.7601183302268103
2020-1,0.7600492276409838
2020-2,0.7598223278503852
2020-3,0.7595954280597866
2020-4,0.759368528269188
2020-5,0.7591416284785895
2020-6,0.7589147286879908
2020-7,0.7586878288973922
2020-8,0.7584609291067936
2020-9,0.758234029316195
2020-10,0.7580071295255965
2020-11,0.7577802297349978
2020-12,0.7575533299443993
2021-1,0.7573264301538006
2021-2,0.7571698122004203
2021-3,0.75701319424704
2021-4,0.7568565762936597
2021-5,0.7566999583402794
2021-6,0.7565433403868991
2021-7,0.7563867224335188
2021-8,0.7562301044801385
2021-9,0.7560734865267582
2021-10,0.7559168685733779
2021-11,0.7557602506199975
2021-12,0.7556036326666172
2022-1,0.7554470147132369
