,Rondônia - IDH Educacao
2012-12,0.6749045744481854
2013-1,0.6751491200897867
2013-2,0.6755876556459657
2013-3,0.6760261912021448
2013-4,0.6764647267583239
2013-5,0.6769032623145029
2013-6,0.6773417978706819
2013-7,0.6777803334268611
2013-8,0.6782188689830402
2013-9,0.6786574045392192
2013-10,0.6790959400953982
2013-11,0.6795344756515773
2013-12,0.6799730112077564
2014-1,0.6804115467639354
2014-2,0.6807824602831295
2014-3,0.6811533738023234
2014-4,0.6815242873215175
2014-5,0.6818952008407114
2014-6,0.6822661143599055
2014-7,0.6826370278790994
2014-8,0.6830079413982935
2014-9,0.6833788549174875
2014-10,0.6837497684366814
2014-11,0.6841206819558755
2014-12,0.6844915954750694
2015-1,0.6848625089942635
2015-2,0.6857121313374579
2015-3,0.6865617536806523
2015-4,0.6874113760238467
2015-5,0.688260998367041
2015-6,0.6891106207102354
2015-7,0.6899602430534298
2015-8,0.6908098653966243
2015-9,0.6916594877398187
2015-10,0.692509110083013
2015-11,0.6933587324262074
2015-12,0.6942083547694018
2016-1,0.6950579771125962
2016-2,0.6950887193634492
2016-3,0.6951194616143022
2016-4,0.6951502038651552
2016-5,0.6951809461160082
2016-6,0.6952116883668612
2016-7,0.6952424306177143
2016-8,0.6952731728685673
2016-9,0.6953039151194202
2016-10,0.6953346573702732
2016-11,0.6953653996211262
2016-12,0.6953961418719793
2017-1,0.6954268841228323
2017-2,0.6953998150631567
2017-3,0.6953727460034812
2017-4,0.6953456769438057
2017-5,0.6953186078841301
2017-6,0.6952915388244546
2017-7,0.6952644697647792
2017-8,0.6952374007051036
2017-9,0.6952103316454281
2017-10,0.6951832625857526
2017-11,0.695156193526077
2017-12,0.6951291244664015
2018-1,0.695102055406726
2018-2,0.6950270709779891
2018-3,0.6949520865492521
2018-4,0.6948771021205152
2018-5,0.6948021176917784
2018-6,0.6947271332630414
2018-7,0.6946521488343045
2018-8,0.6945771644055676
2018-9,0.6945021799768306
2018-10,0.6944271955480937
2018-11,0.6943522111193569
2018-12,0.6942772266906199
2019-1,0.694202242261883
2019-2,0.6941052895517458
2019-3,0.6940083368416085
2019-4,0.6939113841314712
2019-5,0.693814431421334
2019-6,0.6937174787111967
2019-7,0.6936205260010595
2019-8,0.6935235732909223
2019-9,0.693426620580785
2019-10,0.6933296678706478
2019-11,0.6932327151605105
2019-12,0.6931357624503732
2020-1,0.693038809740236
2020-2,0.6926603158746317
2020-3,0.6922818220090274
2020-4,0.6919033281434233
2020-5,0.691524834277819
2020-6,0.6911463404122147
2020-7,0.6907678465466104
2020-8,0.6903893526810061
2020-9,0.6900108588154018
2020-10,0.6896323649497975
2020-11,0.6892538710841933
2020-12,0.688875377218589
2021-1,0.6884968833529848
2021-2,0.6884551930753559
2021-3,0.688413502797727
2021-4,0.688371812520098
2021-5,0.6883301222424691
2021-6,0.6882884319648402
2021-7,0.6882467416872113
2021-8,0.6882050514095824
2021-9,0.6881633611319535
2021-10,0.6881216708543246
2021-11,0.6880799805766957
2021-12,0.6880382902990668
2022-1,0.6879966000214379
