,Amapá - IDH Educacao
2012-4,0.689444632154882
2012-5,0.6896517384960718
2012-6,0.6898588448372615
2012-7,0.690065951178451
2012-8,0.6902730575196407
2012-9,0.6904801638608304
2012-10,0.6906872702020201
2012-11,0.6908943765432098
2012-12,0.6911014828843994
2013-1,0.6913085892255891
2013-2,0.6911510099841002
2013-3,0.6909934307426112
2013-4,0.6908358515011223
2013-5,0.6906782722596333
2013-6,0.6905206930181443
2013-7,0.6903631137766554
2013-8,0.6902055345351664
2013-9,0.6900479552936775
2013-10,0.6898903760521885
2013-11,0.6897327968106995
2013-12,0.6895752175692106
2014-1,0.6894176383277216
2014-2,0.6894274830383308
2014-3,0.68943732774894
2014-4,0.6894471724595492
2014-5,0.6894570171701584
2014-6,0.6894668618807676
2014-7,0.6894767065913767
2014-8,0.6894865513019859
2014-9,0.689496396012595
2014-10,0.6895062407232042
2014-11,0.6895160854338135
2014-12,0.6895259301444226
2015-1,0.6895357748550318
2015-2,0.6899008641893826
2015-3,0.6902659535237334
2015-4,0.6906310428580842
2015-5,0.690996132192435
2015-6,0.6913612215267858
2015-7,0.6917263108611367
2015-8,0.6920914001954874
2015-9,0.6924564895298382
2015-10,0.692821578864189
2015-11,0.6931866681985398
2015-12,0.6935517575328907
2016-1,0.6939168468672414
2016-2,0.6938025805556296
2016-3,0.6936883142440178
2016-4,0.693574047932406
2016-5,0.6934597816207941
2016-6,0.6933455153091823
2016-7,0.6932312489975705
2016-8,0.6931169826859588
2016-9,0.693002716374347
2016-10,0.6928884500627351
2016-11,0.6927741837511233
2016-12,0.6926599174395115
2017-1,0.6925456511278997
2017-2,0.6924891787879596
2017-3,0.6924327064480194
2017-4,0.6923762341080792
2017-5,0.692319761768139
2017-6,0.6922632894281989
2017-7,0.6922068170882587
2017-8,0.6921503447483186
2017-9,0.6920938724083785
2017-10,0.6920374000684383
2017-11,0.6919809277284982
2017-12,0.691924455388558
2018-1,0.6918679830486179
2018-2,0.6914881950414105
2018-3,0.691108407034203
2018-4,0.6907286190269956
2018-5,0.6903488310197881
2018-6,0.6899690430125807
2018-7,0.6895892550053733
2018-8,0.6892094669981658
2018-9,0.6888296789909584
2018-10,0.6884498909837509
2018-11,0.6880701029765435
2018-12,0.687690314969336
2019-1,0.6873105269621286
2019-2,0.6870022733785084
2019-3,0.6866940197948881
2019-4,0.6863857662112679
2019-5,0.6860775126276476
2019-6,0.6857692590440274
2019-7,0.6854610054604071
2019-8,0.6851527518767869
2019-9,0.6848444982931667
2019-10,0.6845362447095464
2019-11,0.6842279911259262
2019-12,0.683919737542306
2020-1,0.6836114839586858
2020-2,0.6834797527765546
2020-3,0.6833480215944234
2020-4,0.6832162904122923
2020-5,0.6830845592301611
2020-6,0.6829528280480299
2020-7,0.6828210968658988
2020-8,0.6826893656837676
2020-9,0.6825576345016364
2020-10,0.6824259033195053
2020-11,0.6822941721373741
2020-12,0.6821624409552429
2021-1,0.6820307097731118
2021-2,0.6822960939380596
2021-3,0.6825614781030074
2021-4,0.6828268622679552
2021-5,0.683092246432903
2021-6,0.6833576305978508
2021-7,0.6836230147627986
2021-8,0.6838883989277464
2021-9,0.6841537830926943
2021-10,0.6844191672576421
2021-11,0.6846845514225899
2021-12,0.6849499355875377
2022-1,0.6852153197524855
