,São Paulo - IDH Educacao
2017-11,0.8319997135380435
2017-12,0.8320419650418326
2018-1,0.8320842165456216
2018-2,0.8321075818224823
2018-3,0.8321309470993431
2018-4,0.8321543123762039
2018-5,0.8321776776530647
2018-6,0.8322010429299255
2018-7,0.8322244082067862
2018-8,0.832247773483647
2018-9,0.8322711387605077
2018-10,0.8322945040373686
2018-11,0.8323178693142294
2018-12,0.8323412345910901
2019-1,0.8323645998679509
2019-2,0.8322385741093747
2019-3,0.8321125483507986
2019-4,0.8319865225922225
2019-5,0.8318604968336463
2019-6,0.8317344710750701
2019-7,0.831608445316494
2019-8,0.8314824195579179
2019-9,0.8313563937993418
2019-10,0.8312303680407656
2019-11,0.8311043422821894
2019-12,0.8309783165236133
2020-1,0.8308522907650372
2020-2,0.8307299596344693
2020-3,0.8306076285039015
2020-4,0.8304852973733335
2020-5,0.8303629662427656
2020-6,0.8302406351121977
2020-7,0.8301183039816298
2020-8,0.829995972851062
2020-9,0.829873641720494
2020-10,0.8297513105899261
2020-11,0.8296289794593583
2020-12,0.8295066483287904
2021-1,0.8293843171982225
2021-2,0.8293114711163908
2021-3,0.8292386250345591
2021-4,0.8291657789527276
2021-5,0.8290929328708959
2021-6,0.8290200867890642
2021-7,0.8289472407072326
2021-8,0.8288743946254009
2021-9,0.8288015485435692
2021-10,0.8287287024617376
2021-11,0.828655856379906
2021-12,0.8285830102980744
2022-1,0.8285101642162427
