,Maranhão - IDH Educacao
2015-12,0.6870444964302231
2016-1,0.6884689248634636
2016-2,0.6885861136881868
2016-3,0.68870330251291
2016-4,0.6888204913376332
2016-5,0.6889376801623563
2016-6,0.6890548689870796
2016-7,0.6891720578118028
2016-8,0.689289246636526
2016-9,0.6894064354612492
2016-10,0.6895236242859724
2016-11,0.6896408131106956
2016-12,0.6897580019354188
2017-1,0.689875190760142
2017-2,0.6899196997810522
2017-3,0.6899642088019624
2017-4,0.6900087178228725
2017-5,0.6900532268437827
2017-6,0.6900977358646928
2017-7,0.6901422448856029
2017-8,0.6901867539065132
2017-9,0.6902312629274233
2017-10,0.6902757719483334
2017-11,0.6903202809692437
2017-12,0.6903647899901538
2018-1,0.690409299011064
2018-2,0.6904502785490265
2018-3,0.6904912580869892
2018-4,0.6905322376249519
2018-5,0.6905732171629144
2018-6,0.690614196700877
2018-7,0.6906551762388397
2018-8,0.6906961557768023
2018-9,0.6907371353147649
2018-10,0.6907781148527274
2018-11,0.6908190943906901
2018-12,0.6908600739286528
2019-1,0.6909010534666153
2019-2,0.6908018190231806
2019-3,0.6907025845797459
2019-4,0.6906033501363111
2019-5,0.6905041156928764
2019-6,0.6904048812494417
2019-7,0.6903056468060069
2019-8,0.6902064123625723
2019-9,0.6901071779191376
2019-10,0.6900079434757028
2019-11,0.6899087090322681
2019-12,0.6898094745888333
2020-1,0.6897102401453986
2020-2,0.6894353177222576
2020-3,0.6891603952991168
2020-4,0.6888854728759759
2020-5,0.6886105504528349
2020-6,0.688335628029694
2020-7,0.6880607056065531
2020-8,0.6877857831834122
2020-9,0.6875108607602712
2020-10,0.6872359383371303
2020-11,0.6869610159139894
2020-12,0.6866860934908485
2021-1,0.6864111710677075
2021-2,0.6861870132727659
2021-3,0.6859628554778243
2021-4,0.6857386976828828
2021-5,0.6855145398879411
2021-6,0.6852903820929994
2021-7,0.6850662242980579
2021-8,0.6848420665031163
2021-9,0.6846179087081746
2021-10,0.684393750913233
2021-11,0.6841695931182914
2021-12,0.6839454353233498
2022-1,0.6837212775284082
