,Paraná - IDH Educacao
2010-9,0.7531273132947487
2010-10,0.753344878306516
2010-11,0.7535624433182833
2010-12,0.7537800083300504
2011-1,0.7539975733418177
2011-2,0.7541625222524463
2011-3,0.7543274711630747
2011-4,0.7544924200737033
2011-5,0.7546573689843319
2011-6,0.7548223178949603
2011-7,0.7549872668055889
2011-8,0.7551522157162175
2011-9,0.755317164626846
2011-10,0.7554821135374745
2011-11,0.7556470624481031
2011-12,0.7558120113587316
2012-1,0.7559769602693601
2012-2,0.7562406891601196
2012-3,0.7565044180508791
2012-4,0.7567681469416385
2012-5,0.757031875832398
2012-6,0.7572956047231574
2012-7,0.7575593336139168
2012-8,0.7578230625046763
2012-9,0.7580867913954358
2012-10,0.7583505202861952
2012-11,0.7586142491769547
2012-12,0.7588779780677142
2013-1,0.7591417069584736
2013-2,0.7592954688123519
2013-3,0.7594492306662302
2013-4,0.7596029925201084
2013-5,0.7597567543739867
2013-6,0.759910516227865
2013-7,0.7600642780817433
2013-8,0.7602180399356216
2013-9,0.7603718017894999
2013-10,0.7605255636433782
2013-11,0.7606793254972565
2013-12,0.7608330873511348
2014-1,0.760986849205013
2014-2,0.7610839801022701
2014-3,0.7611811109995271
2014-4,0.7612782418967842
2014-5,0.7613753727940412
2014-6,0.7614725036912983
2014-7,0.7615696345885552
2014-8,0.7616667654858122
2014-9,0.7617638963830693
2014-10,0.7618610272803263
2014-11,0.7619581581775834
2014-12,0.7620552890748404
2015-1,0.7621524199720975
2015-2,0.7628992481290056
2015-3,0.7636460762859137
2015-4,0.7643929044428219
2015-5,0.76513973259973
2015-6,0.7658865607566381
2015-7,0.7666333889135463
2015-8,0.7673802170704545
2015-9,0.7681270452273625
2015-10,0.7688738733842706
2015-11,0.7696207015411788
2015-12,0.770367529698087
2016-1,0.771114357854995
2016-2,0.7711000726872299
2016-3,0.7710857875194647
2016-4,0.7710715023516994
2016-5,0.7710572171839343
2016-6,0.7710429320161691
2016-7,0.7710286468484039
2016-8,0.7710143616806386
2016-9,0.7710000765128735
2016-10,0.7709857913451084
2016-11,0.7709715061773431
2016-12,0.7709572210095779
2017-1,0.7709429358418127
2017-2,0.7709955338406144
2017-3,0.771048131839416
2017-4,0.7711007298382175
2017-5,0.7711533278370192
2017-6,0.7712059258358208
2017-7,0.7712585238346223
2017-8,0.771311121833424
2017-9,0.7713637198322256
2017-10,0.7714163178310273
2017-11,0.7714689158298289
2017-12,0.7715215138286304
2018-1,0.7715741118274321
2018-2,0.7715330066140035
2018-3,0.771491901400575
2018-4,0.7714507961871464
2018-5,0.7714096909737179
2018-6,0.7713685857602893
2018-7,0.7713274805468608
2018-8,0.7712863753334323
2018-9,0.7712452701200037
2018-10,0.7712041649065752
2018-11,0.7711630596931466
2018-12,0.7711219544797181
2019-1,0.7710808492662895
2019-2,0.771020855700125
2019-3,0.7709608621339605
2019-4,0.770900868567796
2019-5,0.7708408750016317
2019-6,0.7707808814354672
2019-7,0.7707208878693027
2019-8,0.7706608943031382
2019-9,0.7706009007369737
2019-10,0.7705409071708094
2019-11,0.7704809136046449
2019-12,0.7704209200384804
2020-1,0.7703609264723159
2020-2,0.7702045698546819
2020-3,0.770048213237048
2020-4,0.769891856619414
2020-5,0.76973550000178
2020-6,0.769579143384146
2020-7,0.769422786766512
2020-8,0.7692664301488781
2020-9,0.769110073531244
2020-10,0.7689537169136101
2020-11,0.7687973602959761
2020-12,0.7686410036783422
2021-1,0.7684846470607082
2021-2,0.7683974095384408
2021-3,0.7683101720161735
2021-4,0.7682229344939061
2021-5,0.7681356969716387
2021-6,0.7680484594493714
2021-7,0.7679612219271039
2021-8,0.7678739844048366
2021-9,0.7677867468825692
2021-10,0.7676995093603018
2021-11,0.7676122718380345
2021-12,0.7675250343157671
2022-1,0.7674377967934998
