,Distrito Federal - IDH Educacao
2009-3,0.7978365509442027
2009-4,0.7979978617648859
2009-5,0.7981591725855689
2009-6,0.7983204834062521
2009-7,0.7984817942269351
2009-8,0.7986431050476183
2009-9,0.7988044158683014
2009-10,0.7989657266889845
2009-11,0.7991270375096676
2009-12,0.7992883483303507
2010-1,0.7994496591510338
2010-2,0.7996059250264221
2010-3,0.7997621909018104
2010-4,0.7999184567771989
2010-5,0.8000747226525872
2010-6,0.8002309885279755
2010-7,0.8003872544033638
2010-8,0.8005435202787521
2010-9,0.8006997861541404
2010-10,0.8008560520295287
2010-11,0.8010123179049171
2010-12,0.8011685837803054
2011-1,0.8013248496556937
2011-2,0.8014362140923545
2011-3,0.8015475785290153
2011-4,0.801658942965676
2011-5,0.8017703074023368
2011-6,0.8018816718389976
2011-7,0.8019930362756583
2011-8,0.802104400712319
2011-9,0.8022157651489799
2011-10,0.8023271295856407
2011-11,0.8024384940223014
2011-12,0.8025498584589621
2012-1,0.8026612228956229
2012-2,0.8029019258323981
2012-3,0.8031426287691732
2012-4,0.8033833317059483
2012-5,0.8036240346427235
2012-6,0.8038647375794986
2012-7,0.8041054405162738
2012-8,0.804346143453049
2012-9,0.8045868463898241
2012-10,0.8048275493265993
2012-11,0.8050682522633744
2012-12,0.8053089552001496
2013-1,0.8055496581369247
2013-2,0.805629864096209
2013-3,0.8057100700554931
2013-4,0.8057902760147773
2013-5,0.8058704819740615
2013-6,0.8059506879333458
2013-7,0.8060308938926299
2013-8,0.8061110998519141
2013-9,0.8061913058111984
2013-10,0.8062715117704826
2013-11,0.8063517177297668
2013-12,0.8064319236890509
2014-1,0.8065121296483352
2014-2,0.8066198527708931
2014-3,0.8067275758934509
2014-4,0.8068352990160088
2014-5,0.8069430221385667
2014-6,0.8070507452611246
2014-7,0.8071584683836825
2014-8,0.8072661915062403
2014-9,0.8073739146287983
2014-10,0.8074816377513562
2014-11,0.807589360873914
2014-12,0.8076970839964719
2015-1,0.8078048071190298
2015-2,0.8082947687818373
2015-3,0.8087847304446447
2015-4,0.8092746921074522
2015-5,0.8097646537702596
2015-6,0.8102546154330671
2015-7,0.8107445770958746
2015-8,0.811234538758682
2015-9,0.8117245004214895
2015-10,0.8122144620842969
2015-11,0.8127044237471044
2015-12,0.8131943854099118
2016-1,0.8136843470727193
2016-2,0.8136213497020581
2016-3,0.8135583523313968
2016-4,0.8134953549607357
2016-5,0.8134323575900745
2016-6,0.8133693602194132
2016-7,0.813306362848752
2016-8,0.8132433654780908
2016-9,0.8131803681074296
2016-10,0.8131173707367684
2016-11,0.8130543733661072
2016-12,0.8129913759954459
2017-1,0.8129283786247847
2017-2,0.8130490481598209
2017-3,0.8131697176948572
2017-4,0.8132903872298934
2017-5,0.8134110567649298
2017-6,0.813531726299966
2017-7,0.8136523958350022
2017-8,0.8137730653700385
2017-9,0.8138937349050747
2017-10,0.814014404440111
2017-11,0.8141350739751472
2017-12,0.8142557435101835
2018-1,0.8143764130452197
2018-2,0.8144247192046532
2018-3,0.8144730253640866
2018-4,0.8145213315235201
2018-5,0.8145696376829537
2018-6,0.8146179438423871
2018-7,0.8146662500018206
2018-8,0.8147145561612541
2018-9,0.8147628623206875
2018-10,0.814811168480121
2018-11,0.8148594746395545
2018-12,0.814907780798988
2019-1,0.8149560869584215
2019-2,0.8147512088293186
2019-3,0.8145463307002158
2019-4,0.8143414525711129
2019-5,0.81413657444201
2019-6,0.8139316963129072
2019-7,0.8137268181838042
2019-8,0.8135219400547014
2019-9,0.8133170619255985
2019-10,0.8131121837964956
2019-11,0.8129073056673928
2019-12,0.8127024275382899
2020-1,0.8124975494091871
2020-2,0.8124028338744081
2020-3,0.8123081183396292
2020-4,0.8122134028048504
2020-5,0.8121186872700715
2020-6,0.8120239717352926
2020-7,0.8119292562005138
2020-8,0.8118345406657349
2020-9,0.811739825130956
2020-10,0.8116451095961771
2020-11,0.8115503940613982
2020-12,0.8114556785266194
2021-1,0.8113609629918405
2021-2,0.811318243014506
2021-3,0.8112755230371713
2021-4,0.8112328030598368
2021-5,0.8111900830825023
2021-6,0.8111473631051678
2021-7,0.8111046431278333
2021-8,0.8110619231504986
2021-9,0.8110192031731641
2021-10,0.8109764831958296
2021-11,0.810933763218495
2021-12,0.8108910432411605
2022-1,0.8108483232638259
