,Rio Grande do Norte - IDH Educacao
2016-10,0.6793608798470239
2016-11,0.6793847158743078
2016-12,0.6794085519015917
2017-1,0.6794323879288755
2017-2,0.6794508151101548
2017-3,0.6794692422914342
2017-4,0.6794876694727136
2017-5,0.679506096653993
2017-6,0.6795245238352723
2017-7,0.6795429510165516
2017-8,0.679561378197831
2017-9,0.6795798053791103
2017-10,0.6795982325603898
2017-11,0.6796166597416691
2017-12,0.6796350869229485
2018-1,0.6796535141042278
2018-2,0.6795751316353205
2018-3,0.679496749166413
2018-4,0.6794183666975057
2018-5,0.6793399842285983
2018-6,0.679261601759691
2018-7,0.6791832192907836
2018-8,0.6791048368218762
2018-9,0.6790264543529688
2018-10,0.6789480718840615
2018-11,0.678869689415154
2018-12,0.6787913069462467
2019-1,0.6787129244773393
2019-2,0.6786349920870162
2019-3,0.678557059696693
2019-4,0.6784791273063697
2019-5,0.6784011949160466
2019-6,0.6783232625257234
2019-7,0.6782453301354002
2019-8,0.6781673977450771
2019-9,0.6780894653547539
2019-10,0.6780115329644307
2019-11,0.6779336005741075
2019-12,0.6778556681837843
2020-1,0.6777777357934611
2020-2,0.6775336277312903
2020-3,0.6772895196691197
2020-4,0.6770454116069489
2020-5,0.6768013035447782
2020-6,0.6765571954826074
2020-7,0.6763130874204366
2020-8,0.6760689793582659
2020-9,0.6758248712960951
2020-10,0.6755807632339245
2020-11,0.6753366551717537
2020-12,0.675092547109583
2021-1,0.6748484390474122
2021-2,0.6748094120704987
2021-3,0.6747703850935851
2021-4,0.6747313581166716
2021-5,0.674692331139758
2021-6,0.6746533041628445
2021-7,0.6746142771859309
2021-8,0.6745752502090174
2021-9,0.6745362232321039
2021-10,0.6744971962551903
2021-11,0.6744581692782768
2021-12,0.6744191423013632
2022-1,0.6743801153244497
