,Piauí - PIB - Estadual,Piauí - PIB - Construção Civil,Piauí - PIB - Per Capita,Piauí - PIB - Preços de Mercado
2009-9,23632492.257640522,1433689.3212506406,6.316875520989439,19535346.074543003
2009-10,23687933.528163146,1435600.3680122679,6.321817605165402,19553097.928282578
2009-11,23743374.79868577,1437511.414773895,6.3267596893413645,19570849.782022156
2009-12,23798816.069208395,1439422.4615355222,6.331701773517327,19588601.63576173
2010-1,23854257.33973102,1441333.5082971496,6.33664385769329,19606353.489501305
2010-2,23905921.56037159,1441936.3427592386,6.340729144625397,19621252.409563437
2010-3,23957585.781012163,1442539.1772213278,6.344814431557502,19636151.32962557
2010-4,24009250.001652732,1443142.011683417,6.3488997184896085,19651050.2496877
2010-5,24060914.222293302,1443744.846145506,6.352985005421714,19665949.169749837
2010-6,24112578.442933872,1444347.680607595,6.3570702923538205,19680848.08981197
2010-7,24164242.663574442,1444950.5150696842,6.361155579285926,19695747.0098741
2010-8,24215906.884215016,1445553.3495317735,6.365240866218032,19710645.929936234
2010-9,24267571.104855586,1446156.1839938625,6.369326153150139,19725544.849998366
2010-10,24319235.325496156,1446759.0184559515,6.373411440082244,19740443.770060502
2010-11,24370899.54613673,1447361.8529180407,6.377496727014351,19755342.690122634
2010-12,24422563.7667773,1447964.68738013,6.381582013946456,19770241.610184766
2011-1,24474227.98741787,1448567.521842219,6.385667300878563,19785140.5302469
2011-2,24519989.590369232,1448763.7912148149,6.3885070440163485,19796214.59521357
2011-3,24565751.1933206,1448960.0605874108,6.391346787154134,19807288.660180237
2011-4,24611512.79627196,1449156.3299600065,6.39418653029192,19818362.72514691
2011-5,24657274.399223324,1449352.5993326025,6.397026273429706,19829436.79011358
2011-6,24703036.00217469,1449548.8687051984,6.399866016567492,19840510.855080247
2011-7,24748797.605126053,1449745.138077794,6.402705759705277,19851584.920046918
2011-8,24794559.208077416,1449941.40745039,6.405545502843062,19862658.98501359
2011-9,24840320.811028782,1450137.676822986,6.408385245980848,19873733.049980257
2011-10,24886082.413980145,1450333.946195582,6.411224989118634,19884807.114946928
2011-11,24931844.016931508,1450530.2155681779,6.41406473225642,19895881.1799136
2011-12,24977605.619882874,1450726.4849407736,6.4169044753942055,19906955.244880266
2012-1,25023367.222834237,1450922.7543133695,6.419744218531991,19918029.309846938
2012-2,25065386.199676987,1451350.5863543656,6.422403923427146,19928127.552498523
2012-3,25107405.176519737,1451778.4183953614,6.4250636283223015,19938225.795150105
2012-4,25149424.153362483,1452206.2504363575,6.427723333217457,19948324.03780169
2012-5,25191443.130205233,1452634.0824773535,6.430383038112612,19958422.280453276
2012-6,25233462.107047983,1453061.9145183493,6.433042743007767,19968520.523104858
2012-7,25275481.083890732,1453489.7465593454,6.435702447902922,19978618.765756443
2012-8,25317500.060733482,1453917.5786003415,6.438362152798077,19988717.00840803
2012-9,25359519.037576232,1454345.4106413373,6.441021857693232,19998815.25105961
2012-10,25401538.014418982,1454773.2426823333,6.443681562588387,20008913.493711196
2012-11,25443556.991261728,1455201.0747233294,6.446341267483542,20019011.73636278
2012-12,25485575.968104478,1455628.9067643252,6.449000972378697,20029109.979014363
2013-1,25527594.944947228,1456056.7388053213,6.4516606772738525,20039208.22166595
2013-2,25564873.091104195,1456287.6120249245,6.454118767887115,20048148.032320075
2013-3,25602151.23726116,1456518.4852445275,6.456576858500377,20057087.842974205
2013-4,25639429.38341813,1456749.3584641307,6.459034949113639,20066027.65362833
2013-5,25676707.5295751,1456980.2316837336,6.461493039726901,20074967.464282457
2013-6,25713985.675732065,1457211.1049033368,6.463951130340163,20083907.274936587
2013-7,25751263.821889035,1457441.9781229398,6.466409220953425,20092847.085590713
2013-8,25788541.968046002,1457672.851342543,6.4688673115666875,20101786.89624484
2013-9,25825820.11420297,1457903.7245621462,6.47132540217995,20110726.70689897
2013-10,25863098.260359935,1458134.5977817492,6.473783492793212,20119666.517553095
2013-11,25900376.406516902,1458365.4710013524,6.476241583406474,20128606.32820722
2013-12,25937654.552673873,1458596.3442209554,6.478699674019736,20137546.13886135
2014-1,25974932.69883084,1458827.2174405586,6.481157764632998,20146485.949515477
2014-2,25996777.642633047,1457546.3762777536,6.481204304621384,20147425.987477325
2014-3,26018622.58643525,1456265.5351149484,6.48125084460977,20148366.025439173
2014-4,26040467.53023746,1454984.6939521432,6.481297384598156,20149306.06340102
2014-5,26062312.474039663,1453703.8527893382,6.481343924586541,20150246.101362865
2014-6,26084157.41784187,1452423.0116265332,6.481390464574927,20151186.139324713
2014-7,26106002.361644074,1451142.170463728,6.481437004563313,20152126.17728656
2014-8,26127847.305446282,1449861.3293009228,6.481483544551698,20153066.21524841
2014-9,26149692.24924849,1448580.4881381178,6.481530084540084,20154006.253210258
2014-10,26171537.193050694,1447299.6469753128,6.481576624528469,20154946.291172102
2014-11,26193382.1368529,1446018.8058125076,6.481623164516855,20155886.32913395
2014-12,26215227.080655105,1444737.9646497024,6.481669704505241,20156826.3670958
2015-1,26237072.024457313,1443457.1234868974,6.481716244493627,20157766.405057646
2015-2,26255072.930536084,1442623.084048024,6.482392149324853,20160382.397832133
2015-3,26273073.836614855,1441789.0446091504,6.48306805415608,20162998.390606616
2015-4,26291074.742693625,1440955.0051702769,6.483743958987306,20165614.383381102
2015-5,26309075.648772392,1440120.9657314033,6.484419863818532,20168230.376155585
2015-6,26327076.554851163,1439286.9262925298,6.485095768649759,20170846.36893007
2015-7,26345077.460929934,1438452.8868536563,6.485771673480985,20173462.361704558
2015-8,26363078.367008705,1437618.8474147827,6.4864475783122115,20176078.35447904
2015-9,26381079.273087475,1436784.8079759092,6.487123483143439,20178694.347253527
2015-10,26399080.179166242,1435950.7685370357,6.487799387974665,20181310.34002801
2015-11,26417081.085245013,1435116.7290981621,6.488475292805891,20183926.332802497
2015-12,26435081.991323784,1434282.6896592886,6.489151197637118,20186542.32557698
2016-1,26453082.897402555,1433448.650220415,6.489827102468344,20189158.318351466
2016-2,26464339.23335595,1433455.0754915145,6.490864943272658,20192597.3276848
2016-3,26475595.569309346,1433461.5007626137,6.491902784076972,20196036.33701814
2016-4,26486851.905262742,1433467.926033713,6.492940624881286,20199475.346351475
2016-5,26498108.241216138,1433474.3513048124,6.4939784656856006,20202914.35568481
2016-6,26509364.577169534,1433480.7765759118,6.495016306489915,20206353.365018148
2016-7,26520620.91312293,1433487.201847011,6.496054147294229,20209792.374351483
2016-8,26531877.24907632,1433493.6271181102,6.497091988098543,20213231.383684818
2016-9,26543133.585029718,1433500.0523892096,6.498129828902857,20216670.393018156
2016-10,26554389.920983113,1433506.477660309,6.499167669707171,20220109.40235149
2016-11,26565646.25693651,1433512.9029314083,6.500205510511485,20223548.411684826
2016-12,26576902.592889905,1433519.3282025075,6.501243351315799,20226987.421018165
2017-1,26588158.9288433,1433525.753473607,6.502281192120114,20230426.4303515
2017-2,26586926.04026044,1433667.8218216598,6.501967445767142,20229207.81052139
2017-3,26585693.151677582,1433809.8901697127,6.50165369941417,20227989.19069128
2017-4,26584460.263094723,1433951.9585177656,6.501339953061199,20226770.570861172
2017-5,26583227.374511868,1434094.0268658185,6.501026206708227,20225551.951031063
2017-6,26581994.48592901,1434236.0952138714,6.500712460355255,20224333.331200954
2017-7,26580761.59734615,1434378.1635619244,6.500398714002284,20223114.711370844
2017-8,26579528.70876329,1434520.2319099773,6.500084967649311,20221896.091540735
2017-9,26578295.82018043,1434662.3002580302,6.499771221296339,20220677.471710626
2017-10,26577062.931597576,1434804.368606083,6.499457474943368,20219458.851880517
2017-11,26575830.043014716,1434946.436954136,6.499143728590396,20218240.232050408
2017-12,26574597.154431857,1435088.505302189,6.4988299822374245,20217021.6122203
2018-1,26573364.265848998,1435230.5736502418,6.498516235884453,20215802.99239019
2018-2,26555652.778369118,1435628.4370391215,6.496610919438331,20209061.31923105
2018-3,26537941.290889233,1436026.300428001,6.494705602992211,20202319.646071903
2018-4,26520229.803409353,1436424.1638168807,6.492800286546089,20195577.972912762
2018-5,26502518.315929472,1436822.0272057604,6.490894970099968,20188836.299753617
2018-6,26484806.828449592,1437219.8905946398,6.488989653653847,20182094.626594476
2018-7,26467095.34096971,1437617.7539835195,6.487084337207726,20175352.95343533
2018-8,26449383.853489827,1438015.6173723992,6.4851790207616045,20168611.28027619
2018-9,26431672.366009947,1438413.4807612787,6.483273704315483,20161869.60711705
2018-10,26413960.878530066,1438811.3441501583,6.481368387869362,20155127.933957905
2018-11,26396249.391050182,1439209.207539038,6.479463071423241,20148386.260798763
2018-12,26378537.9035703,1439607.0709279175,6.47755775497712,20141644.58763962
2019-1,26360826.41609042,1440004.9343167972,6.475652438530998,20134902.914480478
2019-2,26329602.8874362,1440383.0844371568,6.472970473568006,20125215.658605486
2019-3,26298379.35878198,1440761.2345575164,6.470288508605015,20115528.4027305
2019-4,26267155.83012776,1441139.3846778758,6.467606543642023,20105841.146855507
2019-5,26235932.30147354,1441517.5347982354,6.464924578679031,20096153.890980516
2019-6,26204708.772819318,1441895.684918595,6.46224261371604,20086466.635105528
2019-7,26173485.244165096,1442273.8350389546,6.4595606487530475,20076779.379230537
2019-8,26142261.715510875,1442651.9851593142,6.456878683790055,20067092.123355545
2019-9,26111038.186856654,1443030.1352796739,6.454196718827064,20057404.867480557
2019-10,26079814.658202432,1443408.2854000335,6.451514753864072,20047717.611605566
2019-11,26048591.129548214,1443786.4355203928,6.44883278890108,20038030.355730575
2019-12,26017367.600893993,1444164.5856407525,6.446150823938089,20028343.099855587
2020-1,25986144.07223977,1444542.735761112,6.443468858975097,20018655.843980595
2020-2,25936063.53873714,1443777.9869825237,6.439880600770364,20005920.610156845
2020-3,25885983.00523451,1443013.2382039356,6.43629234256563,19993185.376333095
2020-4,25835902.471731875,1442248.4894253472,6.432704084360897,19980450.14250935
2020-5,25785821.938229244,1441483.7406467588,6.429115826156164,19967714.9086856
2020-6,25735741.404726613,1440718.9918681707,6.4255275679514305,19954979.67486185
2020-7,25685660.87122398,1439954.2430895823,6.421939309746698,19942244.4410381
2020-8,25635580.337721348,1439189.494310994,6.418351051541965,19929509.207214348
2020-9,25585499.804218717,1438424.7455324058,6.414762793337231,19916773.973390598
2020-10,25535419.270716086,1437659.9967538174,6.411174535132498,19904038.739566848
2020-11,25485338.737213455,1436895.247975229,6.407586276927765,19891303.5057431
2020-12,25435258.20371082,1436130.499196641,6.403998018723032,19878568.27191935
2021-1,25385177.67020819,1435365.7504180525,6.400409760518299,19865833.0380956
2021-2,25324922.867593277,1434460.3333681147,6.396072855356718,19850344.647249404
2021-3,25264668.064978365,1433554.916318177,6.391735950195138,19834856.256403208
2021-4,25204413.262363452,1432649.4992682391,6.387399045033558,19819367.865557007
2021-5,25144158.45974854,1431744.0822183012,6.383062139871978,19803879.47471081
2021-6,25083903.657133628,1430838.6651683636,6.378725234710397,19788391.083864614
2021-7,25023648.85451871,1429933.2481184257,6.374388329548816,19772902.693018414
2021-8,24963394.0519038,1429027.8310684878,6.370051424387237,19757414.302172218
2021-9,24903139.249288887,1428122.4140185502,6.365714519225656,19741925.91132602
2021-10,24842884.446673974,1427216.9969686123,6.361377614064076,19726437.520479824
2021-11,24782629.644059062,1426311.5799186744,6.357040708902495,19710949.129633628
2021-12,24722374.84144415,1425406.1628687368,6.352703803740916,19695460.738787428
2022-1,24662120.038829237,1424500.745818799,6.348366898579335,19679972.34794123
