DateTime,Contratação Comercial (Bi R$),Contratação  Home equity (Bi R$),Contratação  Livre (Bi R$),Contratação  FGTS (Bi R$),Contratação  SFH (Bi R$),Contratação Jurídico Comercial (Bi R$),Contratação Jurídico FGTS (Bi R$),Contratação Jurídico Livre (Bi R$),Contratação Jurídico SFH (Bi R$),Direcionamento Aquisição (R$),Direcionamento Construção (R$),Direcionamentos Reformas e Ampliações (R$),Direcionamento Aplicação (R$),Ativos Problemáticos - Comercial (R$),Ativos Problemáticos - Home equity (R$),Ativos Problemáticos - Livre (R$),Ativos Problemáticos - SFH (R$),Ativos Problemáticos - FGTS (R$),Ativos Problemáticos P.Jurídica - Comercial (R$),Ativos Problemáticos P.Jurídica - Home equity (R$),Ativos Problemáticos P.Jurídica - Livre (R$),Ativos Problemáticos P.Jurídica - SFH (R$),Carteira de Crédito - Comercial (R$),Carteira de Crédito – Home equity (R$),Carteira de Crédito – Livre (R$),Carteira de Crédito - FGTS (R$),Carteira de Crédito - SFH  (R$),Carteira de Crédito P.Jurídica - Comercial (R$),Carteira de Crédito P.Jurídica - Home equity (R$),Carteira de Crédito P.Jurídica -  Livre (R$),Carteira de Crédito  P.Jurídica - FGTS (R$),Inadimplência - SFH (%),Inadimplência - FGTS (%),Inadimplência - Livre (%),Inadimplência - Comercial (%),Inadimplência - Home equity (%),Inadimplência P.Jurídica - SFH (%),Inadimplência P.Jurídica - FGTS (%),Inadimplência P.Jurídica - Livre (%),Inadimplência P.Jurídica - Comercial (%),Poupança e Empréstimo - SBPE (R$),Títulos - LH (R$), Títulos – LIG (R$), Títulos – CRI (R$), Títulos – LCI (R$),Imóvel Área - Privativa (m²),Imóvel Área - Total (m²),Número de Apartamentos,Número de Casas,Valor Imóveis - Avaliação (R$),Valor Imóveis - Compra (R$),Quantidade de imóves - Condomínio,Quantidade de imóves – Isolado
2019-02-28,21151724.33,169476559.31,422839647.98,4059302989.63,3842248177.03,8498598.31,510006863.69,102096774.67,458337674.75,550402098381.42,44195302177.34,641173646.85,451008279251.27,34105931.76,963235437.07,2007483211.26,9727468102.86,15795912022.86,127411846.15,2609564293.18,2744220914.43,4850984558.6,2184716615.46,10919810339.45,55833736135.56,291956131566.82,255132257443.88,2475472501.79,14928627801.51,10236354274.77,11185117249.82,1.16,1.84,1.27,0.9,4.43,5.41,2.54,9.56,1.23,610465006890,973128844.07,3580047794.23,69953773269.99,153429269191.31,57.75,79.14,19136.0,44499.0,166000,160400,30080.0,33555.0
2019-03-31,20811188.58,175950241.87,350406569.04,3338212090.51,3591948468.01,18031101.79,46047780.35,84515433.97,541984758.25,552629631103.66,44447955971.9,638506544.27,448467868192.12,33823336.04,952173407.8,2045449200.92,9810644220.1,16241328544.79,136782053.49,2521613286.84,2770296436.75,4954281404.17,2234691915.6,10899576824.83,55310314866.07,294194185784.95,256111792731.18,2522050998.95,14735579979.9,10183713702.97,10885593417.89,1.19,2,1.33,0.81,4.39,4.69,2.8,11.64,1.26,614358561990,991172238.3,4541879723.3,70093976219.65,152074610562.81,58.72,81.16,16289.0,40596.0,170000,165000,28206.0,28679.0
2019-04-30,41935529.23,210932509.68,435577966.49,3928367668.93,3997890779.45,1369600,205082217.95,85657007.47,268654194.44,554702404004.55,44736299957.23,634265167.26,445686306178.09,33807266.27,901924926.24,1984646644.39,9823294268.57,16684561583.65,130184505.38,2490852406.28,2729610126.61,5281897195.6,2417801664.86,10849017773.89,54512366891.03,296309100943.34,256911161670.54,2494585919.74,14564033627.83,10249982382.68,10501135473.66,1.18,2.03,1.28,0.7,3.86,5.34,2.85,12.72,1.57,613839163320,991077957.14,5848671416.94,69619630287.48,151973575815.24,59.08,81.89,16583.0,41017.0,173685,169993.28,27634.0,29966.0
2019-05-31,46025265.23,264892794.73,471300821.46,3966980684.63,4496104111.56,434670830.5,371337846.67,438468715.84,1419768020.17,557060873488.11,44998904131.87,630248059.79,445247726184.22,34620543.12,893632083.2,2000422801.89,9907529398.9,17029470046.64,153535726.51,2458698376.91,2707633839.69,5444548974.72,2592920804.2,10857290263.72,53812285485.88,298538539364.92,258109375836.87,2226161682.23,14346935871.45,9898652022.16,10174507445.07,1.19,2.07,1.27,0.67,3.79,5.38,3.19,12.82,3.79,615687332300,974017027.33,6771358503.9,69286526002.67,152396611310.33,59.48,81.85,18763.0,44736.0,178000,170000,30609.0,32890.0
2019-06-30,56752779.66,228221278.88,487133785.82,4284548817.94,4322066704.01,583673052.67,435251145.26,290620504.7,509562952.96,561066435886.49,45350448468.81,627188970.26,447323418198.12,34192053.86,883954644.7,1952011045.29,10000025224.11,17335987353.92,151644437.51,2389088192.31,2630611267.67,5267556276.19,2866237754.76,10889498132.65,53254147074.47,301435575048.97,259843124648.64,2118078444.04,14011833443.7,9894811274.46,9631899690.12,1.15,1.95,1.23,0.58,3.63,5.33,2.66,11.72,3.72,620773176500,978957418.85,7686014892.99,70558945717.53,150787829717.97,60,81,19241.0,43840.0,170000,167000,30161.0,32920.0
2019-07-31,52367513.86,264634209.53,497367583.19,3945746758.7,4715701470.21,44986543.77,476463248.21,326605822.16,695157527.48,563732857445.94,45813289465.21,623821277.2,448532141801.44,35006001.53,902475865.91,2008432977.19,10154456076.4,17993879619.32,153924768.03,2237410008.25,2653553308.24,5189659062.84,2955816103.21,10912669293.32,52642890330.38,303771491752.68,261114003765.12,2120760523.55,13597187838.51,9542550021.62,9261489180.49,1.21,2.09,1.35,0.56,3.85,6.45,2.93,11.34,5.51,621277398380,992258535.84,7846464358.21,71467101864.68,147992676943.69,61.27,82.6,19969.0,41088.0,180000,175000,27841.0,33216.0
2019-08-31,36409038.55,271366363.64,488341402.65,1251692002.67,4928405392.44,188319946.59,390871564.08,133997312.23,577758511.24,564932018251.96,46800436338.31,619686294.06,449887112829.81,34141803.1,885853062.53,1965804543.54,10067360524.94,18130256633.78,150030947.05,2017366230.94,3347096609.58,5268031461.12,2986107815.5,10934349386.18,52158153955.77,304489677714.93,262890795039.09,2079801751.72,13454238789.38,9192948639.44,8862173172.21,1.21,2.13,1.33,0.6,3.8,7.03,2.81,11.3,9.69,624637354860,999338603.21,8816380505.95,72805497609.8,147271233989.92,72.13,100.31,10727.0,25327.0,256000,245266.96,16269.0,19785.0
2019-09-30,37915296.12,280189176.91,536085913.43,3117296822.87,5011175825.97,458030047.38,259227125.65,329575996.94,696118010.51,568681778359.25,46950605700.47,616045442.05,451468452421.02,27020886.91,841616330.69,1824958490.04,9800799661.81,18340158584.24,146077297.2,1980121021.66,3303619063.08,5221177982.01,1658947496.62,10979811007.56,53107640741.75,306528397115.03,265285679159.49,2169287741.52,12777446613.97,9148931297.76,8658485346.39,1.19,2.1,1.21,1.14,3.56,8.54,2.13,13.07,7.88,634944308360,1007079408.43,9661932150.64,73300594955.56,147718607405.71,58.19,81.09,18285.0,46109.0,171000,169400,32817.0,31577.0
2019-10-31,37552061.3,289795657.9,614629654.31,5105870906.41,5608938495.72,85452001,473107182.63,373251290.39,773220229.68,572641634064.28,47296252884.21,610816145.49,448622832140.98,27982138.53,843607438.82,1745455269.14,9414042651.53,17696045960.77,130770045.22,1995666845.76,2980059075.44,5017723507.16,1653942773.31,10993127993.74,52669074907.18,309303733066.38,267427492940.17,2206012734.41,12179356079.02,8894010496.22,8284820544.79,1.14,2.02,1.18,1.16,3.47,9.22,2.66,13.05,5.65,636804364310,1021194763.94,10214750028.6,74098245986.14,147024464503.96,58.34,80.52,23109.0,57212.0,170000,165750,40561.0,39760.0
2019-11-30,41927920,246673218.56,529619996.65,4207726813.81,4790906998.64,7396219.27,349460839.19,406765381.89,765331477.7,576097440901.38,47693029713,606579798.15,449900638962.48,26386377.71,843764837.23,1784819808.24,9580357650.48,18114629788.39,110130931.23,2008843282.01,2542501738.26,4808413102.59,1658800356.93,10952186299.06,52283891599.48,312089458024.78,269477622984.87,2249261886.59,11023433424.37,8810773030.13,8067843675.83,1.19,2.12,1.3,1.14,3.59,8.91,1.76,12.15,2.7,641967805670,1036497410.55,10673807103.97,74389738988.74,145375178754.37,60.56,80.37,22964.0,46310.0,175000,170000,31134.0,38140.0
