Ano,Contratação  Home equity (Bi R$),Contratação  Livre (Bi R$),Contratação  FGTS (Bi R$),Contratação  SFH (Bi R$),Contratação Jurídico Livre (Bi R$),Contratação Jurídico SFH (Bi R$),Direcionamento Aquisição (R$),Direcionamento Construção (R$),Direcionamento Aplicação (R$),Ativos Problemáticos - Home equity (R$),Ativos Problemáticos - SFH (R$),Ativos Problemáticos - FGTS (R$),Carteira de Crédito – Home equity (R$),Carteira de Crédito – Livre (R$),Carteira de Crédito - FGTS (R$),Carteira de Crédito - SFH  (R$),Carteira de Crédito P.Jurídica - Comercial (R$),Carteira de Crédito P.Jurídica -  Livre (R$),Carteira de Crédito  P.Jurídica - FGTS (R$),Inadimplência - SFH (%),Inadimplência - FGTS (%),Inadimplência - Livre (%),Inadimplência - Comercial (%),Inadimplência - Home equity (%),Poupança e Empréstimo - SBPE (R$), Títulos - LH (R$), Títulos – LIG (R$), Títulos – CRI (R$), Títulos – LCI (R$)
2007-10,257542612.7556881,2290411010.6925364,1320115835.4162512,4961126107.396177,657067837.3616779,798650200.3398317,150194444744.78165,10955630277.396687,179339408199.07217,269272591.58847725,5144332038.752433,5615804767.593799,9477230424.465063,69550224144.9609,68589049033.18774,89551807715.20715,1191884662.5758748,21358732949.52061,22662668972.143414,1.4020276426416696,2.5166113626123656,1.147821535089133,0.4410182580256108,3.158225196515964,278692749253.2631,1296514318.7033625,433703129.03965855,22000198473.539886,73846403512.91075
2007-11,258894932.77284113,2308161014.421014,1333686324.890255,5005496903.305206,662314841.1404562,803242909.4507449,151133895323.25174,10999502746.700472,181398931452.603,266243374.74022007,5185930520.462662,5651312957.754728,9488822526.577194,69360676641.89093,68846054441.69208,90322676178.21892,1209803139.1268172,21413469307.143486,22734730480.31894,1.3982492563402578,2.517389065264139,1.1371814741274566,0.4459968906619336,3.140101407942058,282371653303.94135,1298576897.783861,215977885.91696167,22142149894.7882,73772816155.65454
2007-12,260235986.40573454,2325721645.075248,1347532768.5556164,5049469062.791596,667481798.8104386,807751730.1046877,152101266317.77924,11045417422.28125,183479360348.03204,263361278.04129696,5227928630.922956,5687381620.220332,9500719355.890676,69172140485.34962,69117627647.90913,91111209931.70718,1227628938.9278982,21468884020.024315,22807173682.263977,1.3945043296747843,2.5181037263149317,1.1266661783519394,0.45105841629734766,3.1223680777720566,286070434620.18384,1300620754.3878698,0.0,22288810580.905117,73714347757.18597
2008-1,261564553.64707756,2343075145.295851,1361657559.4551098,5093001183.618894,672562620.536982,812170845.9733045,153096948427.36124,11093418449.795906,185580138183.7389,260633970.28947124,5270319685.164296,5724008194.075286,9512926302.715454,68984769610.37877,69404118636.8918,91917545872.01076,1245347595.3219132,21524966599.08385,22879966837.2149,1.3907964018800787,2.5187522740697412,1.1162866470240216,0.45620263304433395,3.105051301880575,289787486258.7916,1302643941.7636273,0.0,22440256662.929016,73671643332.17404
2008-2,262879414.4895795,2360203757.723437,1376063090.6315103,5136051863.550639,677551216.4854431,816494440.72824,154121332350.99487,11143549974.901327,187700708258.1031,258069120.28250596,5313096998.217667,5761190118.404268,9525448757.361477,68798717952.02011,69705877393.69302,92741820895.46848,1262944641.6516566,21581706555.24284,22953078204.40808,1.3871290121909712,2.519331636833566,1.1060538794051442,0.4614293390153734,3.088177176142231,293521201276.5659,1304644513.1593723,0.0,22596564271.898293,73645347895.2877
2008-3,264179348.92594963,2377089724.9986176,1390751755.1275928,5178579700.350376,682441496.821178,820716698.0411384,155174808787.67725,11195856143.2544,189840513869.50415,255674396.8181644,5356253885.114049,5798924832.291954,9538292110.138695,68614139445.31542,70023253903.36572,93584171898.4192,1280405611.2599237,21639093399.422035,23026476043.0799,1.3835056998422912,2.519838742911404,1.0959788747567478,0.46673833232294715,3.07177179643164,297269972730.3076,1306620521.8233433,0.0,22757809538.851334,73636106461.19595
2008-4,265463136.94889712,2393715289.7620077,1405725945.986132,5220543291.78165,687227371.7095435,824831801.583644,156257768436.40546,11250381100.512007,191998998316.32166,253457468.6942099,5399783660.884426,5837209774.823022,9551461751.357056,68431188025.306465,70356598150.96278,94444735777.20177,1297716037.4895093,21697116642.542194,23100128612.46673,1.3799300040688691,2.520270520608254,1.0860726323402732,0.4721294110795361,3.0558612586234175,301032193676.8179,1308570021.003779,0.0,22924068594.826523,73644564044.56773
2008-5,266729558.5511313,2410062694.6542196,1420988056.2499025,5261901235.608002,691902751.315896,828833935.0274014,157370601996.17657,11307168992.331036,194175604896.9351,251426004.7084055,5443679640.559782,5876042385.082149,9564963071.326506,68250017627.03501,70706260121.53716,95323649428.155,1314861453.6832087,21755765795.524067,23174004171.804943,1.3764054641055343,2.520623898229113,1.076346151417161,0.47760237339762124,3.0404716585921814,304806257172.8979,1310491063.9489179,0.0,23095417570.862255,73671365660.07204
2008-6,267977393.7253614,2426114182.3158665,1436540478.9616795,5302612129.592976,696461545.8055921,832717282.0440552,158513700165.98773,11366263964.368372,196369776909.72406,249587673.6585145,5487935139.171099,5915420102.154011,9578801460.356997,68070782185.54282,71072589800.14175,96221049747.61774,1331827393.1838164,21815030369.2884,23248070980.33092,1.372935619187117,2.5208958040789797,1.066810431248852,0.48315701738968364,3.0256290922125473,308590556275.34863,1312381703.9069986,0.0,23271932597.996914,73717156322.37784
2008-7,269205422.4642967,2441851995.3875613,1452385607.1642375,5342634571.500114,700897665.3439882,836476026.3052495,159687453644.836,11427710162.280901,198580957653.06805,247950144.34230015,5532543471.749358,5955340365.123286,9592982308.758474,67893635635.87166,71455937171.8295,97137073631.92885,1348599389.334128,21874899874.75595,23322297297.281036,1.3695240085484468,2.521083166462853,1.0574764710967868,0.48879314116820416,3.011359655359131,312383484040.97107,1314239994.12626,0.0,23453689807.268894,73782581046.1541
