,Rio de-01eiro - value, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Rio De Janeiro - Consumo de Cimento (t),Rio De Janeiro - Produção de Cimento (t),Rio de Janeiro - IDH,Rio de Janeiro - PIB - Estadual,Rio de Janeiro - PIB - Construção Civil,Rio de Janeiro - PIB - Per Capita,Rio de Janeiro - PIB Preços de Mercado,Rio de Janeiro - Desemprego
2014-3,0.4164872239822675,0.6244938102208978,-3922.007671721373,2.686153730479649,0.9519917340746724,0.5596242995943259,195620407.09336025,7838156.45614092,0.586635485690803,405.5325,241.56251696896297,0.7829761125388401,407839643.6545138,17860843.59753932,21.97466284699606,348785781.9921978,11.912257332743897
2014-4,0.4188202422766047,0.6209952829426753,-3994.229497353106,2.7114317753143893,0.7872261937543699,0.5364320176075347,195701756.30988863,7837662.956891467,0.591883402393797,413.0,239.2441540411756,0.7829964968712979,407939261.3760387,17834766.279114675,21.964157547671512,348643380.5477108,11.968169109119776
2014-5,0.4209521451569339,0.6257914627476894,-3354.8084163966905,2.7478086602191683,0.7628605212524775,0.5495264900123437,195783105.52641705,7837169.457642012,0.5752470773836221,413.0,236.8850816801164,0.7830168812037557,408038879.0975635,17808688.96069003,21.95365224834697,348500979.10322374,12.024080885495655
2014-6,0.4230824063666669,0.6262539734123189,-3377.357259521218,2.7716833665507616,0.8204530479465566,0.5920559285981742,195864454.74294543,7836675.958392558,0.5716034891312047,413.0,234.47224187924533,0.7830372655362136,408138496.81908834,17782611.642265383,21.94314694902242,348358577.6587368,12.079992661871536
2014-7,0.4250063642411852,0.6313860080878928,-3216.635878446735,2.7882412615797647,0.8622866555215983,0.5985422951333923,195945803.95947385,7836182.459143104,0.5673668679938052,413.0,232.01558487941813,0.7830576498686713,408238114.5406132,17756534.323840737,21.932641649697874,348216176.21424973,12.135904438247415
2014-8,0.4266172189891935,0.6429578345522896,-2885.616364724399,2.799745702635436,0.9441698267557116,0.620784457599235,196027153.17600223,7835688.959893649,0.5571115199932906,413.0,229.5124170322122,0.7830780342011291,408337732.262138,17730457.00541609,21.92213635037333,348073774.7697627,12.191816214623294
2014-9,0.42803621988155,0.6425793355672005,-2848.963410513361,2.808315116654504,0.859855655660007,0.6235028742448315,196108502.39253065,7835195.460644195,0.5613727046660177,413.0,226.97598114015457,0.783098418533587,408437349.9836628,17704379.686991446,21.911631051048783,347931373.3252757,12.247727990999175
2014-10,0.4296360953693695,0.6392578161601571,-3907.107095676229,2.804908515488413,0.9527685333529272,0.6297128451395438,196189851.609059,7834701.96139474,0.561882595374384,413.0,224.40489106714057,0.7831188028660447,408536967.7051876,17678302.3685668,21.90112575172424,347788971.8807887,12.303639767375056
2014-11,0.4312935722358417,0.6373515694579686,-3227.51837665533,2.795899184623759,0.903484686433327,0.6229666635258632,196271200.8255874,7834208.462145286,0.5609901993899514,413.0,221.79930645702916,0.7831391871985025,408636585.4267124,17652225.050142154,21.890620452399688,347646570.43630165,12.359551543750934
2014-12,0.4330441310348275,0.6360469982134822,-1917.4317974494293,2.78399183647624,0.8145209650102684,0.620227626267029,196352550.0421158,7833714.962895832,0.5583468086194056,413.0,219.15665611074945,0.7831595715309604,408736203.1482372,17626147.73171751,21.880115153075145,347504168.9918147,12.415463320126817
