,Santa Catarina - IDH,Santa Catarina - value, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Santa Catarina - Desemprego,Santa Catarina - Consumo de Cimento (t),Santa Catarina - Produção de Cimento (t),Santa Catarina - PIB - Estadual,Santa Catarina - PIB - Construção Civil,Santa Catarina - PIB - Per Capita,Santa Catarina - PIB - Preços de Mercado
2005-4,0.7999666353234931,0.321036204741184,0.4550001182228941,-7427.695727374902,4.479302822781261,1.513866283918324,0.4371435666899209,181964141.8455004,7478854.698081687,0.6089935578495764,8.139762507532296,146.582,18.293176216576708,136289575.0770294,6734872.388169796,19.897352409002004,123744085.07213056
2005-5,0.8000400602580727,0.3207395790646393,0.4387655535867955,-7307.848389698152,4.361373483938184,1.5686237807140602,0.4197283588146051,182129731.6234758,7484167.707390512,0.6112913639662371,8.132505431465944,149.537,18.220981015145803,136433727.425146,6738968.940531597,19.90324280960114,123793924.54514565
2005-6,0.8001134851926524,0.3204101775840795,0.4302028729547594,-7431.800235590503,4.256101726196984,1.400078135123935,0.4199780553732319,182295321.4014512,7489480.716699338,0.5804670357747842,8.12524835539959,165.664,18.393365221989704,136577879.77326262,6743065.492893398,19.90913321020027,123843764.0181607
2005-7,0.8001869101272319,0.3202567227654439,0.4313751989691616,-7447.830376487559,4.16168717243741,1.5002475733361442,0.426655987569031,182460911.1794265,7494793.726008162,0.5645649922940777,8.117991279333236,162.223,18.45243754189845,136722032.12137926,6747162.045255199,19.9150236107994,123893603.49117576
2005-8,0.8002603350618115,0.3200798202535734,0.4316478866297594,-7426.454566904413,4.079825078928361,1.366263537502306,0.4533210772878235,182626500.957402,7500106.735316987,0.5609756759595197,8.110734203266881,165.871,18.552764793944892,136866184.4694959,6751258.597616999,19.920914011398537,123943442.96419084
2005-9,0.8003337599963911,0.3198801203726349,0.4277093852365702,-7512.020875107958,4.012628248908924,1.489061200727286,0.4844114534007803,182792090.7353773,7505419.744625812,0.5646643450021134,8.103477127200527,146.298,18.62950561235964,137010336.8176125,6755355.149978801,19.92680441199767,123993282.43720593
2005-10,0.8004071849309707,0.3196583196673792,0.4225131084131527,-7687.979669089395,3.9602332396446167,1.2109586000669308,0.4945726100320757,182957680.51335275,7510732.753934638,0.5644640550493971,8.096220051134175,151.753,19.08119228544828,137154489.1657291,6759451.702340601,19.932694812596804,124043121.91022098
2005-11,0.8004806098655504,0.3194151624497064,0.410747290823505,-7676.736667287167,3.9221772649399615,1.6422607052183609,0.4959029929217597,183123270.29132813,7516045.763243463,0.5622657106505984,8.08896297506782,160.162,19.46953342845589,137298641.51384574,6763548.254702402,19.938585213195932,124092961.38323604
2005-12,0.8005540348001299,0.3191513556500617,0.4101195327303973,-7542.184036343686,3.892160292125506,1.377980104178371,0.5121818479826961,183288860.0693036,7521358.772552288,0.5630711908624105,8.081705899001467,150.421,19.72582847234121,137442793.86196238,6767644.807064203,19.94447561379507,124142800.85625112
2006-1,0.8006274597347095,0.3188676518640493,0.4093210137705744,-7965.495545452277,3.8684439286332686,1.0704709367180183,0.5246513831169914,183454449.8472789,7526671.781861113,0.5580933471517024,8.074448822935112,154.694,20.055252553403328,137586946.21007898,6771741.359426004,19.9503660143942,124192640.3292662
