,Paraíba - Desemprego, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Paraíba - Produção de Cimento (t),Paraíba - value,Paraíba - IDH,Paraíba - PIB - Estadual,Paraíba - PIB - Construção Civil,Paraíba - PIB - Per Capita,Paraíba - PIB - Preços de Mercado,Paraíba - Consumo de Cimento (t)
2008-7,8.090830595199696,0.4017041211332135,-7372.476799457021,2.8193033709764,0.902092951723226,0.3823654090466765,187990535.3743589,7674174.087571479,0.599023956748628,163.1685932261277,0.4486965315497578,0.6794039539645492,32194016.76493478,1730678.0959180696,7.398594915701203,27902553.22527626,57.196
2008-8,8.093261578413205,0.3911930100262941,-7330.909560613458,2.746140251198851,0.9463193773473402,0.377094781251677,188132118.82802805,7678574.036758362,0.5717904557609863,163.74193347866796,0.4506686245730136,0.6796448447249351,32211438.94016637,1731848.3209185032,7.398361639205534,27902140.21199745,59.179
2008-9,8.095692561626715,0.393954511741958,-7785.307445305803,2.665912474404139,1.072336807943622,0.4025579714905743,188273702.2816972,7682973.985945245,0.5509061927111456,163.708664410938,0.4505458973002863,0.679885735485321,32228861.11539796,1733018.545918937,7.3981283627098655,27901727.19871864,62.719
2008-10,8.098123544840224,0.4032616547632046,-7703.954458964581,2.598260780235978,1.0137661057737235,0.412023328025164,188415285.7353664,7687373.935132128,0.5338333005653052,163.49547603505297,0.4504081195225085,0.6801266262457071,32246283.29062955,1734188.7709193707,7.397895086214198,27901314.18543983,70.134
2008-11,8.100554528053731,0.4104528122004031,-7476.287871104045,2.5386157863332808,1.0949575949903168,0.4176314374021105,188556869.1890356,7691773.884319011,0.5233099682890817,163.0006797856843,0.4502994238703345,0.680367517006093,32263705.465861145,1735358.9959198046,7.397661809718529,27900901.172161017,63.163
2008-12,8.10298551126724,0.4155686208661097,-7673.72643892393,2.504755709594416,1.1610813401906588,0.4199544942195133,188698452.64270467,7696173.833505894,0.524103085853287,163.58888027840547,0.4502185728065047,0.6806084077664789,32281127.641092736,1736529.2209202382,7.397428533222861,27900488.15888221,65.732
2009-1,8.10541649448075,0.4265478197554145,-8468.75016667358,2.46038988184506,0.7012005668165715,0.4453642148556728,188840036.09637383,7700573.782692777,0.5263722830788128,163.31032272503236,0.4507685728065049,0.6808492985268648,32298549.816324327,1737699.445920672,7.397195256727192,27900075.1456034,65.392
2009-2,8.102396848716841,0.4330860958676656,-8362.130172448553,2.419211323171128,0.7911392802955751,0.4617677479747263,188999683.0050093,7704524.6839363,0.5227829360821162,163.20052846673812,0.4515440830105865,0.6810540483997523,32364417.46647234,1738876.7420503483,7.399761319714053,27914571.4674524,53.551
2009-3,8.099377202952931,0.4381030668091561,-8556.283355305572,2.384914975903917,0.6947273574987124,0.4744121661088831,189159329.91364485,7708475.585179822,0.5234789989371754,164.96129358902354,0.4533951867454964,0.6812587982726397,32430285.116620354,1740054.0381800253,7.402327382700915,27929067.789301395,62.268
2009-4,8.096357557189023,0.45007711682254,-8805.162211693303,2.3630365952461503,0.6925605788455927,0.4999622144350261,189318976.8222804,7712426.486423344,0.5478423802413089,165.56286568546793,0.4555487462866134,0.6814635481455271,32496152.76676837,1741231.3343097018,7.404893445687776,27943564.111150395,51.135
