,Mato Grosso Do Sul - Consumo de Cimento (t), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Mato Grosso do Sul - IDH,Mato Grosso Do Sul - Produção de Cimento (t),Mato Grosso do Sul - Desemprego,Mato Grosso do Sul - value,Mato Grosso do Sul - PIB - Estadual,Mato Grosso do Sul - PIB - Construção Civil,Mato Grosso do Sul - PIB - Per Capita,Mato Grosso do Sul - PIB - Preços de Mercado
2011-12,75.445,0.4721630104203435,-9986.589161982563,2.076644486808949,0.9509558872325296,0.5250917546367961,193152470.9777836,7812759.248743567,0.5951869340064411,0.749977873777328,80.28836366971791,6.49650365607364,0.3411410578330074,53353079.958868265,2289262.481325737,16.881550137718452,42109067.19730244
2012-1,72.993,0.4733415062904513,-10404.150759011012,2.0905714352596823,0.7067068004037954,0.5361604483491258,193258203.49791336,7815135.384009959,0.6110671295983301,0.7500336929292931,79.98434284506527,6.360445461945462,0.3423944352904302,53454012.04788331,2288752.2067909846,16.887781720042174,42137018.94946247
2012-2,75.727,0.476080947409229,-9928.241624071832,2.1011962123086314,0.7404291834197307,0.547043585265198,193353913.43027985,7816645.273799296,0.5998092162889704,0.7501519824635243,80.36188154545978,6.390855980414341,0.3436508743919232,53543638.78691736,2287897.3199144755,16.89218218088011,42159685.95520319
2012-3,85.555,0.4859216468538039,-9880.218215766452,2.117529533577395,0.8195461604428426,0.5760461169470958,193449623.3626464,7818155.163588634,0.5994875672440965,0.7502702719977555,80.3550094247271,6.42126649888322,0.3449423732752824,53633265.52595141,2287042.4330379665,16.896582641718048,42182352.96094392
2012-4,77.221,0.495982472496991,-10098.092464217463,2.1289644149802243,0.6810678508344918,0.5748028697718967,193545333.2950128,7819665.053377971,0.6070633278923643,0.7503885615319867,80.16264419873548,6.4516770173520985,0.346233099657278,53722892.26498546,2286187.5461614574,16.900983102555983,42205019.96668464
2012-5,92.229,0.4931284401808382,-9610.545103294866,2.157948049971086,0.5439273938364722,0.5455839993066408,193641043.2273793,7821174.943167307,0.6337829017520761,0.7505068510662178,80.07355480869306,6.482087535820978,0.347115067555122,53812519.00401952,2285332.6592849484,16.90538356339392,42227686.97242536
2012-6,75.154,0.4947842743091953,-9553.334932170872,2.190346510129612,0.5485345391500699,0.5142239683724931,193736753.15974572,7822684.832956645,0.6091979248637831,0.750625140600449,79.78422639724809,6.512498054289857,0.348196711680158,53902145.74305356,2284477.77240844,16.909784024231858,42250353.97816607
2012-7,94.693,0.4943665113324502,-9513.302050841186,2.214523649851895,0.5506897392060969,0.4886763343071003,193832463.09211224,7824194.722745982,0.6098789200190179,0.7507434301346803,79.86224335477972,6.542908572758736,0.349295233794932,53991772.48208761,2283622.8855319303,16.914184485069793,42273020.9839068
2012-8,101.556,0.4915042848216534,-9248.591121065274,2.219844415701115,0.6454078839920825,0.4575820419650054,193928173.0244788,7825704.612535319,0.5983134710296607,0.7508617196689115,79.65669840632343,6.573319091227615,0.350396639921238,54081399.22112166,2282767.9986554207,16.918584945907728,42295687.98964752
2012-9,85.395,0.495333786512332,-8953.98283753283,2.23523857379288,0.7409720966684825,0.4292143004039244,194023882.9568452,7827214.502324657,0.5963880599560772,0.7509800092031427,79.32184823325959,6.603729609696495,0.351454776499336,54171025.96015571,2281913.111778912,16.922985406745667,42318354.99538824
2012-10,88.491,0.4926639045673969,-8835.504327700251,2.2363657278565263,0.6128687011734038,0.420275744209899,194119592.8892117,7828724.392113993,0.5956099986115735,0.7510982987373738,79.0619007012161,6.634140128165374,0.3523866056323,54260652.69918977,2281058.2249024026,16.927385867583602,42341022.00112896
2012-11,87.067,0.4912755604377996,-8581.940757744464,2.249359243852222,0.8852303174292789,0.44717948920874,194215302.8215782,7830234.28190333,0.6005163471467005,0.751216588271605,78.81084522022375,6.664550646634252,0.3532714844153841,54350279.43822382,2280203.3380258936,16.931786328421538,42363689.00686968
2012-12,72.543,0.4951952296466009,-8544.01174850321,2.257490310710041,0.6836336087568325,0.4479600832678483,194311012.75394467,7831744.1716926675,0.5956513693421339,0.7513348778058362,78.58109694369809,6.694961165103131,0.3541495111251613,54439906.177257866,2279348.4511493845,16.936186789259477,42386356.012610406
2013-1,80.967,0.5046931182782365,-8401.94723497529,2.2677230439962424,0.6001335188895731,0.4466402817276171,194406722.6863112,7833254.061482005,0.6113594968254873,0.7514531673400674,78.33823225110078,6.7253716835720105,0.355020632318886,54529532.91629192,2278493.5642728754,16.940587250097412,42409023.01835112
2013-2,78.856,0.5124255618774355,-7683.858924014924,2.2834910014644234,0.7074393944091001,0.44956565047477,194494304.85081053,7833744.844245157,0.6049217884945463,0.7515118698910401,78.32011712865526,6.754701799053959,0.3558031700275835,54605292.09248402,2278351.90311898,16.944312236387308,42426017.21656293
2013-3,79.126,0.5277338631085374,-7874.357530363,2.30250674180213,0.7231039597573724,0.4689655756860415,194581887.01530987,7834235.627008309,0.6055953327124688,0.7515705724420128,78.29356231205703,6.784031914535907,0.3565770183070412,54681051.268676125,2278210.2419650834,16.948037222677204,42443011.414774746
