,Rio Grande do Sul - Desemprego, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Rio Grande Do Sul - Produção de Cimento (t),Rio Grande Do Sul - Consumo de Cimento (t),Rio Grande do Sul - PIB - Estadual,Rio Grande do Sul - PIB - Construção Civil,Rio Grande do Sul - PIB - Per Capita,Rio Grande do Sul - PIB - Preços de Mercado,Rio Grande do Sul - value,Rio Grande do Sul - IDH
2012-6,6.800686386728634,0.4947842743091953,-9553.334932170872,2.190346510129612,0.5485345391500699,0.5142239683724931,193736753.15974572,7822684.832956645,0.6091979248637831,179.44456473746436,291.989,236916398.67298916,9313780.880722368,18.72141435600684,202689407.79739064,0.5360868906325019,0.7818020441077442
2012-7,6.838087196837893,0.4943665113324502,-9513.302050841186,2.214523649851895,0.5506897392060969,0.4886763343071003,193832463.09211224,7824194.722745982,0.6098789200190179,178.6643804595792,289.212,237255392.03736228,9306374.51687289,18.72336761279382,202741354.7530388,0.5382891594480798,0.7819282323232324
2012-8,6.875488006947152,0.4915042848216534,-9248.591121065274,2.219844415701115,0.6454078839920825,0.4575820419650054,193928173.0244788,7825704.612535319,0.5983134710296607,177.98503612695006,325.603,237594385.40173545,9298968.153023412,18.7253208695808,202793301.7086869,0.5405286157797728,0.7820544205387207
2012-9,6.912888817056412,0.495333786512332,-8953.98283753283,2.23523857379288,0.7409720966684825,0.4292143004039244,194023882.9568452,7827214.502324657,0.5963880599560772,177.0488873241618,252.327,237933378.7661086,9291561.789173936,18.72727412636777,202845248.66433504,0.5426012504842337,0.7821806087542089
2012-10,6.950289627165671,0.4926639045673969,-8835.504327700251,2.2363657278565263,0.6128687011734038,0.420275744209899,194119592.8892117,7828724.392113993,0.5956099986115735,176.52837744039357,298.282,238272372.13048172,9284155.425324457,18.72922738315475,202897195.6199832,0.5443064779701176,0.7823067969696971
2012-11,6.98769043727493,0.4912755604377996,-8581.940757744464,2.249359243852222,0.8852303174292789,0.44717948920874,194215302.8215782,7830234.28190333,0.6005163471467005,176.0985440285493,313.289,238611365.4948549,9276749.061474975,18.73118063994173,202949142.5756313,0.5460453641114449,0.7824329851851853
2012-12,7.025091247384189,0.4951952296466009,-8544.01174850321,2.257490310710041,0.6836336087568325,0.4479600832678483,194311012.75394467,7831744.1716926675,0.5956513693421339,175.04728223912713,246.794,238950358.85922807,9269342.6976255,18.73313389672871,203001089.5312794,0.5478188733905204,0.7825591734006735
2013-1,7.062492057493449,0.5046931182782365,-8401.94723497529,2.2677230439962424,0.6001335188895731,0.4466402817276171,194406722.6863112,7833254.061482005,0.6113594968254873,174.26143600553223,299.585,239289352.2236012,9261936.33377602,18.73508715351569,203053036.48692757,0.5496315299807405,0.7826853616161618
2013-2,7.092594233222274,0.5124255618774355,-7683.858924014924,2.2834910014644234,0.7074393944091001,0.44956565047477,194494304.85081053,7833744.844245157,0.6049217884945463,172.79114660516888,270.936,239530216.06502172,9256803.78464424,18.734456700144914,203056107.89498785,0.5512720936216767,0.7827526210718295
2013-3,7.1226964089511,0.5277338631085374,-7874.357530363,2.30250674180213,0.7231039597573724,0.4689655756860415,194581887.01530987,7834235.627008309,0.6055953327124688,171.43369479809795,269.996,239771079.9064423,9251671.235512458,18.733826246774143,203059179.30304816,0.5537619151524834,0.7828198805274973
2013-4,7.152798584679926,0.5336755979317418,-7983.55089917278,2.328894103495439,0.7189617973484183,0.4808492138370067,194669469.17980924,7834726.409771461,0.6049377101169569,170.54837745365475,310.597,240011943.74786285,9246538.686380677,18.733195793403368,203062250.71110848,0.5563022095356726,0.7828871399831652
2013-5,7.182900760408751,0.5388021137696795,-7615.094274633246,2.34263188987848,0.7142694802829325,0.4901839320084706,194757051.34430856,7835217.192534613,0.6092086325659531,169.51146111041407,298.972,240252807.58928335,9241406.137248896,18.7325653400326,203065322.1191688,0.5586734677352312,0.7829543994388329
2013-6,7.213002936137577,0.5488843980670126,-7352.877238643337,2.363408595693961,0.6063186036765393,0.4977501851159618,194844633.508808,7835707.975297765,0.6003939469641899,168.4564169289274,263.791,240493671.43070397,9236273.588117115,18.731934886661826,203068393.5272291,0.561284255508089,0.7830216588945007
2013-7,7.243105111866402,0.5580294451821031,-7192.841626570655,2.393575578288626,0.6146829914853935,0.4941458500105189,194932215.6733073,7836198.758060917,0.588257252871006,167.6229922766362,310.117,240734535.27212447,9231141.038985334,18.73130443329105,203071464.93528935,0.5639352252218969,0.7830889183501686
2013-8,7.273207287595228,0.5639348917935356,-6960.548770036087,2.4314858886849344,0.7815049760427922,0.4993334599921049,195019797.83780667,7836689.54082407,0.590312709374934,166.44852238794493,284.763,240975399.113545,9226008.489853552,18.730673979920283,203074536.3433497,0.5664274268254282,0.7831561778058364
2013-9,7.303309463324053,0.5721649314585118,-6847.000952014708,2.4711648234950228,0.804220606343285,0.518698005154016,195107380.00230604,7837180.323587221,0.5883789943968316,165.1625922770094,290.774,241216262.9549656,9220875.94072177,18.73004352654951,203077607.75141,0.568961918540782,0.7832234372615041
2013-10,7.333411639052879,0.584033531345466,-6919.499864502943,2.512916253999241,0.5493947941730588,0.5267204103521198,195194962.1668054,7837671.106350373,0.586680702681813,163.99971450256865,323.114,241457126.7963861,9215743.39158999,18.72941307317874,203080679.15947032,0.5717414138769439,0.7832906967171719
2013-11,7.363513814781704,0.5955117370578658,-6561.5305368475965,2.551397636335105,0.492337346751902,0.5382245752764477,195282544.3313048,7838161.889113526,0.5879491241011995,162.66871148719665,308.596,241697990.63780665,9210610.842458207,18.72878261980797,203083750.56753063,0.5737407146430948,0.7833579561728397
2013-12,7.39361599051053,0.6067679747989635,-4496.194346034222,2.592147308610895,0.6011934181917633,0.5418554668499356,195370126.4958041,7838652.671876677,0.5824479358950329,161.39182061654995,274.479,241938854.4792272,9205478.293326426,18.728152166437194,203086821.9755909,0.5757555759757913,0.7834252156285075
2014-1,7.423718166239356,0.6166578720311803,-4791.082206933234,2.625524917219098,0.8458265355767571,0.559340440568571,195457708.66030347,7839143.45463983,0.5881063236886775,160.23436255050072,290.431,242179718.3206477,9200345.744194644,18.727521713066423,203089893.3836513,0.5775779278751108,0.7834924750841753
2014-2,7.445407171941456,0.6267255529646644,-3998.777950768382,2.657054580116229,0.8449975925961759,0.5677726853077433,195539057.87683183,7838649.955390375,0.5806989603027664,159.16366105008476,275.082,242355681.68616235,9195362.28634573,18.72634223001468,203082868.7757283,0.5794075921015559,0.7835236728278154
2014-3,7.467096177643557,0.6244938102208978,-3922.007671721373,2.686153730479649,0.9519917340746724,0.5596242995943259,195620407.09336025,7838156.45614092,0.586635485690803,158.18950882127504,286.1239999999998,242531645.051677,9190378.828496816,18.72516274696293,203075844.1678053,0.5808362611525388,0.7835548705714555
2014-4,7.488785183345659,0.6209952829426753,-3994.229497353106,2.7114317753143893,0.7872261937543699,0.5364320176075347,195701756.30988863,7837662.956891467,0.591883402393797,157.1964747507981,297.166,242707608.4171916,9185395.3706479,18.72398326391118,203068819.55988237,0.5822636236149824,0.7835860683150956
2014-5,7.510474189047759,0.6257914627476894,-3354.8084163966905,2.7478086602191683,0.7628605212524775,0.5495264900123437,195783105.52641705,7837169.457642012,0.5752470773836221,156.1927888290128,297.166,242883571.78270623,9180411.912798984,18.722803780859437,203061794.95195937,0.5838975115271219,0.7836172660587357
