,Roraima - IDH,Roraima - Consumo de Cimento (t), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Roraima - PIB - Estadual,Roraima - PIB - Construção Civil,Roraima - PIB - Per Capita,Roraima - PIB - Preços de Mercado,Roraima - Desemprego,Roraima - value
2006-4,0.7361593779129417,2.394,0.3979963710958243,-8423.448244351577,3.836249908110392,1.2439483036977474,0.5491307539299164,183927276.1100652,7542295.848507533,0.5671710316312383,6429199.983822532,342342.13955271506,12.203220187150338,5444563.703373574,8.06621432563956,0.2498458531359409
2006-5,0.7361774938858506,2.04,0.4056653747218318,-8229.867308086905,3.840605092822108,0.9925459420462728,0.5836820001689738,184084884.86432725,7547503.870723005,0.5968232499556683,6435557.444850433,342089.4777326908,12.20425740427354,5446120.333317853,8.064183751297858,0.2510272977647579
2006-6,0.7361956098587595,2.291,0.4149031030845876,-8333.395980655183,3.8357922282673904,1.1619063477174951,0.6123741776559579,184242493.6185893,7552711.892938478,0.6052265435927703,6441914.905878333,341836.81591266656,12.205294621396744,5447676.963262132,8.062153176956157,0.2522802949837772
2006-7,0.7362137258316686,2.365,0.4267485653722618,-8363.641502791654,3.834296240076312,1.0107148892098956,0.6206261710016543,184400102.37285143,7557919.915153951,0.6134655051430675,6448272.366906235,341584.1540926423,12.206331838519947,5449233.593206412,8.060122602614454,0.2534004125345621
2006-8,0.7362318418045775,3.013,0.4258794259587617,-8483.803210688488,3.837301314139748,1.137471455329126,0.6093984595457096,184557711.1271135,7563127.937369425,0.6251193452031805,6454629.827934137,341331.49227261805,12.207369055643152,5450790.223150692,8.058092028272752,0.2545913429823006
2006-9,0.7362499577774864,1.843,0.427904503700878,-8564.573776025667,3.830845488644045,1.0587078803302106,0.6087555012956766,184715319.8813756,7568335.959584897,0.6374779078573267,6460987.288962037,341078.8304525938,12.208406272766355,5452346.853094972,8.05606145393105,0.2560568239449253
2006-10,0.7362680737503953,3.35,0.4308949403404751,-8753.077264130869,3.820865481468113,1.421378557730808,0.6272259685547825,184872928.63563767,7573543.98180037,0.6494765821002537,6467344.749989938,340826.16863256955,12.20944348988956,5453903.483039251,8.054030879589348,0.2580088848739841
2006-11,0.7362861897233042,2.334,0.4297781875807803,-8585.918047929645,3.797759546537678,1.4120349588618786,0.6138016533493752,185030537.38989973,7578752.004015843,0.6544472076430272,6473702.21101784,340573.5068125453,12.210480707012762,5455460.11298353,8.052000305247645,0.2600516906891791
2006-12,0.7363043056962131,3.251,0.4275878752901689,-8102.613779191029,3.778681269312833,1.1875702591687969,0.5948781830476984,185188146.14416185,7583960.026231317,0.6529124218025248,6480059.672045741,340320.84499252104,12.211517924135965,5457016.74292781,8.049969730905945,0.2621895455005125
2007-1,0.736322421669122,2.53,0.4261722902551189,-8429.349883699913,3.758139256867763,1.0484592446587069,0.5915910920220523,185345754.8984239,7589168.048446789,0.652250285916937,6486417.133073642,340068.1831724968,12.212555141259168,5458573.37287209,8.047939156564242,0.264426809686758
2007-2,0.736333410813758,2.885,0.4272545197346237,-8207.504212454718,3.739732339264414,0.8421045009906388,0.5821912594010402,185495361.54458392,7594051.910447072,0.6486758561842155,6492201.750346102,340299.92727514537,12.214460420797236,5459861.700443506,8.04520168885824,0.2669719783511917
2007-3,0.7363443999583942,3.519,0.421374616153345,-8302.699392306728,3.706955628134506,1.018140906308683,0.5624597981278792,185644968.19074392,7598935.772447355,0.6396733150346336,6497986.367618561,340531.67137779394,12.216365700335306,5461150.0280149225,8.04246422115224,0.2698335078827927
2007-4,0.7363553891030302,2.635,0.4226987158945232,-8434.701866226666,3.675935689954143,0.9033883329680754,0.5607781390026951,185794574.836904,7603819.634447637,0.6337527638093442,6503770.984891021,340763.41548044246,12.218270979873374,5462438.355586338,8.039726753446239,0.2724076417913859
2007-5,0.7363663782476664,2.555,0.4265292995204747,-8141.051175182823,3.63852003418216,0.9401668232327632,0.5641176200703027,185944181.483064,7608703.49644792,0.653237645563625,6509555.602163481,340995.15958309104,12.220176259411442,5463726.683157754,8.036989285740237,0.275094482622054
2007-6,0.7363773673923024,3.21,0.427912233110958,-8026.170619784551,3.601931188268772,0.8058311751117864,0.557268421320419,186093788.129224,7613587.358448203,0.6449100186574492,6515340.2194359405,341226.9036857396,12.22208153894951,5465015.01072917,8.034251818034235,0.2778939853078836
2007-7,0.7363883565369385,3.001,0.4270491588284315,-7955.022260278307,3.560009340555952,1.076324332364028,0.5417029185846474,186243394.77538395,7618471.220448485,0.63275579381832,6521124.8367084,341458.6477883882,12.223986818487578,5466303.338300586,8.031514350328234,0.2808101985193369
2007-8,0.7363993456815746,3.026,0.4251241376010696,-7983.790257906689,3.5118118337828608,0.928096428428659,0.5383365294217008,186393001.421544,7623355.082448767,0.6268005040535086,6526909.453980859,341690.3918910368,12.225892098025648,5467591.665872002,8.028776882622234,0.2838260181296809
2007-9,0.7364103348262107,2.157,0.4202971223147698,-7895.376088335307,3.469607481841116,0.8415331129361044,0.5168062325264737,186542608.067704,7628238.94444905,0.6258989699329778,6532694.071253319,341922.13599368534,12.227797377563716,5468879.993443418,8.026039414916232,0.2869613867544752
2007-10,0.7364213239708468,3.655,0.422186667969427,-7988.122113095049,3.4226070580234054,0.9901874062377624,0.492773472916794,186692214.713864,7633122.806449333,0.617964982686669,6538478.688525779,342153.8800963339,12.229702657101784,5470168.321014835,8.02330194721023,0.2897825939129768
2007-11,0.7364323131154829,2.908,0.4244249038787387,-8017.515428278837,3.3732677481944013,0.9668064819595842,0.4788592048124005,186841821.360024,7638006.668449616,0.6145670424343683,6544263.305798238,342385.62419898243,12.231607936639854,5471456.648586251,8.02056447950423,0.291850469222026
2007-12,0.736443302260119,3.85,0.4244999572063965,-7877.11519891132,3.3132900029546954,0.8691533889591027,0.4548379030142503,186991428.006184,7642890.530449898,0.6103282941034248,6550047.923070698,342617.368301631,12.233513216177922,5472744.976157666,8.017827011798229,0.2939573204396987
2008-1,0.736454291404755,5.564,0.4249975168895801,-8333.785630800456,3.2555579562369243,1.1129169419380611,0.4442798633210167,187141034.652344,7647774.392450181,0.6123131329450783,6555832.540343158,342849.1124042796,12.23541849571599,5474033.303729082,8.015089544092227,0.296103412329058
2008-2,0.736458349283495,4.858,0.4302154047083354,-7957.479510093275,3.199376609861489,0.9254570735761608,0.4446804445496704,187282618.10601315,7652174.341637064,0.6130114959204532,6560484.5518921325,343056.3101445557,12.234838815704402,5474722.663233675,8.017692148310797,0.298288963810476
2008-3,0.7364624071622348,4.369,0.4313867734467428,-7892.607761543437,3.141468520965748,0.843959701601586,0.4484128206903977,187424201.5596823,7656574.290823947,0.6213585443907181,6565136.563441107,343263.5078848318,12.234259135692817,5475412.022738269,8.020294752529368,0.30051414673284
2008-4,0.7364664650409747,5.565,0.4338669727481246,-8007.976541076512,3.0675634134381013,1.0100789688419711,0.4473258895577853,187565785.01335144,7660974.24001083,0.6263187436812404,6569788.5749900825,343470.70562510786,12.233679455681228,5476101.382242861,8.022897356747938,0.3027790828959709
2008-5,0.7364705229197146,4.825,0.4321500462512327,-7622.164669581103,2.983508587016217,0.8788234320750334,0.4544319127338644,187707368.4670206,7665374.189197713,0.646709513314914,6574440.586539057,343677.903365384,12.233099775669638,5476790.741747455,8.025499960966508,0.3050838426869919
2008-6,0.7364745807984544,3.693,0.416568100772241,-7526.222983080984,2.8968331481222203,0.7991930023670225,0.4203655844188621,187848951.92068976,7669774.1383845955,0.6287480084855108,6579092.598088032,343885.1011056601,12.232520095658051,5477480.101252047,8.02810256518508,0.3070033640119355
2008-7,0.7364786386771943,3.922,0.4017041211332135,-7372.476799457021,2.8193033709764,0.902092951723226,0.3823654090466765,187990535.3743589,7674174.087571479,0.599023956748628,6583744.609637007,344092.2988459362,12.231940415646465,5478169.460756641,8.03070516940365,0.308936487869653
2008-8,0.7364826965559342,4.293,0.3911930100262941,-7330.909560613458,2.746140251198851,0.9463193773473402,0.377094781251677,188132118.82802805,7678574.036758362,0.5717904557609863,6588396.621185982,344299.4965862123,12.231360735634874,5478858.8202612335,8.03330777362222,0.3108862036928181
2008-9,0.736486754434674,3.131,0.393954511741958,-7785.307445305803,2.665912474404139,1.072336807943622,0.4025579714905743,188273702.2816972,7682973.985945245,0.5509061927111456,6593048.632734956,344506.6943264884,12.230781055623288,5479548.179765826,8.035910377840791,0.3128514049318083
2008-10,0.736490812313414,4.837,0.4032616547632046,-7703.954458964581,2.598260780235978,1.0137661057737235,0.412023328025164,188415285.7353664,7687373.935132128,0.5338333005653052,6597700.644283931,344713.8920667645,12.2302013756117,5480237.53927042,8.03851298205936,0.3144186412784793
