, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Paraná - Desemprego,Paraná - value,Paraná - Produção de Cimento (t),Paraná - PIB - Estadual,Paraná - PIB - Construção Civil,Paraná - PIB - Per Capita,Paraná - PIB - Preços de Mercado,Paraná - IDH,Paraná - Consumo de Cimento (t)
2010-8,0.4638587019783974,-10127.16701415496,1.9055306692046643,0.8571799086828237,0.5776013784579778,191475407.31620777,7770522.942813999,0.5826586136352507,8.019238145781662,0.3635955993285322,462.9011233826655,224894050.31913435,11384855.325146427,17.933413984608485,190117632.351406,0.7839413646111494,349.058
2010-9,0.4761580018141546,-10250.239819329276,1.9300080246741709,0.9272688877681192,0.5772035539111675,191578208.50423744,7773742.706413849,0.5845130658367664,8.018151748076685,0.3664613021999533,463.0718513814483,225326464.81282425,11385010.144700237,17.940187467637852,190221377.83733472,0.7839910334449515,341.011
2010-10,0.4806927669176689,-9855.109255533838,1.9496834440674369,0.8758085186592697,0.5519922392666898,191681009.69226712,7776962.4700137,0.5851989203903505,8.017065350371706,0.3691918017771793,463.0768218255815,225758879.30651408,11385164.964254046,17.94696095066722,190325123.32326347,0.7840407022787534,326.66
2010-11,0.4792117692065355,-9697.432210565865,1.9809369678190991,0.8037657062983529,0.5389303803124353,191783810.88029683,7780182.233613551,0.5889002595704534,8.015978952666726,0.3719683583543144,462.6482779246994,226191293.800204,11385319.783807855,17.953734433696585,190428868.8091922,0.7840903711125555,333.032
2010-12,0.4797986866964565,-10050.732911371206,2.016086379686157,0.7859094411250622,0.5226303587391766,191886612.0683265,7783401.997213401,0.5859531226578283,8.01489255496175,0.3750530056265371,462.31952964250894,226623708.29389387,11385474.603361664,17.960507916725952,190532614.29512087,0.7841400399463575,291.609
2011-1,0.485803381917484,-10517.124472033394,2.035093128055376,0.9418321282514702,0.5232972131171288,191989413.25635612,7786621.760813251,0.5868072050415946,8.01380615725677,0.3782151366341726,461.6597106017423,227056122.7875837,11385629.422915474,17.96728139975532,190636359.78104967,0.7841897087801596,313.591
2011-2,0.4823188015534446,-10136.637212959104,2.0617197249168107,0.9643537751632691,0.5089693151224648,192095145.77648595,7788997.896079644,0.5919181218163453,7.885363638318367,0.3812347070757629,462.6886099622179,227444572.4561097,11381755.771910356,17.970977590376542,190717421.561734,0.7842062841146974,308.435
2011-3,0.4765888567715217,-10178.562458683811,2.079526018829988,0.8509315411312844,0.4966673062887451,192200878.2966157,7791374.031346036,0.5978188398925539,7.756921119379963,0.3839424665576476,464.370957895015,227833022.1246357,11377882.12090524,17.97467378099776,190798483.3424183,0.7842228594492351,354.219
2011-4,0.4724763218727945,-10225.7655016099,2.095742570726438,0.9119394548460248,0.483448023435273,192306610.81674543,7793750.166612428,0.6056625101161331,7.62847860044156,0.3866650249891144,465.2264181420193,228221471.7931617,11374008.469900124,17.978369971618985,190879545.12310264,0.7842394347837729,321.241
2011-5,0.4647701832003508,-9993.389038138808,2.1045733049199136,0.981952980012904,0.4794375297414004,192412343.33687523,7796126.30187882,0.631128227052354,7.500036081503157,0.3891981473906801,467.2149031732626,228609921.4616876,11370134.818895008,17.98206616224021,190960606.903787,0.7842560101183107,369.826
2011-6,0.460777089427583,-9975.112230204764,2.095226448555367,0.8370840617867931,0.4943626052826666,192518075.857005,7798502.437145213,0.5950919575302004,7.371593562564753,0.3919251991593608,466.75553693255983,228998371.1302136,11366261.16788989,17.985762352861432,191041668.6844713,0.7842725854528484,366.169
2011-7,0.4586625612219078,-9903.241596764476,2.0859703688695106,0.865031119055218,0.4999529609128011,192623808.3771348,7800878.572411605,0.5975398841785342,7.24315104362635,0.3940977640333879,468.41927482743216,229386820.7987396,11362387.516884774,17.989458543482655,191122730.4651557,0.7842891607873862,343.894
2011-8,0.4606629482097047,-9768.231853083638,2.087218082990609,0.8749809524957644,0.5104707470584671,192729540.8972645,7803254.707677998,0.5950647433019467,7.114708524687947,0.3967643826961037,470.25470079130565,229775270.46726555,11358513.865879657,17.993154734103875,191203792.24584,0.784305736121924,355.596
