,Rio Grande Do Norte - Consumo de Cimento (t),Rio Grande do Norte - IDH, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Rio Grande Do Norte - Produção de Cimento (t),Rio Grande do Norte - PIB - Estadual,Rio Grande do Norte - PIB - Construção Civil,Rio Grande do Norte - PIB - Per Capita,Rio Grande do Norte - PIB - Preços de Mercado,Rio Grande do Norte - Desemprego
2009-12,63.555,0.7137621875287368,0.4644167127850657,-9190.300907588446,2.124224012723041,0.6588931475137494,0.5427257627326397,190596152.09136447,7744033.696371524,0.5870573500038764,42.31356213523692,34549172.41318837,2094122.082129132,9.213117471614236,29451413.8309415,8.050257936189514
2010-1,64.792,0.7139446573035988,0.4691088914703447,-9688.588371030834,2.0799573598611705,0.8031841697782718,0.5528867394615864,190755799.0,7747984.597615046,0.6027048817569469,43.19892124884758,34620252.54051084,2094394.6528778973,9.216787325223937,29471438.12389864,8.047147614117423
2010-2,58.894,0.7140935431881604,0.4638866746250542,-9576.958631035535,2.030863470139216,0.5926900446632651,0.5359195328522104,190858600.18802968,7751204.361214897,0.5955700194878013,44.093556095857934,34683690.814389765,2094434.736908682,9.21950004529439,29485766.934242677,8.045884054496037
2010-3,75.285,0.7142424290727221,0.4529411903376403,-9737.230041667011,1.9872203448387613,0.7585008947055016,0.5269652285318539,190961401.3760593,7754424.124814747,0.5982752954789717,45.37264068053975,34747129.08826868,2094474.8209394664,9.222212765364844,29500095.744586702,8.044620494874652
2010-4,67.041,0.7143913149572836,0.455830055988475,-10059.393149424635,1.938766300428007,0.6804934266711138,0.5365275225694347,191064202.56408903,7757643.888414597,0.5978042087664871,46.563356812706814,34810567.36214761,2094514.9049702508,9.224925485435298,29514424.554930743,8.043356935253266
2010-5,65.23,0.7145402008418452,0.4519925678913392,-9786.943488370514,1.900423502203311,0.8415792375791469,0.5422255150798765,191167003.7521188,7760863.652014448,0.6184467692784309,47.90926959054966,34874005.63602653,2094554.9890010352,9.227638205505752,29528753.36527478,8.04209337563188
2010-6,63.704,0.7146890867264069,0.4452546601697086,-9905.786117325402,1.8856666637377413,0.7475516797723416,0.526058037576734,191269804.9401484,7764083.415614299,0.5958291622572781,49.4452308315604,34937443.909905456,2094595.07303182,9.230350925576206,29543082.175618816,8.040829816010495
2010-7,75.67,0.7148379726109684,0.4546156103614938,-10012.607609861,1.8938061232400991,0.6585535280859806,0.5522966590697518,191372606.1281781,7767303.179214149,0.5865859204975183,51.02944523745128,35000882.18378438,2094635.157062604,9.23306364564666,29557410.985962853,8.039566256389111
2010-8,74.932,0.71498685849553,0.4638587019783974,-10127.16701415496,1.9055306692046643,0.8571799086828237,0.5776013784579778,191475407.31620777,7770522.942813999,0.5826586136352507,52.83684396878729,35064320.4576633,2094675.2410933888,9.235776365717117,29571739.79630689,8.038302696767726
2010-9,79.151,0.7151357443800916,0.4761580018141546,-10250.239819329276,1.9300080246741709,0.9272688877681192,0.5772035539111675,191578208.50423744,7773742.706413849,0.5845130658367664,55.41530007919245,35127758.73154222,2094715.3251241727,9.238489085787569,29586068.60665092,8.03703913714634
2010-10,74.257,0.7152846302646533,0.4806927669176689,-9855.109255533838,1.9496834440674369,0.8758085186592697,0.5519922392666898,191681009.69226712,7776962.4700137,0.5851989203903505,57.58816637693428,35191197.00542115,2094755.4091549576,9.241201805858022,29600397.41699496,8.035775577524955
2010-11,73.831,0.7154335161492149,0.4792117692065355,-9697.432210565865,1.9809369678190991,0.8037657062983529,0.5389303803124353,191783810.88029683,7780182.233613551,0.5889002595704534,59.99817046920961,35254635.279300064,2094795.493185742,9.243914525928476,29614726.227338992,8.03451201790357
2010-12,77.403,0.7155824020337764,0.4797986866964565,-10050.732911371206,2.016086379686157,0.7859094411250622,0.5226303587391766,191886612.0683265,7783401.997213401,0.5859531226578283,61.98222270020681,35318073.55317899,2094835.5772165265,9.24662724599893,29629055.03768303,8.033248458282184
2011-1,74.006,0.7157312879183381,0.485803381917484,-10517.124472033394,2.035093128055376,0.9418321282514702,0.5232972131171288,191989413.25635612,7786621.760813251,0.5868072050415946,64.3793986784961,35381511.82705791,2094875.661247311,9.249339966069384,29643383.848027065,8.031984898660799
2011-2,61.738,0.7158079780104406,0.4823188015534446,-10136.637212959104,2.0617197249168107,0.9643537751632691,0.5089693151224648,192095145.77648595,7788997.896079644,0.5919181218163453,66.49550713101345,35437049.3484503,2093903.811979488,9.250208255585523,29653418.7241988,8.414770998036406
2011-3,67.017,0.7158846681025433,0.4765888567715217,-10178.562458683811,2.079526018829988,0.8509315411312844,0.4966673062887451,192200878.2966157,7791374.031346036,0.5978188398925539,68.92046567636831,35492586.86984269,2092931.9627116644,9.251076545101665,29663453.600370526,8.797557097412014
2011-4,63.006,0.7159613581946458,0.4724763218727945,-10225.7655016099,2.095742570726438,0.9119394548460248,0.483448023435273,192306610.81674543,7793750.166612428,0.6056625101161331,71.40603026787535,35548124.39123508,2091960.1134438408,9.251944834617802,29673488.476542253,9.18034319678762
2011-5,62.958,0.7160380482867483,0.4647701832003508,-9993.389038138808,2.1045733049199136,0.981952980012904,0.4794375297414004,192412343.33687523,7796126.30187882,0.631128227052354,73.86107685150574,35603661.91262747,2090988.2641760176,9.252813124133944,29683523.352713984,9.56312929616323
2011-6,66.641,0.716114738378851,0.460777089427583,-9975.112230204764,2.095226448555367,0.8370840617867931,0.4943626052826666,192518075.857005,7798502.437145213,0.5950919575302004,76.28402354805715,35659199.43401986,2090016.414908195,9.253681413650083,29693558.228885718,9.945915395538838
2011-7,65.665,0.7161914284709535,0.4586625612219078,-9903.241596764476,2.0859703688695106,0.865031119055218,0.4999529609128011,192623808.3771348,7800878.572411605,0.5975398841785342,78.75971947742208,35714736.955412254,2089044.5656403715,9.254549703166225,29703593.10505744,10.328701494914446
2011-8,74.419,0.716268118563056,0.4606629482097047,-9768.231853083638,2.087218082990609,0.8749809524957644,0.5104707470584671,192729540.8972645,7803254.707677998,0.5950647433019467,81.0393939885379,35770274.47680465,2088072.716372548,9.255417992682364,29713627.98122917,10.711487594290054
2011-9,84.194,0.7163448086551587,0.4606035369977562,-9679.164240091171,2.075344728788324,1.051632929733649,0.5256001504469264,192835273.4173943,7805630.84294439,0.6015952884327453,83.32392216427453,35825811.99819704,2087100.867104725,9.256286282198502,29723662.8574009,11.09427369366566
2011-10,70.176,0.7164214987472612,0.4616014514378777,-9537.77691961498,2.077328519541877,0.8454056053728413,0.5230163290600557,192941005.93752408,7808006.978210783,0.6045280531318781,85.67188218467656,35881349.51958943,2086129.0178369016,9.257154571714644,29733697.733572632,11.47705979304127
2011-11,73.094,0.7164981888393638,0.4639560877440755,-9968.453886702957,2.074663694821419,0.9095885485065074,0.5203108881755449,193046738.45765385,7810383.113477174,0.6075073462033619,88.04921081996325,35936887.04098182,2085157.1685690784,9.258022861230785,29743732.609744363,11.859845892416878
2011-12,74.061,0.7165748789314664,0.4721630104203435,-9986.589161982563,2.076644486808949,0.9509558872325296,0.5250917546367961,193152470.9777836,7812759.248743567,0.5951869340064411,90.10576157174025,35992424.56237421,2084185.319301255,9.258891150746924,29753767.48591609,12.242631991792486
2012-1,76.824,0.716651569023569,0.4733415062904513,-10404.150759011012,2.0905714352596823,0.7067068004037954,0.5361604483491258,193258203.49791336,7815135.384009959,0.6110671295983301,92.33723502962803,36047962.0837666,2083213.470033432,9.259759440263062,29763802.36208782,12.625418091168092
