Ano,Goiás - Consumo de Cimento (t),Goiás - Desemprego,Goiás - IDH, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Goiás - Produção de Cimento (t),Goiais-03anhão - Valor Cimento Portland,Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Goiás - PIB - Estadual,Goiás - PIB - Construção Civil,Goiás - PIB - Per Capita,Goiás - PIB - Preços de Mercado
2013,3181.778,8.389968391625164,0.7534504368125702,0.5538880970557575,-7157.441849817399,2.4034452388120418,7.913560887352131,5.95293260648501,194406722.6863112,7833254.061482005,0.5967036355833683,1468.429449715763,4.1985723371409405,27.07388285135124,932.3176910782636,1424.4683401008626,23.563897396089164,15.77569676433568,66.4063601827802,1.2520248280358397,109251871.42525434,5758465.636990808,14.261467467854205,87799677.96497177
2014,2861.8974285714285,9.015756134399709,0.753571306546951,0.630874793029868,-3453.461327179957,2.748396553946451,10.350441947934849,7.080488623598588,195457708.66030347,7839143.45463983,0.5717704528856438,1413.139666708516,4.279224944583077,25.841819029745444,932.4686837160848,1423.83678190789,23.87873872704928,15.683322989916114,65.0888184879075,1.2417655466353592,110594235.09130923,5711943.895756988,14.23829501192009,87879155.56551099
2015,2517.2907428571425,9.398110721219348,0.7532855820925303,0.5541042521482707,-1442.9193869428318,2.50152930957994,12.454397626561702,6.134044967715732,196433899.2586442,7833221.463646377,0.5208136713370025,1402.3981863034478,4.352141521341588,25.709892222839247,932.5086626650526,1430.0275258033791,24.01496118775485,15.540525137726824,64.05460886585274,1.245194536550048,111511276.57923052,5628819.631850911,14.206629336994652,87848486.90689376
2016,2193.5458285714285,9.37844958510522,0.7562755277806119,0.4224833689958323,-3128.377227515419,2.0734636810462583,13.111907772469475,4.765274329238291,197358032.3200872,7818954.81473363,0.4407878922585067,1460.2069062506112,4.403032220968156,26.60169827138226,932.486430721753,1433.6888798302534,23.90047216471152,15.251198898707989,63.44157265258002,1.2360109164409363,112097730.33603002,5573900.728818152,14.184179020611912,87819493.69838423
2017,2270.346,8.980786191801322,0.7555733030333948,0.3698191241099404,-5386.337107960249,2.1773859032016323,9.479811697946742,5.310275626876232,198252845.68338645,7798615.333559711,0.3837115696747293,1589.5296936251334,4.4868886306228974,26.60348928070756,932.5155796785016,1426.8522397471154,23.876157615167767,15.21326306751662,63.42377582476002,1.1881082438180324,112322840.78529982,5555871.1312874025,14.177721010059235,87834115.09351136
2018,2282.903,8.919908209741124,0.7547163305818853,0.3285822922620568,-617.8957633825285,2.1991033826052147,6.239827995338425,7.216529334305507,199141077.18729573,7771953.540587035,0.3840184966215552,1731.934560148604,4.56223466557009,26.164873098209007,932.5285747313202,1418.9879357181965,23.962596483670996,15.306995854221505,63.48372330806407,1.1290200009131282,112075221.60243411,5557505.0708998,14.162196404779476,87721417.68860725
2019,2367.716,8.947166788754863,0.7532359969984203,0.4061057052544192,5943.684499867275,1.875262537009908,5.780756476062364,13.062917316927464,199985833.75,7737711.875699298,0.5899700505822413,1895.2202712721291,4.757247844662193,27.97947660857963,932.4356463918696,1418.53654922268,23.97912268720293,15.056576491890937,62.75068112161602,1.0835307200367608,111526220.46325718,5575030.932615519,14.16210930415441,87649067.75562468
2020,2438.585,8.745409754064708,0.751348360361913,0.5559971921631375,-295.4159240467579,1.7864082165521868,2.7295124084515754,14.893045332266247,201011393.1666667,7693097.069989687,0.7871485774442027,2042.4745196404808,5.3311898935762185,27.349032544959933,932.2739637754526,1420.7892695513451,23.899711558924537,14.85711360843897,62.35817907325796,1.0389394961888794,110308681.5883986,5582060.00918942,14.153729488000415,87430503.41471475
2021,2782.135,8.54384469894326,0.7507436658493597,0.568170054296025,-12254.220163626009,1.856764202286902,4.35045636240659,8.428991724541524,202036952.5833333,7637893.531466268,0.7655090848488225,2103.2727984375992,5.954244048549174,25.17196571294392,932.133605323463,1418.048488511533,23.854887584644008,14.689557105324829,61.933269508349206,1.0209447942478953,108189695.30852775,5596944.836266091,14.151592107982822,87076190.64476842
2022,2807.973,8.559722569305329,0.7519930900174834,0.5191983596929338,-14613.924467801482,2.71770596632874,11.662816969174893,3.900451165155242,203062512.0,,0.7310204007359983,2106.3124519964204,6.21669049464162,24.876254193822632,932.102270944094,1415.8959179807898,23.836879683303263,14.524480347847524,61.46361333570774,1.0273291181949042,105619554.8881342,5612096.8916552495,14.145782857460524,86623413.74689457
