Ano,Sergipe - Produção de Cimento (t),Sergipe - IDH,Sergipe - Consumo de Cimento (t),Sergipe - Desemprego, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Sergipe - Valor Cimento Portland,Sergipe - PIB - Estadual,Sergipe - PIB - Construção Civil,Sergipe - PIB - Per Capita,Sergipe - PIB - Preços de Mercado
2013,3222.957062366472,0.6910831528619529,590.339,12.53055382211128,0.5538880970557575,-7157.441849817399,2.4034452388120418,7.913560887352131,5.95293260648501,194406722.6863112,7833254.061482005,0.5967036355833683,21.195134216967976,1014.1162215174472,1404.2378421740875,26.695989993055864,19.374724272544128,68.96375867512961,3.006981170697136,5.325729603962268,24491519.668984435,1275642.906136901,9.895912439351251,20553345.86071996
2014,3058.777408960035,0.6917567489337823,633.1901428571429,13.099830913217062,0.630874793029868,-3453.461327179957,2.748396553946451,10.350441947934849,7.080488623598588,195457708.66030347,7839143.45463983,0.5717704528856438,20.011017911138698,1014.3551009168727,1387.649322154419,26.77359096305721,19.486571482679228,67.78307126103607,2.7993750802824757,5.656290151645439,24705914.540020622,1254701.6065681288,9.861954794783816,20510415.22310179
2015,2732.441148502084,0.6914031446782641,592.0145142857143,13.60560538454487,0.5541042521482707,-1442.9193869428318,2.50152930957994,12.454397626561702,6.134044967715732,196433899.2586442,7833221.463646377,0.5208136713370025,18.966436283945352,1014.406509266414,1395.69457302359,26.838572166169005,19.57830231526947,66.4975307850947,2.216390717539902,5.850928330207472,24841087.77600065,1238715.632354209,9.830307120386305,20460445.572254777
2016,2388.888256320291,0.7001619401294086,552.6243428571429,13.9295483548898,0.4224833689958323,-3128.377227515419,2.0734636810462583,13.111907772469475,4.765274329238291,197358032.3200872,7818954.81473363,0.4407878922585067,18.087189921490225,1014.355530520476,1395.8897699135705,26.770643292507703,19.675464027146205,66.45767930532647,1.9437864790639403,5.775264767458811,24926214.216652032,1222457.1740799116,9.814014341119622,20431965.90899522
2017,2146.114260282028,0.700449389232082,473.789,13.725373935128175,0.3698191241099404,-5386.337107960249,2.1773859032016323,9.479811697946742,5.310275626876232,198252845.68338645,7798615.333559711,0.3837115696747293,18.116474903487784,1014.3006718300444,1351.8061964119267,26.799272130865603,19.803364727358577,66.4781907751355,2.248767364102967,5.5983684153284425,24975542.85882809,1205785.0390132826,9.822125581305862,20445128.350369096
2018,2061.548731245747,0.7005811518895441,372.21,13.638961606267932,0.3285822922620568,-617.8957633825285,2.1991033826052147,6.239827995338425,7.216529334305507,199141077.18729573,7771953.540587035,0.3840184966215552,18.626443002225635,1014.188573568214,1309.4385485263283,26.901320743064463,19.66131195507971,65.12985787775553,2.409892781428308,5.484393055324986,24934680.310631704,1197917.317183674,9.829109854197364,20441668.61824856
2019,2120.688017803354,0.6997248929704117,409.903,13.5186141972049,0.4061057052544192,5943.684499867275,1.875262537009908,5.780756476062364,13.062917316927464,199985833.75,7737711.875699298,0.5899700505822413,19.239801637277186,1014.0540233434608,1312.356537834227,26.91262047007879,18.04989447584184,61.28149999705629,2.4417801014383307,5.647669524400819,24819314.1573418,1201062.7065963906,9.837050644395095,20445018.713538416
2020,2142.7623075132624,0.6992453377859036,526.396,13.428524684969911,0.5559971921631375,-295.4159240467579,1.7864082165521868,2.7295124084515754,14.893045332266247,201011393.1666667,7693097.069989687,0.7871485774442027,18.960355212414637,1014.6079425742896,1354.7731728160422,26.896440784014786,16.666837747259517,58.94441210170515,2.433042926815937,6.098266478746654,24555194.9088007,1212774.0500106572,9.83805146503406,20418451.229418404
2021,2078.1522522516966,0.6971767321300767,511.494,13.354175629595018,0.568170054296025,-12254.220163626009,1.856764202286902,4.35045636240659,8.428991724541524,202036952.5833333,7637893.531466268,0.7655090848488225,19.10681903360709,1015.15829630306,1418.8062338668406,26.821189334011333,16.635910538152647,59.13679517243525,2.4243204558661016,6.505132570376701,24189814.261019085,1225823.9307264169,9.859825918791728,20416500.71649545
2022,2043.813740809037,0.6967382532328109,425.37,13.374761343013247,0.5191983596929338,-14613.924467801482,2.71770596632874,11.662816969174893,3.900451165155242,203062512.0,,0.7310204007359983,19.22707814449465,1015.2090220258614,1459.3829514178967,26.75816877097129,16.80299855285183,59.05380336384624,2.427658225008773,6.663752958214141,23741704.12708389,1240387.6809800395,9.883406750470586,20406611.89006229
