Ano,Amapá - IDH,Amapá - Desemprego,Amapá - Consumo de Cimento (t), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Amapá - Produção de Cimento (t),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Amapá - PIB - Estadual,Amapá - PIB - Construção Civil,Amapá - PIB - Per Capita,Amapá - PIB - Preços de Mercado
2013,0.7185575398428732,14.922159181299897,250.519,0.5538880970557575,-7157.441849817399,2.4034452388120418,7.913560887352131,5.95293260648501,194406722.6863112,7833254.061482005,0.5967036355833683,0.0,17.566309988435183,1010.3751338011372,1304.0777748850471,25.86946992305586,23.2937117370412,86.54623887000469,1.0456500232754895,9394455.22397362,367285.96084828,10.900206588527086,7364457.216525761
2014,0.7172706681631126,15.577783266587833,227.243,0.630874793029868,-3453.461327179957,2.748396553946451,10.350441947934849,7.080488623598588,195457708.66030347,7839143.45463983,0.5717704528856438,0.0,19.13483447355858,1010.6064215320504,1297.9418030483596,25.831023408439275,23.260637612657337,86.51702087658803,1.0310846478247755,9501299.284934236,364732.7000674354,10.85966829931476,7367809.248788319
2015,0.7166265571767053,16.25590657332058,198.0696,0.5541042521482707,-1442.9193869428318,2.50152930957994,12.454397626561702,6.134044967715732,196433899.2586442,7833221.463646377,0.5208136713370025,0.0,25.74665924596324,1010.61081301563,1282.2072204875988,25.934518723115715,23.2783482218006,86.2612900736662,1.0021710546362133,9586010.685773414,358753.4630356614,10.8306175539968,7371887.198942956
2016,0.7193748421362899,16.4396927354181,166.85039999999998,0.4224833689958323,-3128.377227515419,2.0734636810462583,13.111907772469475,4.765274329238291,197358032.3200872,7818954.81473363,0.4407878922585067,0.0,29.39803172624199,1010.4715445150916,1283.3283343216508,26.010134030969056,23.24745911578033,86.14260230739778,0.9726351984487344,9648784.661339588,350101.3945154484,10.81678219047627,7379300.950100349
2017,0.7181361914214072,16.09041805763642,135.021,0.3698191241099404,-5386.337107960249,2.1773859032016323,9.479811697946742,5.310275626876232,198252845.68338645,7798615.333559711,0.3837115696747293,0.0,28.039516217922603,1010.4966892860934,1264.6035237663475,25.817331713111116,23.285926312916494,87.48787150364821,0.956772712388932,9684545.54745582,347692.74563246005,10.82059790496879,7391484.554432322
2018,0.7168758451869897,15.81286765369742,123.347,0.3285822922620568,-617.8957633825285,2.1991033826052147,6.239827995338425,7.216529334305507,199141077.18729573,7771953.540587035,0.3840184966215552,0.0,27.40492491638271,1010.5845356942444,1219.3600268592193,25.36825698401663,23.324207714094214,89.83102518613195,0.9212545407272892,9674264.62844664,348410.3461540085,10.816868155197108,7388254.743880454
2019,0.7146827402039887,15.509234359243685,120.153,0.4061057052544192,5943.684499867275,1.875262537009908,5.780756476062364,13.062917316927464,199985833.75,7737711.875699298,0.5899700505822413,0.0,27.683208220322783,1010.5331998566702,1190.6759776392432,25.243784522091968,23.30766837831381,90.35879066492228,0.9109501673326724,9603864.821157243,349107.3598288092,10.8083447300147,7367392.524758721
2020,0.7126538984043513,15.329624287182243,133.523,0.5559971921631375,-295.4159240467579,1.7864082165521868,2.7295124084515754,14.893045332266247,201011393.1666667,7693097.069989687,0.7871485774442027,0.0,25.793036852440764,1010.1926311101493,1142.7980669450528,25.42404984105835,23.00703890347992,87.93825058978108,0.9402923243683438,9484615.33125523,351761.772055464,10.80552519441414,7338462.789064301
2021,0.7116224346229287,15.114537328999338,157.621,0.568170054296025,-12254.220163626009,1.856764202286902,4.35045636240659,8.428991724541524,202036952.5833333,7637893.531466268,0.7655090848488225,0.0,23.292169144625337,1009.9928882478464,1052.1765135152282,25.444438397057976,22.844083504544063,87.0149055753955,0.9490517050534538,9300676.138871573,353376.47473531554,10.82624886934343,7304033.335286213
2022,0.7137699286795587,15.201106457340204,142.739,0.5191983596929338,-14613.924467801482,2.71770596632874,11.662816969174893,3.900451165155242,203062512.0,,0.7310204007359983,0.0,,,,,,,,9078023.510383513,354954.18258643226,10.84903280047721,7260038.69264673
