Ano,São Paulo - Produção de Cimento (t),São Paulo - Consumo de Cimento (t), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),São Paulo - IDH,São Paulo - PIB - Estadual,São Paulo - PIB - Construção Civil,São Paulo - PIB - Per Capita,São Paulo - PIB - Preços de Mercado,São Paulo - Desemprego,São Paulo - Valor Cimento Portland
2013,9197.980881400566,15089.297,0.5538880970557575,-7157.441849817399,2.4034452388120418,7.913560887352131,5.95293260648501,194406722.6863112,7833254.061482005,0.5967036355833683,15.620734038501134,836.8337183047911,1154.7024936500948,15.02080280595098,11.54297510682554,82.2786502456749,1.3268101334573268,0.8212623730639731,1184230644.2748942,47864231.40247139,24.04193208310752,1003186563.4677786,10.842572852591834,4.548609669258292
2014,8264.30955555374,13714.511285714289,0.630874793029868,-3453.461327179957,2.748396553946451,10.350441947934849,7.080488623598588,195457708.66030347,7839143.45463983,0.5717704528856438,15.751028305383535,836.9863310693237,1108.5446944326322,15.247907371517424,11.986365717159805,82.84872163542826,1.5329509570607165,0.8215342374859708,1197826309.5656452,47354349.11679839,24.001434217041968,1003012298.6339332,11.415799906732744,4.776665961763106
2015,7069.71132295496,11767.65342857143,0.5541042521482707,-1442.9193869428318,2.50152930957994,12.454397626561702,6.134044967715732,196433899.2586442,7833221.463646377,0.5208136713370025,15.89396254522029,837.0400415142873,1132.4162004956986,15.520196985235955,12.242333447772143,82.06485541841722,1.5396586860182302,0.821245423943135,1206908784.1297653,46893355.66697188,23.951007674549853,1001921684.6217096,11.865645969810474,4.739903573306841
2016,6155.235870947176,9811.084285714289,0.4224833689958323,-3128.377227515419,2.0734636810462583,13.111907772469475,4.765274329238291,197358032.3200872,7818954.81473363,0.4407878922585067,15.955572386805954,837.0110438326855,1181.4808849722024,15.455320035071956,11.972799652736846,81.27986077760252,1.3621669665185416,0.8243265379383057,1212819145.8663552,46509785.46040234,23.92237472476704,1001305154.982932,11.874466035916855,4.722215763234235
2017,5693.780427951802,9918.501,0.3698191241099404,-5386.337107960249,2.1773859032016323,9.479811697946742,5.310275626876232,198252845.68338645,7798615.333559711,0.3837115696747293,16.98432757896309,837.0069523817101,1198.6175086053763,15.304181214722805,12.004952765990936,82.75105156161145,1.502383627137157,0.8233562232054245,1214213262.5789945,46325371.59934972,23.91073270279053,1000929035.7659044,11.486715671668954,4.850941491079778
2018,5550.6996052992245,10001.077,0.3285822922620568,-617.8957633825285,2.1991033826052147,6.239827995338425,7.216529334305507,199141077.18729573,7771953.540587035,0.3840184966215552,16.610362189317836,836.9898761528844,1222.116437722297,15.275935089719182,12.25843020118134,83.90817846504248,1.6850168944785069,0.8226613344059175,1211766386.6565664,46290300.20182891,23.902107532422296,1000150957.3953652,11.319292895354122,4.971201488544968
2019,5770.714253985881,10458.276,0.4061057052544192,5943.684499867275,1.875262537009908,5.780756476062364,13.062917316927464,199985833.75,7737711.875699298,0.5899700505822413,14.690773557912472,836.9051865006049,1236.8955743486251,15.118042862321063,12.137403917192856,83.36922028415302,1.4790982343494057,0.8213578193519101,1204757184.0384598,46358898.95950396,23.89587693714402,999236444.4912002,11.198875878259976,5.221051507386501
2020,6097.048580700452,11181.809,0.5559971921631375,-295.4159240467579,1.7864082165521868,2.7295124084515754,14.893045332266247,201011393.1666667,7693097.069989687,0.7871485774442027,15.228411917563411,836.6290000586054,1193.7464125189122,15.075997954321764,11.537222149812926,80.65320505008042,1.231388652448788,0.8192085302020838,1190467558.594783,46554134.72686777,23.874352079235997,996967125.2846128,11.04448088091166,5.884904752744415
2021,6203.315350780873,12113.838,0.568170054296025,-12254.220163626009,1.856764202286902,4.35045636240659,8.428991724541524,202036952.5833333,7637893.531466268,0.7655090848488225,17.363903234017403,836.3827487434136,1075.628737315497,14.961645219529125,11.01416578868712,79.05559342960107,1.296972998661488,0.8188638511295458,1171137051.6755404,46817153.64445695,23.90323974800481,995982341.5037926,10.845148565088609,6.654432662256935
2022,6190.942190869374,12383.649,0.5191983596929338,-14613.924467801482,2.71770596632874,11.662816969174893,3.900451165155242,203062512.0,0.0,0.7310204007359983,17.53458339096637,836.3629974444408,983.833668990548,14.788160290805877,10.955362963559706,79.586575041102,1.3163562643601263,0.8200332921413227,1147641558.3096583,47134210.18243799,23.936645318153023,994641855.988586,10.85438022546187,7.030528526368761
