Ano,Pernambuco - Valor Cimento Portland,Pernambuco - IDH,Pernambuco - Produção de Cimento (t), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Pernambuco - Desemprego,Pernambuco - Consumo de Cimento (t),Pernambuco - PIB - Estadual,Pernambuco - PIB - Construção Civil,Pernambuco - PIB - Per Capita,Pernambuco - PIB - Preços de Mercado
2013,4.426818898354683,0.7135666520763188,1107.64415913104,0.5538880970557575,-7157.441849817399,2.4034452388120418,7.913560887352131,5.95293260648501,194406722.6863112,7833254.061482005,0.5967036355833683,21.669876064245354,1012.9073779972032,1521.1244335157169,25.68572619905136,20.95321821978218,76.28343410466697,1.611000515729879,13.117302821545035,2982.021,96273859.77827623,5616791.797474629,8.939247663039144,79353982.46154746
2014,4.366663204675325,0.714447206416012,988.2077369885284,0.630874793029868,-3453.461327179957,2.748396553946451,10.350441947934849,7.080488623598588,195457708.66030347,7839143.45463983,0.5717704528856438,19.852747591858297,1013.1597159557816,1654.4439141950004,25.780638864194447,20.81855900897652,75.11366614834654,1.5581113545892729,13.857508812184031,2983.632857142857,97336471.2872728,5498392.756728611,8.923226816922407,79295484.6066749
2015,4.15292250755768,0.7144011402840129,808.858464787353,0.5541042521482707,-1442.9193869428318,2.50152930957994,12.454397626561702,6.134044967715732,196433899.2586442,7833221.463646377,0.5208136713370025,18.352705462756028,1013.1875456679674,1731.5529701838848,25.90944314530008,21.066308973216668,75.7202459684028,1.5975756680412498,14.543115431836322,2632.8378857142857,97971546.80651258,5411869.962371622,8.896326232177124,79107501.17917758
2016,4.155704140703157,0.7229104532098483,597.5624193902606,0.4224833689958323,-3128.377227515419,2.0734636810462583,13.111907772469475,4.765274329238291,197358032.3200872,7818954.81473363,0.4407878922585067,16.82136961377978,1013.0813286589802,1774.9861970651548,25.89718109470468,21.31513072160116,76.98402669207998,1.6068104120183435,14.833751279516711,2308.455257142857,98490093.13329788,5357988.314887719,8.887508377316637,79055368.67406453
2017,4.397300834008597,0.7228114035016526,438.1778640178894,0.3698191241099404,-5386.337107960249,2.1773859032016323,9.479811697946742,5.310275626876232,198252845.68338645,7798615.333559711,0.3837115696747293,16.755667667490176,1013.0252636052838,1768.6237617561148,25.854376437476827,21.29666155929039,77.12907950657161,1.5788614281546998,14.580259344603984,1813.941,98592943.95919712,5346246.998414343,8.88097875959812,78989208.65354753
2018,4.590876178524537,0.7228851674563483,386.7747553505607,0.3285822922620568,-617.8957633825285,2.1991033826052147,6.239827995338425,7.216529334305507,199141077.18729573,7771953.540587035,0.3840184966215552,17.55928618257783,1012.9297208991144,1693.9131721898077,25.973805372062458,21.37661545521589,76.97726615036046,1.8989072000250025,14.328297255311773,1645.004,98118729.47859368,5353095.930209252,8.85819415291144,78730307.34663258
2019,4.746311993701202,0.721783819043289,384.6981534347785,0.4061057052544192,5943.684499867275,1.875262537009908,5.780756476062364,13.062917316927464,199985833.75,7737711.875699298,0.5899700505822413,18.0699934212883,1012.7757174737386,1612.605366053529,26.02563297650922,21.470428503325333,77.2264996076346,2.1550958384513668,14.284157448363324,1690.846,97312609.48218264,5380332.111189747,8.835747014902552,78485059.58059466
2020,5.066617003468094,0.7201278025926791,360.2549635362443,0.5559971921631375,-295.4159240467579,1.7864082165521868,2.7295124084515754,14.893045332266247,201011393.1666667,7693097.069989687,0.7871485774442027,17.690615767210534,1012.6736426377356,1590.6238188774144,25.875813499055948,21.641242448909967,78.75820846902903,2.014207977882022,14.265196132447736,2018.834,95898380.6600066,5418958.712434097,8.804547388200085,78117518.64668195
2021,5.462856257400867,0.7184121482829225,329.4304149716471,0.568170054296025,-12254.220163626009,1.856764202286902,4.35045636240659,8.428991724541524,202036952.5833333,7637893.531466268,0.7655090848488225,17.77520134257576,1012.5906012192944,1603.3396169203618,25.748682194562907,21.670676426434813,79.39895890996763,1.9234816151172704,14.24042911214708,2022.411,94323183.0351473,5466622.334357633,8.803751991382804,77985363.78602375
2022,5.700037066716052,0.7183587072177336,320.6349979588093,0.5191983596929338,-14613.924467801482,2.71770596632874,11.662816969174893,3.900451165155242,203062512.0,,0.7310204007359983,18.92218889110074,1012.5031953029992,1632.8441605421242,25.781330253600174,21.5336430952688,78.4580261664183,2.007364586530372,14.265103359653056,1940.927,92402451.79425669,5522972.632077565,8.801472907359122,77808111.52093555
