Ano,Mato Grosso - Produção de Cimento (t),Mato Grosso - Desemprego,Mato Grosso - IDH,Mato Grosso - Consumo de Cimento (t), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Mato Grosso - Valor Cimento Portland,Mato Grosso - PIB - Estadual,Mato Grosso - PIB - Construção Civil,Mato Grosso - PIB - Per Capita,Mato Grosso - PIB - Preços de Mercado
2013,1371.926396947897,7.06888140050866,0.7561130071829406,1618.657,0.5538880970557575,-7157.441849817399,2.4034452388120418,7.913560887352131,5.95293260648501,194406722.6863112,7833254.061482005,0.5967036355833683,31.55779991760144,985.7454323149304,817.4825005371719,26.5607214917968,18.794569405901363,66.30378977478459,1.6683949196471053,5.110700297952747,73140737.64388081,2912178.946756634,17.684469730461053,55197259.20957321
2014,1268.814713557253,7.495400530139395,0.755955757781519,1411.2344285714282,0.630874793029868,-3453.461327179957,2.748396553946451,10.350441947934849,7.080488623598588,195457708.66030347,7839143.45463983,0.5717704528856438,33.403861938883054,985.5829578178586,728.5550918338935,26.79258266145196,18.99803676454611,66.24963903925412,1.6893745043227162,5.303015436692365,74506952.99265689,2898180.820380595,17.765376989009695,55597246.63213971
2015,1123.3456269790577,7.838256458772852,0.7554520709299789,1241.1003428571426,0.5541042521482707,-1442.9193869428318,2.50152930957994,12.454397626561702,6.134044967715732,196433899.2586442,7833221.463646377,0.5208136713370025,31.02976507568006,985.2978025079664,631.1128190689843,26.74139766475449,18.88965810891791,66.1097727209458,1.670487331753109,5.300308321832778,75521292.80488929,2867942.7927061087,17.804826498952167,55839830.41129878
2016,1075.219902504282,7.730866936586208,0.7587771115582028,1083.1282285714285,0.4224833689958323,-3128.377227515419,2.0734636810462583,13.111907772469475,4.765274329238291,197358032.3200872,7818954.81473363,0.4407878922585067,27.875013419030864,985.1397475460416,546.2119487834244,26.647262346902085,18.70312197922409,65.82183757051146,1.6177121553447875,5.189896830846013,76313320.83239266,2837856.1572907246,17.84427582434464,56055545.86941466
2017,1111.8399842765175,7.251142586907594,0.7578477580634939,1220.058,0.3698191241099404,-5386.337107960249,2.1773859032016323,9.479811697946742,5.310275626876232,198252845.68338645,7798615.333559711,0.3837115696747293,26.02541711596557,985.0514901706068,572.0181159368999,26.72856034471354,18.5835042492188,65.27914290671394,1.5599394973774607,5.117115017830085,76590731.20461804,2826355.198550284,17.841399103041564,56102120.87879683
2018,1139.8725083273991,7.109464637507791,0.7567430087965388,1316.386,0.3285822922620568,-617.8957633825285,2.1991033826052147,6.239827995338425,7.216529334305507,199141077.18729573,7771953.540587035,0.3840184966215552,26.86406386977682,986.1306270981004,790.5271750311954,27.13197769127161,18.283627134971898,63.192140469161465,1.5271344032218657,5.097669592757951,76765591.25551,2824324.9676263034,17.858302703968686,56180803.36097593
2019,1211.0332406075263,7.037990886294342,0.7548105550507695,1446.064,0.4061057052544192,5943.684499867275,1.875262537009908,5.780756476062364,13.062917316927464,199985833.75,7737711.875699298,0.5899700505822413,27.06095254786282,988.002187630555,1086.573235314753,27.719470948346835,17.70944235290361,59.441753900329495,1.5296123913654194,5.407092832456315,76459881.7475012,2828969.352332703,17.84478944127938,56103499.9330252
2020,1314.6659250760342,6.87114222496693,0.7526115146008396,1555.266,0.5559971921631375,-295.4159240467579,1.7864082165521868,2.7295124084515754,14.893045332266247,201011393.1666667,7693097.069989687,0.7871485774442027,26.70344799372478,989.3428305535324,1296.4957008811436,27.84273910705492,17.44157367498369,57.84207642801996,1.5472610600963506,6.186666952621291,75844959.71425743,2832983.588470148,17.835879643500366,55993894.61283992
2021,1390.580528534533,6.623656770276929,0.7523034704736431,1788.146,0.568170054296025,-12254.220163626009,1.856764202286902,4.35045636240659,8.428991724541524,202036952.5833333,7637893.531466268,0.7655090848488225,25.95713207513536,989.8695294979276,1388.381414340125,27.80446256938198,17.29808994393758,57.234541141630245,1.6001422530359897,6.906997350860282,73727519.22740227,2820525.588839026,17.69047102503788,55304520.94127198
2022,1424.3179562676778,6.630924750183608,0.7537856041530653,1947.017,0.5191983596929338,-14613.924467801482,2.71770596632874,11.662816969174893,3.900451165155242,203062512.0,,0.7310204007359983,25.101402146965675,989.9868087186384,1412.105049932006,27.77428105037122,17.132150329888386,56.72219191359488,1.6394773030198555,7.185553475453066,71192784.48636036,2804678.328092952,17.513527534354484,54468561.15953037
