Ano,Acre - Consumo de Cimento (t),Acre - IDH, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Precipitation (mm/day),Atmospheric Pressure(mB),Global Radiation - Daylight (Kj/m²),Air Temperature - Dry Bulb (°C),Dew Point Temperature (°C),Air Relative Humidity (%),Wind Gust (m/s),Acre - Produção de Cimento (t),Acre - Desemprego,Acre - PIB - Estadual,Acre - PIB - Construção Civil,Acre - PIB - Per Capita,Acre - PIB - Preços de Mercado
2013,193.672,0.7118379599326597,0.5538880970557575,-7157.441849817399,2.4034452388120418,7.913560887352131,5.95293260648501,194406722.6863112,7833254.061482005,0.5967036355833683,25.63535333716191,985.4920971990932,1244.6794222142405,26.08511927665461,20.000566422165857,73.87119843749447,1.6658161448229667,0.0,11.122667631962752,8462721.704417042,403688.42817424977,9.371494020000128,6849507.566846702
2014,171.7092857142857,0.7123244565937149,0.630874793029868,-3453.461327179957,2.748396553946451,10.350441947934849,7.080488623598588,195457708.66030347,7839143.45463983,0.5717704528856438,23.987188360274263,985.694958943378,1230.9344732469294,26.457083128328467,21.16598393511536,76.0685711236518,1.6607112679849598,0.0,11.666938782207025,8560896.351340283,400704.12118773314,9.34326746456174,6852461.73082073
2015,151.48662857142855,0.7121014946431911,0.5541042521482707,-1442.9193869428318,2.50152930957994,12.454397626561702,6.134044967715732,196433899.2586442,7833221.463646377,0.5208136713370025,28.28885289936874,986.021420876474,1278.2520411008395,26.043362934000893,21.489384194528117,78.70449408596609,1.60321916201419,0.0,12.139670205232392,8597115.636515724,391942.316577976,9.284503902763296,6825760.025932724
2016,134.2230857142857,0.7200243801706033,0.4224833689958323,-3128.377227515419,2.0734636810462583,13.111907772469475,4.765274329238291,197358032.3200872,7818954.81473363,0.4407878922585067,31.32911049414565,985.9524891977954,1333.7995665026542,25.936105861331757,21.37618813293879,78.08799575708731,1.551042675969292,0.0,12.45807181124122,8620855.11783036,389049.0905509605,9.24719281501578,6809907.032026213
2017,150.491,0.7197538692770217,0.3698191241099404,-5386.337107960249,2.1773859032016323,9.479811697946742,5.310275626876232,198252845.68338645,7798615.333559711,0.3837115696747293,32.17395538404227,987.4150548827332,1385.2503878155403,26.52783232211777,21.280819481902352,74.80374599378776,1.421880849722352,0.0,12.24579046496806,8632052.00614293,389052.079088308,9.235469478922266,6808241.988984182
2018,148.696,0.7204587664840237,0.3285822922620568,-617.8957633825285,2.1991033826052147,6.239827995338425,7.216529334305507,199141077.18729573,7771953.540587035,0.3840184966215552,33.98141838051544,990.3004738164796,1358.1416015811262,27.126298413024852,21.73262759535395,74.09293517364996,1.1926351607228434,0.0,12.148885615720625,8619421.175623687,391132.6831641892,9.22984542905774,6804838.123685982
2019,153.80599999999998,0.7193186543462077,0.4061057052544192,5943.684499867275,1.875262537009908,5.780756476062364,13.062917316927464,199985833.75,7737711.875699298,0.5899700505822413,36.963599992571744,991.7489793436052,1319.2035651384413,27.958920997720934,22.407137936004144,73.29748633959763,0.9586364782116054,0.0,12.04573349545044,8563063.806940097,393404.51067989314,9.229435008931365,6792501.300367666
2020,178.033,0.7175294411049539,0.5559971921631375,-295.4159240467579,1.7864082165521868,2.7295124084515754,14.893045332266247,201011393.1666667,7693097.069989687,0.7871485774442027,34.08034138224303,990.9434303626876,1320.489173961318,29.23332531901081,22.62474566152646,69.06465196535642,0.7901336515957889,0.0,11.905311271127278,8474524.794974843,395956.0067062282,9.239312622784704,6780171.2803533655
2021,189.357,0.7149412084781315,0.568170054296025,-12254.220163626009,1.856764202286902,4.35045636240659,8.428991724541524,202036952.5833333,7637893.531466268,0.7655090848488225,28.02560818184997,990.2168091291138,1338.7005693758845,29.63369421110656,22.17979192481592,66.10095383022417,0.5805500848078348,0.0,11.81733418965036,8328314.777668074,399296.1379800864,9.26296245021642,6763503.264838437
2022,202.321,0.7153904092488707,0.5191983596929338,-14613.924467801482,2.71770596632874,11.662816969174893,3.900451165155242,203062512.0,,0.7310204007359983,38.6934590794596,990.1751839073746,1350.2886787187697,29.44989330992981,22.06799251187861,66.49156730771108,0.5418322605768865,0.0,11.830301285143577,8150141.368556486,403056.7536943113,9.289289290108696,6741051.793450301
