,Amazonas - PIB - Estadual,Amazonas - PIB - Construção Civil,Amazonas - PIB - Per Capita,Amazonas - PIB - Preços de Mercado
2006-11,49736363.70373995,2571099.672169486,12.489471188169102,43551904.40281635
2006-12,49771716.99448427,2572439.4839010346,12.487231224312813,43549206.5808427
2007-1,49807070.28522859,2573779.295632583,12.484991260456523,43546508.75886906
2007-2,49837505.112944946,2573364.7397459294,12.482967496364322,43542281.85927479
2007-3,49867939.94066131,2572950.1838592757,12.480943732272122,43538054.95968052
2007-4,49898374.76837767,2572535.6279726224,12.478919968179921,43533828.06008625
2007-5,49928809.59609403,2572121.0720859687,12.476896204087721,43529601.16049198
2007-6,49959244.423810385,2571706.516199315,12.47487243999552,43525374.26089771
2007-7,49989679.25152674,2571291.9603126617,12.472848675903318,43521147.361303434
2007-8,50020114.07924311,2570877.404426008,12.470824911811118,43516920.461709164
2007-9,50050548.90695947,2570462.8485393543,12.468801147718917,43512693.562114894
2007-10,50080983.734675825,2570048.2926527006,12.466777383626717,43508466.662520625
2007-11,50111418.56239219,2569633.736766047,12.464753619534516,43504239.762926355
2007-12,50141853.39010855,2569219.1808793936,12.462729855442316,43500012.863332085
2008-1,50172288.217824906,2568804.62499274,12.460706091350115,43495785.963737816
2008-2,50197439.40033639,2569315.0611380907,12.458474403418647,43492416.07845311
2008-3,50222590.582847886,2569825.497283441,12.456242715487177,43489046.1931684
2008-4,50247741.76535937,2570335.933428792,12.454011027555708,43485676.307883695
2008-5,50272892.947870865,2570846.369574142,12.45177933962424,43482306.42259899
2008-6,50298044.13038235,2571356.805719493,12.44954765169277,43478936.53731428
2008-7,50323195.31289384,2571867.2418648433,12.447315963761302,43475566.652029574
2008-8,50348346.49540533,2572377.678010194,12.445084275829833,43472196.76674486
2008-9,50373497.67791682,2572888.114155545,12.442852587898363,43468826.88146015
2008-10,50398648.86042831,2573398.5503008952,12.440620899966895,43465456.996175446
2008-11,50423800.0429398,2573908.986446246,12.438389212035426,43462087.11089074
2008-12,50448951.22545129,2574419.4225915964,12.436157524103956,43458717.22560603
2009-1,50474102.40796278,2574929.858736947,12.433925836172488,43455347.340321325
2009-2,50575683.10825856,2574436.210274145,12.435914130167022,43483670.76136425
2009-3,50677263.80855434,2573942.5618113433,12.437902424161555,43511994.18240718
2009-4,50778844.50885012,2573448.913348541,12.43989071815609,43540317.603450105
2009-5,50880425.2091459,2572955.264885739,12.441879012150622,43568641.02449303
2009-6,50982005.90944169,2572461.6164229373,12.443867306145156,43596964.44553596
2009-7,51083586.60973747,2571967.967960135,12.44585560013969,43625287.86657888
2009-8,51185167.31003325,2571474.319497333,12.447843894134223,43653611.2876218
2009-9,51286748.01032903,2570980.671034531,12.449832188128758,43681934.70866473
2009-10,51388328.710624814,2570487.022571729,12.45182048212329,43710258.12970766
2009-11,51489909.41092059,2569993.374108927,12.453808776117825,43738581.55075058
2009-12,51591490.111216374,2569499.725646125,12.455797070112357,43766904.97179351
2010-1,51693070.81151216,2569006.077183323,12.457785364106892,43795228.39283644
2010-2,51779228.278678186,2567086.969194734,12.45805112194919,43811342.73596497
2010-3,51865385.745844215,2565167.8612061446,12.458316879791488,43827457.07909351
2010-4,51951543.213010244,2563248.7532175556,12.458582637633786,43843571.42222205
2010-5,52037700.68017627,2561329.6452289666,12.458848395476082,43859685.76535058
2010-6,52123858.1473423,2559410.537240377,12.45911415331838,43875800.10847911
2010-7,52210015.61450833,2557491.429251788,12.459379911160678,43891914.45160765
2010-8,52296173.08167436,2555572.321263199,12.459645669002976,43908028.79473619
2010-9,52382330.54884039,2553653.2132746098,12.459911426845274,43924143.137864724
2010-10,52468488.01600642,2551734.105286021,12.46017718468757,43940257.480993256
2010-11,52554645.48317245,2549814.997297432,12.460442942529868,43956371.824121796
2010-12,52640802.950338475,2547895.8893088424,12.460708700372166,43972486.167250335
2011-1,52726960.417504504,2545976.7813202534,12.460974458214464,43988600.51037887
2011-2,52794519.26923171,2544195.5280522187,12.457134012341347,43992517.668902144
2011-3,52862078.12095892,2542414.274784184,12.453293566468233,43996434.82742541
2011-4,52929636.97268612,2540633.021516149,12.449453120595116,44000351.98594869
2011-5,52997195.82441332,2538851.7682481143,12.445612674722002,44004269.14447196
2011-6,53064754.67614053,2537070.5149800796,12.441772228848885,44008186.302995235
2011-7,53132313.527867734,2535289.2617120445,12.43793178297577,44012103.46151851
2011-8,53199872.37959494,2533508.00844401,12.434091337102654,44016020.62004178
2011-9,53267431.23132215,2531726.755175975,12.430250891229537,44019937.77856506
2011-10,53334990.08304935,2529945.5019079405,12.426410445356423,44023854.937088326
2011-11,53402548.93477655,2528164.248639906,12.422569999483306,44027772.0956116
2011-12,53470107.78650376,2526382.9953718707,12.418729553610191,44031689.25413487
2012-1,53537666.638230965,2524601.742103836,12.414889107737075,44035606.41265815
2012-2,53604834.16622554,2523143.18702551,12.413156654526485,44045515.97753249
2012-3,53672001.69422011,2521684.631947184,12.411424201315896,44055425.54240684
2012-4,53739169.222214684,2520226.0768688577,12.409691748105306,44065335.107281186
2012-5,53806336.75020926,2518767.521790532,12.407959294894717,44075244.67215553
2012-6,53873504.27820383,2517308.9667122057,12.406226841684127,44085154.23702988
2012-7,53940671.8061984,2515850.41163388,12.404494388473537,44095063.801904224
2012-8,54007839.33419298,2514391.8565555536,12.402761935262948,44104973.36677857
2012-9,54075006.86218755,2512933.3014772274,12.401029482052358,44114882.93165292
2012-10,54142174.39018212,2511474.7463989016,12.399297028841769,44124792.49652726
2012-11,54209341.918176696,2510016.1913205753,12.39756457563118,44134702.061401606
2012-12,54276509.44617127,2508557.6362422495,12.39583212242059,44144611.62627596
2013-1,54343676.97416584,2507099.0811639233,12.39409966921,44154521.1911503
2013-2,54387626.106129065,2504214.7540124888,12.391184365623152,44152330.785641775
2013-3,54431575.23809228,2501330.426861054,12.388269062036304,44150140.38013326
2013-4,54475524.3700555,2498446.099709619,12.385353758449455,44147949.97462473
2013-5,54519473.50201872,2495561.7725581843,12.382438454862607,44145759.56911621
2013-6,54563422.63398194,2492677.44540675,12.379523151275759,44143569.16360769
2013-7,54607371.76594516,2489793.118255315,12.37660784768891,44141378.75809917
2013-8,54651320.897908375,2486908.79110388,12.373692544102061,44139188.35259064
2013-9,54695270.0298716,2484024.4639524454,12.370777240515213,44136997.94708212
2013-10,54739219.16183482,2481140.136801011,12.367861936928366,44134807.5415736
2013-11,54783168.29379804,2478255.809649576,12.364946633341518,44132617.13606507
2013-12,54827117.42576125,2475371.482498141,12.362031329754668,44130426.730556555
2014-1,54871066.557724476,2472487.1553467065,12.35911602616782,44128236.32504803
2014-2,54904858.671055004,2470362.903008989,12.357201929615217,44127083.734065525
2014-3,54938650.784385525,2468238.650671272,12.355287833062615,44125931.14308303
2014-4,54972442.89771605,2466114.3983335546,12.353373736510012,44124778.552100524
2014-5,55006235.01104657,2463990.1459958376,12.351459639957408,44123625.96111802
2014-6,55040027.1243771,2461865.89365812,12.349545543404805,44122473.37013552
2014-7,55073819.23770763,2459741.6413204027,12.347631446852201,44121320.77915302
2014-8,55107611.35103815,2457617.3889826857,12.3457173502996,44120168.188170515
2014-9,55141403.46436868,2455493.1366449683,12.343803253746996,44119015.59718802
2014-10,55175195.5776992,2453368.8843072513,12.341889157194393,44117863.006205514
2014-11,55208987.69102973,2451244.631969534,12.339975060641791,44116710.41522301
2014-12,55242779.80436025,2449120.379631817,12.338060964089188,44115557.82424051
2015-1,55276571.91769078,2446996.1272940994,12.336146867536584,44114405.23325801
2015-2,55305188.24726432,2446136.447337611,12.336387317715728,44118778.88575692
2015-3,55333804.57683786,2445276.767381123,12.33662776789487,44123152.53825582
2015-4,55362420.9064114,2444417.0874246345,12.336868218074013,44127526.19075473
2015-5,55391037.235984944,2443557.407468146,12.337108668253155,44131899.843253635
2015-6,55419653.565558486,2442697.727511658,12.337349118432298,44136273.495752536
