Ano,Bahia- custo m2 (R$)
2020-11,32403.186691061954
2020-12,32726.287344941775
2021-1,33031.70691981921
2021-2,33325.839904621214
2021-3,33622.43934322686
2021-4,33914.72100422177
2021-5,34187.857846611914
2021-6,34440.03510008922
2021-7,34674.08750596496
2021-8,34894.85971825656
2021-9,35110.32078629249
2021-10,35238.74897010749
2021-11,35365.25512891056
2021-12,35489.262927290765
2022-1,35609.91045476649
2022-2,35726.19077112781
2022-3,35841.989699351485
2022-4,35941.12960365926
2022-5,36037.51520133295
2022-6,36120.02186384769
2022-7,36194.88061601074
2022-8,36243.085153141816
2022-9,36286.239344267604
2022-10,36323.660493634474
2022-11,36355.6814969302
2022-12,36381.53138818898
2023-1,36409.16579520221
2023-2,36430.97094115798
2023-3,36447.082940438464
2023-4,36432.6828250268
2023-5,36397.955399021
2023-6,36356.10371871493
2023-7,36305.71936083866
2023-8,36248.750561442976
2023-9,36181.447017628154
