Ano,Tocantins- custo m2 (R$)
2011-10,18648.962813434824
2011-11,18723.40353767263
2011-12,18798.790400478734
2012-1,18878.658379490375
2012-2,18958.861243846335
2012-3,19039.825855019983
2012-4,19103.94580238521
2012-5,19170.00554863309
2012-6,19248.36227197648
2012-7,19323.81856932677
2012-8,19397.237286528187
2012-9,19465.51040339293
2012-10,19538.251978110056
2012-11,19612.54984452612
2012-12,19687.38487604082
2013-1,19758.983840092875
2013-2,19836.823056660538
2013-3,19912.30942876185
2013-4,19990.801343874806
2013-5,20066.726027176333
2013-6,20154.182861039364
2013-7,20225.425188644003
2013-8,20322.920885569445
2013-9,20424.296245113354
2013-10,20518.722197710107
2013-11,20610.20177698103
2013-12,20701.58439410977
2014-1,20804.305904183875
2014-2,20903.27544550415
2014-3,21002.805939415535
2014-4,21101.12451256646
2014-5,21202.106731141594
2014-6,21298.550836907067
2014-7,21382.29631782402
2014-8,21468.184231058658
2014-9,21557.21294421234
2014-10,21649.562383820903
2014-11,21740.399534957858
2014-12,21844.117079660547
2015-1,21950.770389938498
2015-2,22062.282564425142
2015-3,22173.492146216257
2015-4,22288.57118126635
2015-5,22403.76750447842
2015-6,22519.84957544377
2015-7,22640.292365533653
2015-8,22748.972103837532
2015-9,22856.946618496062
2015-10,22964.863360809995
2015-11,23077.59297638346
2015-12,23187.813409024326
2016-1,23294.193184838907
2016-2,23390.47965995432
2016-3,23487.199745963502
2016-4,23587.496354260402
2016-5,23687.5421061317
2016-6,23785.158746437624
2016-7,23885.397071121923
2016-8,23985.66280078107
2016-9,24089.21399608152
2016-10,24203.542384895172
2016-11,24314.184221651798
2016-12,24422.329827502694
2017-1,24517.98743460151
2017-2,24613.054517145654
2017-3,24706.606597813425
2017-4,24795.23281111132
2017-5,24881.231007638773
2017-6,24963.961895458368
2017-7,25048.93296321377
2017-8,25130.87848561541
2017-9,25213.20473830475
2017-10,25295.393883606972
2017-11,25372.85675141915
2017-12,25450.614379481103
2018-1,25532.138480918995
2018-2,25617.737364512468
2018-3,25700.25323603406
2018-4,25785.49657256612
2018-5,25869.844944368273
2018-6,25954.106022699627
2018-7,26042.586375276405
2018-8,26135.822279442826
2018-9,26239.241248395105
2018-10,26348.967110687216
2018-11,26462.38822754012
2018-12,26587.041778680697
2019-1,26723.452430745554
2019-2,26865.80110413625
2019-3,27012.70429978911
2019-4,27160.710375339644
2019-5,27317.23073379328
2019-6,27483.34032004133
2019-7,27668.391716461396
2019-8,27860.23087469093
2019-9,28057.357249978195
2019-10,28259.96995429806
2019-11,28477.091914924404
2019-12,28699.769775404104
2020-1,28954.25294674947
2020-2,29213.274670541934
2020-3,29475.622982909877
2020-4,29758.5350185604
2020-5,30050.657843988865
2020-6,30353.36076030765
2020-7,30692.06085699353
2020-8,31039.87584641633
2020-9,31387.30061308925
2020-10,31731.8291715524
2020-11,32064.489621774137
2020-12,32389.581895125855
2021-1,32712.80944852269
2021-2,33032.54836725284
2021-3,33346.664842010316
2021-4,33663.18852654545
2021-5,33981.17706024352
2021-6,34291.858005681286
2021-7,34606.26163191883
2021-8,34904.8155077445
2021-9,35203.3280512762
2021-10,35375.465527371496
2021-11,35548.85704014692
2021-12,35716.713391567995
2022-1,35888.14243618425
2022-2,36033.162707221054
2022-3,36176.05156173036
2022-4,36320.93918412443
2022-5,36450.375363385116
2022-6,36569.56393545466
2022-7,36678.090015213675
2022-8,36744.92920398826
2022-9,36799.469273219605
2022-10,36849.57338247933
2022-11,36889.33788514808
2022-12,36930.82953657519
2023-1,36961.54308742442
2023-2,36976.091735122114
2023-3,36975.52867392829
2023-4,36970.498424123165
2023-5,36946.4280214232
2023-6,36910.472627944735
2023-7,36863.43030387837
2023-8,36780.86987987213
2023-9,36678.86484995212
