Ano,Mato Grosso- custo m2 (R$)
2017-5,24805.167852446
2017-6,24897.11151472272
2017-7,24984.007550700702
2017-8,25070.229115918977
2017-9,25157.08630621626
2017-10,25244.44837156879
2017-11,25333.687204483173
2017-12,25412.85786439752
2018-1,25496.283697170828
2018-2,25581.922340188037
2018-3,25671.916054532492
2018-4,25763.997812825142
2018-5,25854.530899357484
2018-6,25940.96959943295
2018-7,26028.84794950692
2018-8,26121.50125542345
2018-9,26217.221381957548
2018-10,26313.667435568244
2018-11,26412.128954030042
2018-12,26508.69395325387
2019-1,26618.955183874736
2019-2,26747.121926680033
2019-3,26902.76709441078
2019-4,27063.500815067255
2019-5,27233.55045170886
2019-6,27415.31172924483
2019-7,27612.166427500386
2019-8,27815.970894373848
2019-9,28028.088277607618
2019-10,28250.063215799277
2019-11,28475.16106976317
2019-12,28704.913393544393
2020-1,28937.361057404534
2020-2,29166.881003531755
2020-3,29426.540568089786
2020-4,29699.458823468507
2020-5,30000.065170624497
2020-6,30312.458523099336
2020-7,30641.59482766395
2020-8,30980.40864150389
2020-9,31328.7867514239
2020-10,31706.4115548824
2020-11,32086.01918997044
2020-12,32456.772256010045
2021-1,32837.6065070867
2021-2,33206.560003478786
2021-3,33558.50629076039
2021-4,33891.69525395119
2021-5,34220.49881392842
2021-6,34545.08204581045
2021-7,34860.0534808424
2021-8,35162.46872682898
2021-9,35461.59296830765
2021-10,35632.33625287031
2021-11,35801.83857818821
2021-12,35975.48371050589
2022-1,36150.73357778294
2022-2,36333.21326183206
2022-3,36522.682459974676
2022-4,36686.79303978086
2022-5,36837.565655783124
2022-6,36963.250059306665
2022-7,37081.04061303781
2022-8,37185.12578141706
2022-9,37279.00802253409
2022-10,37356.47022513532
2022-11,37386.16047928927
2022-12,37407.21670777775
2023-1,37423.59128837003
2023-2,37420.8355405467
2023-3,37407.7429946633
2023-4,37387.31498461551
2023-5,37351.48756100447
2023-6,37305.53850057876
2023-7,37240.69757299903
2023-8,37158.452637043476
2023-9,37057.735298933796
