Ano,Piauí- custo m2 (R$)
2019-8,26786.449027369705
2019-9,26985.303082784976
2019-10,27186.067192365124
2019-11,27393.94004077115
2019-12,27606.972883232796
2020-1,27839.38508922438
2020-2,28073.74714477172
2020-3,28311.196120850123
2020-4,28567.39372220764
2020-5,28839.354668436965
2020-6,29117.591306501872
2020-7,29403.919842515574
2020-8,29695.647924306853
2020-9,29988.112920401716
2020-10,30274.48817755876
2020-11,30555.24524828806
2020-12,30849.84268028247
2021-1,31137.36819354876
2021-2,31407.992596552052
2021-3,31676.043845883793
2021-4,31939.344201038082
2021-5,32199.73068523578
2021-6,32457.910534513612
2021-7,32715.729099607095
2021-8,32965.43665771937
2021-9,33211.651915481605
2021-10,33347.18422273532
2021-11,33487.25446216311
2021-12,33623.78226397952
2022-1,33762.07096719566
2022-2,33878.81885004036
2022-3,33996.4704908615
2022-4,34115.49870183466
2022-5,34215.97537699226
2022-6,34303.814779130946
2022-7,34386.43268302224
2022-8,34461.07677574668
2022-9,34526.33449540038
2022-10,34586.36744180034
2022-11,34640.80363340154
2022-12,34692.36045747551
2023-1,34710.957373677586
2023-2,34720.38945348403
2023-3,34722.07804414261
2023-4,34715.296118889324
2023-5,34695.52984429417
2023-6,34658.82373727105
2023-7,34607.29547579063
2023-8,34536.94939317425
2023-9,34443.443478319416
