Ano,Paraná- custo m2 (R$)
2010-5,18186.498808037286
2010-6,18290.83202659098
2010-7,18404.139529159387
2010-8,18515.148390206676
2010-9,18627.97378950035
2010-10,18740.641925350053
2010-11,18853.91768056206
2010-12,18967.6834470359
2011-1,19081.97040591585
2011-2,19196.47735150391
2011-3,19314.24802725702
2011-4,19431.495932718895
2011-5,19521.005362896147
2011-6,19639.32872999639
2011-7,19727.58765138463
2011-8,19816.395598502975
2011-9,19907.88304009445
2011-10,19999.824667346023
2011-11,20090.468591070883
2011-12,20180.61547857496
2012-1,20270.321474073055
2012-2,20359.988532569667
2012-3,20448.844722889316
2012-4,20537.578582525777
2012-5,20623.790607056377
2012-6,20706.702888669017
2012-7,20790.666171568566
2012-8,20871.547531617733
2012-9,20937.810779401636
2012-10,21000.059085317986
2012-11,21063.798619194884
2012-12,21127.10761794249
2013-1,21188.39974387936
2013-2,21247.44422016433
2013-3,21306.49721748393
2013-4,21363.56495605999
2013-5,21420.966568781234
2013-6,21508.2076137993
2013-7,21566.9271828565
2013-8,21673.229622274295
2013-9,21760.712561534936
2013-10,21844.63908238066
2013-11,21928.28549901402
2013-12,22014.47502774755
2014-1,22102.76522262863
2014-2,22192.331217497103
2014-3,22286.174537597664
2014-4,22379.869431775387
2014-5,22470.380061351912
2014-6,22560.27698899059
2014-7,22651.047072670626
2014-8,22738.54851963189
2014-9,22820.174866326062
2014-10,22902.08413340615
2014-11,22984.639746632438
2014-12,23086.475688008715
2015-1,23189.27401596925
2015-2,23293.511858256796
2015-3,23401.28405495256
2015-4,23507.602970002943
2015-5,23611.579664165045
2015-6,23714.479931417776
2015-7,23824.106713409987
2015-8,23931.908948727403
2015-9,24020.236894165224
2015-10,24108.39249279033
2015-11,24197.84684810482
2015-12,24286.687283800547
2016-1,24376.439166577133
2016-2,24464.1255735965
2016-3,24548.765458414855
2016-4,24631.127518023364
2016-5,24714.716866722298
2016-6,24800.51557703599
2016-7,24898.504731894052
2016-8,25000.692439225142
2016-9,25106.16394778827
2016-10,25210.938622920155
2016-11,25316.981775767377
2016-12,25426.45569472932
2017-1,25515.853245886883
2017-2,25603.2881281301
2017-3,25695.98499078058
2017-4,25789.265826205636
2017-5,25883.153639597534
2017-6,25977.884128892067
2017-7,26086.875847207866
2017-8,26189.046645856804
2017-9,26291.298843757402
2017-10,26394.587454973574
2017-11,26499.0036786916
2017-12,26602.766675234183
2018-1,26706.962377100175
2018-2,26808.110197723097
2018-3,26910.238455358336
2018-4,27013.747700193915
2018-5,27118.39484676882
2018-6,27220.37215248406
2018-7,27321.228613207484
2018-8,27416.6270597649
2018-9,27516.09062344939
2018-10,27622.101576013898
2018-11,27743.62673832194
2018-12,27878.851941639376
2019-1,28033.493497698768
2019-2,28200.60697222554
2019-3,28374.785111900957
2019-4,28561.051644985047
2019-5,28756.800947409112
2019-6,28993.853137364455
2019-7,29243.782096721035
2019-8,29489.365081404976
2019-9,29741.63892702841
2019-10,30001.69137770741
2019-11,30268.486763885652
2019-12,30542.680908481445
2020-1,30821.917117323228
2020-2,31109.89313242982
2020-3,31406.001763750366
2020-4,31716.82530065632
2020-5,32037.075863931066
2020-6,32361.31751734254
2020-7,32731.719259482517
2020-8,33110.00764001874
2020-9,33487.87214165657
2020-10,33863.962376722026
2020-11,34239.43014816505
2020-12,34607.02715652919
2021-1,34964.873589486124
2021-2,35309.1946117675
2021-3,35649.61272686019
2021-4,35991.26247410426
2021-5,36320.81126653526
2021-6,36643.637395497026
2021-7,36930.8044211732
2021-8,37229.2232441212
2021-9,37522.48545152358
2021-10,37671.89549269064
2021-11,37820.83676093902
2021-12,37969.1975600258
2022-1,38116.05343139404
2022-2,38264.901380154595
2022-3,38411.45067382621
2022-4,38556.699473442924
2022-5,38690.59370871681
2022-6,38820.32324755438
2022-7,38948.5188623689
2022-8,39023.88013777035
2022-9,39092.013992784465
2022-10,39156.11026622647
2022-11,39213.15021353307
2022-12,39259.651986441924
2023-1,39295.08340511933
2023-2,39322.457568267855
2023-3,39335.76435938941
2023-4,39331.66689245336
2023-5,39310.84038592931
2023-6,39274.836082548005
2023-7,39220.89811105166
2023-8,39146.23779570282
2023-9,39010.575489594194
