Ano,Distrito Federal- custo m2 (R$)
2022-3,37988.52280699935
2022-4,38120.598043939855
2022-5,38247.1594249958
2022-6,38343.97033046089
2022-7,38432.94380194436
2022-8,38517.20496093506
2022-9,38591.97301313153
2022-10,38664.32031369365
2022-11,38736.86517674665
2022-12,38782.20117848456
2023-1,38811.49335710151
2023-2,38838.796960312786
2023-3,38855.479376422816
2023-4,38852.84243645404
2023-5,38835.53150724318
2023-6,38780.9309240983
2023-7,38706.62699555588
2023-8,38617.41783681236
2023-9,38511.57298163532
