Ano,Minas Gerais- custo m2 (R$)
2014-6,21461.368450957892
2014-7,21562.63265995245
2014-8,21659.30349835149
2014-9,21757.925266014012
2014-10,21858.47043381543
2014-11,21957.253601825563
2014-12,22059.31707227143
2015-1,22146.719410957143
2015-2,22233.922226539027
2015-3,22335.785164515622
2015-4,22436.981173853903
2015-5,22540.37441091227
2015-6,22643.438056409068
2015-7,22748.31974527785
2015-8,22852.1184596695
2015-9,22954.916268390156
2015-10,23056.977111609773
2015-11,23160.66292355849
2015-12,23261.617795415357
2016-1,23363.103463862135
2016-2,23465.521584314032
2016-3,23565.49856029991
2016-4,23649.301820145418
2016-5,23733.341428936397
2016-6,23819.10633852764
2016-7,23905.67425460049
2016-8,23993.550001430045
2016-9,24084.73748108471
2016-10,24176.783852820845
2016-11,24268.38596341279
2016-12,24360.94988915947
2017-1,24465.875456851063
2017-2,24572.082314930532
2017-3,24680.51129632627
2017-4,24777.098768404045
2017-5,24873.120147884663
2017-6,24967.61679557798
2017-7,25065.500035152847
2017-8,25160.770041068663
2017-9,25258.852522321708
2017-10,25357.964894850924
2017-11,25458.007910835433
2017-12,25560.070665677827
2018-1,25666.83623445869
2018-2,25775.253025695358
2018-3,25884.108565315382
2018-4,25993.788157254476
2018-5,26097.533388624048
2018-6,26200.087510250323
2018-7,26301.24406477528
2018-8,26406.9516119217
2018-9,26518.539808054185
2018-10,26640.566590237235
2018-11,26773.832564470224
2018-12,26918.449229797927
2019-1,27090.20697144361
2019-2,27260.40087990468
2019-3,27445.840442455174
2019-4,27651.137771968002
2019-5,27869.731629183603
2019-6,28106.24370023052
2019-7,28361.44180032547
2019-8,28622.079387369802
2019-9,28888.02141484534
2019-10,29157.817718774393
2019-11,29432.688796813647
2019-12,29711.001263874427
2020-1,29993.638418939667
2020-2,30282.244381888257
2020-3,30600.414817728924
2020-4,30934.258210635326
2020-5,31281.196579071668
2020-6,31641.149705407337
2020-7,32011.268729798292
2020-8,32388.924539288557
2020-9,32767.69888474503
2020-10,33143.1833556979
2020-11,33511.08349376852
2020-12,33865.800451509305
2021-1,34229.54333358505
2021-2,34570.166728730794
2021-3,34902.94154197214
2021-4,35222.15891135004
2021-5,35520.269342766
2021-6,35801.926234879924
2021-7,36067.28975599521
2021-8,36315.118081621134
2021-9,36552.31254476912
2021-10,36697.68970465856
2021-11,36842.48399594669
2021-12,36988.17702192669
2022-1,37135.75686148178
2022-2,37283.438800209595
2022-3,37428.510037849854
2022-4,37543.53087732535
2022-5,37642.99120766718
2022-6,37729.389853573746
2022-7,37802.26421259272
2022-8,37865.27288878713
2022-9,37918.959949281336
2022-10,37963.67136633183
2022-11,38003.71877710228
2022-12,38037.752425938634
2023-1,38069.820438070994
2023-2,38069.048486275904
2023-3,38058.819461883024
2023-4,38037.12604127616
2023-5,38004.550288559
2023-6,37962.79318978585
2023-7,37913.79356551518
2023-8,37853.8657722473
2023-9,37780.30631076224
