Ano,Rondônia,Acre,Amazonas,Roraima,Pará,Amapá,Tocantins,Maranhão,Piauí,Ceará,Rio Grande do Norte,Paraíba,Pernambuco,Alagoas,Sergipe,Bahia,Minas Gerais,Espírito Santo,Rio de Janeiro,São Paulo,Paraná,Santa Catarina,Rio Grande do Sul,Mato Grosso do Sul,Mato Grosso,Goiás,Distrito Federal
2005-10,11711.14,12019.08,13370.92,15002.69,12003.9,12519.48,13247.63,12330.92,10945.44,11829.34,11556.38,11430.26,12525.87,13008.64,11371.27,12873.43,12814.49,12250.57,14680.15,14632.71,13657.17,13176.37,13184.6,12422.97,12285.07,12157.8,13871.18
2005-11,11676.85,12067.96,13449.28,15119.09,12034.68,12546.21,13251.52,12411.88,10978.83,11886.71,11795.19,11452.65,12556.27,13070.3,11376.8,12904.58,12860.55,12262.5,14694.39,14639.28,13673.82,13183.02,13242.72,12432.19,12309.29,12168.84,13864.68
2005-12,11692.4,12053.13,13448.85,15115.32,12099.42,12772.12,13294.28,12437.98,10995.82,11929.15,11803.61,11473.59,12874.7,13124.69,11396.08,12947.05,13165.66,12292.76,14697.04,14662.15,13686.79,13191.89,13267.46,12441.13,12351.7,12200.07,13887.7
2006-1,11721.06,12109.05,13513.73,15154.62,12174.04,12875.65,13344.64,12819.57,11400.47,12005.55,11892.13,11476.79,12894.11,13129.63,11538.34,13013.51,13267.05,12294.84,14696.05,14712.93,13699.84,13213.04,13284.66,12456.3,12352.64,12208.72,13906.97
2006-2,11720.48,12131.73,13532.55,15186.5,12299.68,12910.01,13370.97,12810.66,11463.26,12043.99,11897.85,11483.83,12901.5,13158.8,11563.18,13257.33,13276.99,12318.04,14696.18,14730.7,13727.55,13239.4,13307.21,12474.97,12377.81,12225.07,13934.5
2006-3,11767.52,12124.18,13560.46,15200.69,12345.9,12928.29,13392.5,12819.48,11474.61,12060.28,11921.2,11532.1,12924.6,13187.98,11584.2,13302.8,13299.65,12341.52,14744.66,14757.05,13743.4,13264.72,13338.95,12500.29,12385.61,12241.27,13970.6
2006-4,11709.37,12081.7,13560.51,15255.91,12352.1,12960.58,13428.98,12838.63,11481.46,12307.82,11950.95,11554.16,12945.65,13188.16,11596.7,13394.08,13321.36,12354.5,15204.22,14763.94,13758.18,13265.82,13341.1,12509.13,12403.44,12245.0,13992.26
2006-5,11821.34,12187.5,13571.01,15238.18,12435.79,13035.55,13451.22,12886.67,11620.0,12394.31,12033.53,11929.3,12962.37,13566.43,12083.11,13454.6,13348.23,12825.45,15238.64,15091.25,13805.66,13516.26,13379.4,12550.89,12421.52,12294.26,14255.58
2006-6,11980.94,12237.74,13628.56,15270.71,12453.05,13093.61,13481.67,12941.72,11674.42,12450.04,12067.24,11948.66,12999.25,13638.22,12141.0,13518.34,13377.93,12850.37,15288.37,15158.83,13834.35,13548.4,13646.55,12672.04,12438.0,12571.62,14282.78
2006-7,12010.45,12267.23,13955.19,15287.09,12483.04,13131.02,13505.63,13029.24,11720.59,12473.89,12095.1,11980.93,13044.86,13696.82,12199.37,13547.28,13409.46,12860.03,15298.52,15228.73,14091.06,13585.95,13687.15,12654.14,12498.51,12611.47,14317.7
2006-8,12005.73,12702.89,13960.76,15290.76,12531.94,13169.46,13553.14,13044.41,11729.33,12547.56,12121.96,12003.23,13071.57,13711.54,12232.1,13566.36,13423.5,12867.22,15307.34,15253.69,14142.29,13601.84,13720.97,12697.99,12753.83,12653.71,14350.88
2006-9,12028.55,12730.95,14001.98,15337.95,12804.46,13192.73,13576.73,13072.54,11780.04,12611.1,12152.42,12015.75,13111.01,13731.06,12285.39,13612.98,13440.52,12897.7,15342.17,15270.27,14159.62,13610.48,13725.48,12736.48,12758.21,12686.84,14370.97
2006-10,12096.0,12759.41,14030.96,15364.13,12867.68,13230.05,13634.48,13111.57,11798.91,12643.63,12170.98,12056.54,13179.03,13807.58,12322.74,13669.06,13480.75,12914.81,15383.41,15274.46,14170.05,13616.37,13778.14,12714.99,12786.18,12710.22,14410.62
2006-11,12112.33,12811.59,14078.55,15380.62,12896.03,13259.26,13649.94,13107.08,11834.46,12655.98,12349.44,12095.46,13444.05,13843.8,12344.75,13714.95,13522.78,12955.17,15422.62,15320.02,14189.94,13642.02,13789.9,12737.86,12845.7,12728.25,14427.3
2006-12,12147.0,12860.35,14106.58,15684.43,12901.26,13937.88,13693.67,13128.63,11873.17,12682.69,12391.39,12112.6,13519.99,13872.07,12364.14,13780.25,13863.64,12994.66,15467.42,15340.75,14183.0,13648.17,13795.92,12775.44,12918.58,12750.05,14450.96
2007-1,12161.15,12902.57,14144.76,15747.17,12935.79,14088.36,13911.85,13391.07,11944.3,12749.94,12446.39,12171.57,13547.39,13912.48,12386.76,13803.63,13888.43,13007.25,15430.58,15372.83,14207.79,13649.18,13843.29,12833.34,12963.92,12784.41,14477.73
2007-2,12464.37,12921.04,14240.01,15764.04,12982.92,14104.87,13928.63,13413.76,12261.55,12811.05,12480.95,12181.53,13613.7,13969.21,12442.81,13860.57,13955.62,13028.04,15443.08,15411.72,14236.49,13698.16,13893.62,12858.65,12964.23,12838.23,14490.43
2007-3,12496.87,12970.41,14251.74,15741.28,12990.35,14143.34,13966.63,13483.12,12317.75,12885.86,12524.56,12206.67,13627.81,14010.68,12521.94,14244.14,13995.86,13063.58,15863.23,15439.64,14267.3,13726.04,13927.09,12920.68,12977.62,12867.03,14515.34
2007-4,12547.1,12984.82,14281.97,15768.73,13054.94,14154.16,14009.03,13492.61,12339.03,13445.47,12537.95,12611.59,13686.64,14050.32,12566.92,14282.28,14021.52,13146.96,15918.05,15447.82,14277.38,13725.05,13944.24,12951.45,13050.52,12876.65,14516.14
2007-5,12634.37,13081.21,14316.29,15800.35,13088.56,14139.1,14063.21,13524.3,12411.33,13463.05,12645.16,12698.47,13737.22,14358.21,13092.77,14348.16,14061.0,13502.63,15951.29,15700.29,14348.63,14124.31,13963.75,13036.08,13169.46,12906.85,14720.89
2007-6,12754.04,13152.26,14356.73,15819.85,13114.54,14174.09,14088.53,13520.75,12436.5,13511.2,12662.66,12773.14,13762.14,14414.35,13202.66,14417.59,14102.96,13529.58,15974.5,15746.95,14359.67,14147.36,14201.6,13420.81,13308.05,13140.1,14795.65
2007-7,12782.18,13743.24,14654.27,15850.05,13136.2,14170.46,14119.29,13614.0,12522.76,13548.52,12720.75,12808.38,13809.89,14433.76,13229.13,14452.18,14122.27,13576.06,15999.59,15770.05,14667.72,14176.05,14247.02,13503.59,13345.85,13164.95,14870.97
2007-8,12778.61,13742.14,14675.1,15860.87,13158.04,14197.52,14188.07,13647.48,12551.97,13565.63,12774.72,12825.69,13894.98,14439.22,13248.91,14476.91,14160.02,13617.75,16028.07,15812.11,14689.22,14232.25,14259.93,13528.07,13642.57,13191.07,14945.38
2007-9,12834.14,13833.04,14718.06,15963.52,13550.79,14312.36,14258.49,13650.52,12637.58,13634.45,12808.08,12843.61,13967.92,14535.73,13262.99,14541.99,14200.0,13704.69,16114.14,15871.96,14707.16,14281.35,14298.99,13618.01,13687.22,13248.15,14978.61
2007-10,12936.63,13871.95,14786.42,16018.61,13595.7,14365.92,14316.38,13651.34,12671.75,13686.41,12815.96,12861.62,14243.36,14538.28,13281.13,14647.15,14236.49,13754.14,16159.21,15925.32,14737.09,14329.22,14313.28,13670.01,13789.32,13352.97,15024.56
2007-11,13001.58,13891.91,14932.16,16028.15,13619.62,14422.05,14482.39,13833.19,12718.28,13758.27,13192.55,12912.49,14314.4,14591.2,13331.82,14676.48,14305.1,13794.98,16197.7,15977.97,14778.04,14414.22,14338.37,13775.08,13873.1,13463.49,15094.8
2007-12,13081.26,13932.39,14934.9,16073.31,13739.92,14486.31,14794.0,14236.14,12781.96,13824.34,13240.64,12934.8,14341.17,14620.51,13364.35,14675.66,14929.45,13855.66,16265.62,16040.24,14822.19,14493.68,14399.73,13821.93,13920.73,13537.47,15141.36
2008-1,13190.79,13963.3,15014.69,16132.13,13832.78,14811.75,14811.95,14263.07,12830.87,13929.44,13269.57,13216.83,14379.85,14657.1,13380.74,14718.09,14991.09,13900.59,16271.17,16118.83,14856.12,14549.93,14431.76,13896.28,13969.31,13567.26,15237.41
2008-2,13253.22,13990.87,15016.99,16186.87,13970.59,14918.49,14835.37,14370.14,13353.93,14015.95,13272.88,13338.01,14479.65,14723.88,13455.43,14817.76,15079.89,13929.32,16274.01,16189.38,14871.65,14635.97,14507.62,13883.18,13980.91,13576.05,15305.61
2008-3,13402.07,14069.0,15026.56,16580.43,13992.68,15021.89,14899.54,14414.41,13406.84,14102.78,13354.35,13411.38,14487.38,14770.97,13548.32,15236.15,15166.49,13989.66,17037.43,16248.95,14910.05,14661.02,14549.94,13935.55,14116.23,13670.58,15330.3
2008-4,13437.23,14187.37,15099.27,16619.71,14029.71,15077.82,14826.24,14442.21,13415.5,14117.05,13428.01,13485.69,14561.75,14783.04,13587.18,15257.25,15202.25,14029.12,17133.42,16291.74,15006.02,14771.42,14627.79,13962.36,14189.18,13726.9,15352.85
2008-5,13914.37,14951.68,15205.24,16696.26,14084.98,15155.15,14926.88,14582.36,13600.16,14602.63,13449.09,13509.11,14646.61,15259.85,14036.6,15316.29,15223.28,14608.77,17187.39,16898.71,15146.24,15372.66,14671.13,14364.58,14240.86,14102.45,15835.91
2008-6,14081.61,15207.01,15289.38,16809.94,14300.73,15172.77,14979.29,14635.05,13686.44,14653.96,13559.72,13636.76,14795.61,15455.38,14110.77,15399.37,15304.93,14678.23,17346.98,17095.21,15871.44,15554.05,15265.58,14489.64,14385.67,14241.77,15951.9
2008-7,14342.5,15349.53,16100.71,16900.75,14436.17,15222.3,15163.1,14723.37,13771.35,14723.54,13622.63,13780.52,14927.51,15554.55,14226.23,15558.52,15362.16,14821.4,17462.03,17268.94,16039.21,15676.93,15377.25,14620.58,15002.83,14386.62,16150.66
2008-8,14579.19,15536.25,16362.07,17101.03,14647.15,15241.47,15946.92,14963.06,13957.93,14940.4,13765.87,13936.07,15140.51,15747.57,14403.11,15740.54,15538.58,15070.45,17608.02,17489.59,16268.37,15799.27,15681.23,14902.47,15276.69,14618.03,16348.33
2008-9,14788.46,15848.76,16680.35,17465.78,14769.55,15556.27,16157.23,15221.19,14301.15,15140.58,14056.48,14130.52,15365.06,15910.54,14556.42,15925.16,15859.33,15230.68,17826.1,17704.09,16465.49,16021.82,15852.37,15133.58,15577.21,14847.16,16651.98
2008-10,15218.12,15889.48,16961.83,17535.26,15372.9,15691.04,16347.99,15389.65,14512.39,15261.45,14184.75,14210.43,15521.56,16042.7,14778.27,16079.2,15954.17,15373.33,17985.43,17858.42,16565.62,16152.96,15911.45,15228.72,15761.2,14922.95,16780.91
2008-11,15212.99,16051.8,16970.01,18056.09,15568.96,15753.5,16516.54,15558.73,14575.06,15343.3,14606.47,14409.68,16171.89,16139.24,14817.68,16154.42,16025.63,15459.86,18058.11,17954.94,16655.99,16288.52,15962.1,15351.13,15903.03,15081.26,16923.25
2008-12,15304.23,16131.93,17009.76,18062.83,15617.5,16435.63,16658.56,15632.72,15160.55,15383.89,14680.65,14389.12,16239.29,16169.8,14830.21,16176.3,16371.11,15523.62,18105.15,18052.58,16704.59,16363.52,16123.92,15379.06,15866.15,15086.3,17042.51
2009-1,15367.43,16186.02,17101.88,18091.58,15625.04,16471.72,16688.0,16118.3,15164.16,15399.54,14709.12,14525.61,16332.33,16231.98,14873.11,16219.54,16451.88,15610.7,18165.69,18080.28,16843.01,16412.4,16174.39,15438.93,15932.66,15152.66,17163.85
2009-2,15470.64,16228.91,17148.32,18206.33,15777.89,16564.4,16668.57,16154.28,15160.8,15409.7,14741.96,14590.85,16400.4,16273.21,14903.88,16293.96,16604.45,15703.05,18211.56,18132.37,16864.09,16401.01,16199.49,15512.22,15955.04,15192.39,17184.73
2009-3,15527.97,16260.22,17256.77,18225.84,15811.69,16611.61,16693.76,16223.71,15228.03,15497.36,14725.22,15247.11,16439.65,16395.21,15032.28,16865.3,16671.47,15775.54,18901.24,18201.26,16869.96,16471.68,16245.37,15518.74,16034.52,15225.97,17304.71
2009-4,15561.18,16401.97,17367.31,18260.62,15804.26,16598.35,16738.41,16175.78,15232.38,15986.27,14760.2,15277.24,16439.01,16426.52,15087.85,16880.16,16699.04,15840.22,18999.71,18234.44,16887.87,16503.49,16259.14,15561.12,16030.61,15249.45,17305.31
2009-5,15725.68,17278.92,17301.83,18383.4,15813.57,16591.37,16728.49,16206.19,15220.58,16031.5,14753.18,15289.08,16466.43,16599.53,15110.4,16898.2,16769.15,16389.69,19048.84,18798.96,16887.32,17034.76,16271.99,16050.74,15979.89,15491.65,17565.02
2009-6,15736.6,17365.89,17310.71,18352.78,15807.11,16662.87,16732.7,16305.35,15222.45,16039.43,14760.54,15355.1,16486.39,16655.14,15119.87,16895.68,16798.47,16387.95,19059.76,18836.41,16932.42,17039.22,16703.9,16101.76,16455.68,15532.56,17640.56
2009-7,15819.23,17387.55,17711.22,18417.17,15803.69,16671.85,16618.2,16445.29,15189.08,16080.65,14780.47,15382.76,16601.78,16669.68,15148.73,16893.03,16808.81,16448.43,19072.32,18869.31,17586.46,17057.85,16721.54,16085.89,16467.52,15576.89,17655.64
2009-8,15752.13,17378.05,17732.11,18445.86,15899.03,16754.1,16666.04,16431.69,15277.62,16148.56,14792.17,15375.04,16609.22,16702.08,15579.61,16913.61,16814.72,16467.7,19093.65,18896.06,17591.86,17071.35,16737.32,16138.94,16510.53,15658.59,17692.96
2009-9,15746.6,17276.0,17805.54,18567.51,15929.56,16735.0,16704.7,16482.08,15382.61,16227.77,14798.73,15434.84,16675.44,16684.72,15585.78,16947.98,16840.45,16519.68,19101.57,18915.6,17627.63,17086.97,16788.48,16163.28,16552.25,15683.01,17739.58
2009-10,15764.76,17327.47,17881.09,19026.55,16399.89,16757.7,16718.96,16531.38,15383.36,16263.01,14800.89,15460.42,17196.43,16709.95,15606.41,16971.5,16847.61,16550.32,19112.53,18923.97,17640.33,17112.42,16802.04,16195.91,16554.06,15750.11,17782.33
2009-11,15816.03,17339.3,17891.55,19048.28,16448.25,16822.33,17100.96,16543.8,15486.62,16279.09,15354.4,15500.3,17212.02,16734.21,15678.29,16989.11,16871.91,16564.08,19149.27,19012.28,17647.27,17140.04,16831.98,16287.92,16580.83,15778.63,17864.39
2009-12,15918.73,17384.39,17899.32,19098.44,16477.55,16894.24,17141.77,16670.59,15553.79,16349.59,15352.24,15528.17,17255.52,16807.77,15704.19,17010.36,17386.79,16596.68,19183.88,19077.94,17672.07,17176.1,16892.0,16342.29,16626.14,15873.97,17945.78
2010-1,16016.03,17442.1,18037.0,19072.31,16513.07,17438.34,17305.94,16757.28,16260.01,16470.46,15435.78,15520.17,17279.63,16905.86,15872.03,17057.88,17422.7,16641.86,19238.25,19115.14,17682.3,17216.07,16969.17,16406.13,16641.43,15995.24,17971.89
2010-2,17554.07,17435.61,17997.41,19128.25,16692.19,17479.41,17335.45,17319.53,16332.6,16583.15,15475.53,15536.05,17322.02,16955.08,15908.62,17107.12,17469.82,16700.45,19273.01,19140.07,17697.36,17223.07,16996.7,16446.0,16659.01,16039.84,17974.39
2010-3,17667.94,17469.34,18109.27,19193.98,16762.64,17606.75,17397.39,17444.45,16364.69,16666.74,15520.44,15600.16,17325.73,16993.71,15995.84,17711.54,17497.16,16729.07,20003.19,19178.63,17721.64,17252.86,17063.13,16547.52,16712.95,16180.05,18008.43
2010-4,17759.84,17488.71,18142.15,19071.62,16814.61,17621.93,17456.79,17422.61,16397.12,16703.43,15539.37,15639.4,17336.92,16993.28,16019.44,17722.27,17535.7,16774.77,20067.84,19259.08,17731.38,17292.28,17204.85,17145.27,16691.47,16314.47,18127.93
2010-5,17865.54,17556.92,18177.54,18990.77,16831.15,17620.03,17500.6,17372.5,16411.9,17302.56,15580.15,15740.75,17362.73,17069.03,16464.17,17743.98,17637.44,16884.63,20136.86,19909.08,17776.49,17983.99,17237.85,17189.64,16773.14,17026.3,18596.19
2010-6,17925.3,17676.34,18261.02,19018.9,16943.92,17689.89,17531.98,17438.14,16511.45,17398.55,15637.52,16398.2,17452.7,17477.22,16565.62,17766.04,17753.91,17013.71,20181.97,20015.49,17836.74,18078.65,17558.82,17287.6,16833.06,17121.2,18625.35
2010-7,17995.96,18395.86,18329.58,19044.32,16989.58,17739.0,17667.41,17499.95,16546.04,17478.75,15662.95,16476.99,17490.36,17567.0,16626.15,17832.41,17773.3,17180.85,20260.32,20087.25,18672.37,18122.63,17616.74,17436.83,17873.63,17159.99,18768.49
2010-8,18070.88,18452.58,18711.76,19035.07,17022.53,17740.11,17722.74,17525.03,16607.05,17498.12,15677.36,16507.14,17505.93,17625.34,16647.39,17888.95,17835.78,17567.21,20295.5,20118.35,18704.92,18198.19,17633.63,17526.04,17943.81,17231.87,18847.51
2010-9,18212.21,18513.27,18774.88,19403.5,17681.15,17795.91,17734.85,17538.02,16551.88,17516.93,15687.48,16553.31,17537.35,17695.48,16683.17,17929.76,17904.39,17595.14,20351.96,20159.2,18718.24,18232.46,17674.51,17530.03,17932.49,17288.34,18865.95
2010-10,18253.53,18570.52,18853.37,19403.98,17772.43,17827.95,17741.87,17669.96,16655.56,17566.43,16445.22,16561.36,18284.3,17726.97,16707.07,17941.81,17927.54,17645.4,20397.4,20204.59,18727.43,18308.22,17753.78,17571.16,17926.22,17316.97,18860.43
2010-11,18461.62,18660.76,18964.69,19426.31,17798.85,17863.5,17683.42,17685.34,16671.14,17710.67,16514.34,16576.87,18314.67,17787.93,16735.54,18019.09,18789.74,17703.0,20428.56,20253.79,18743.2,18335.58,17815.48,17609.3,18009.51,17322.51,18972.25
2010-12,18266.82,18689.69,19001.64,19466.48,17846.13,17940.27,17718.81,17702.97,16740.53,17780.17,16556.78,16630.34,18350.23,17883.58,16782.94,18076.95,18811.61,17750.3,20506.09,20309.03,18774.12,18419.25,17872.94,17625.04,17997.31,17328.41,19177.01
2011-1,18275.42,18712.5,18988.64,19438.37,17866.8,18008.7,18210.37,17745.41,17355.19,17804.85,16568.93,16619.06,18380.63,17893.14,16781.55,18106.62,18831.36,17784.01,20558.76,20342.73,18812.11,18428.15,17887.38,17582.78,17970.66,17389.95,19168.82
