,Alagoas- custo m2 (R$)
2010-4-4,16993.28
2010-5-5,17069.03
2010-6-6,17477.22
2010-7-7,17567.0
2010-8-8,17625.34
2010-9-9,17695.48
2010-10-10,17726.97
2010-11-11,17787.93
2010-12-12,17883.58
2011-1-1,17893.14
2011-2-2,17943.25
2011-3-3,17985.86
2011-4-4,18081.37
2011-5-5,18075.66
2011-6-6,18583.68
2011-7-7,18585.19
2011-8-8,18604.63
2011-9-9,18594.81
2011-10-10,18648.57
2011-11-11,18670.41
2011-12-12,18694.52
2012-1-1,18692.11
2012-2-2,18704.2
2012-3-3,18737.73
2012-4-4,18789.71
2012-5-5,18841.62
2012-6-6,19275.84
2012-7-7,19280.28
2012-8-8,19341.4
2012-9-9,19307.89
2012-10-10,19359.07
2012-11-11,19333.78
2012-12-12,19337.83
2013-1-1,19379.42
2013-2-2,19413.02
2013-3-3,19417.51
2013-4-4,19466.29
2013-5-5,18911.13
2013-6-6,20191.33
2013-7-7,19008.15
2013-8-8,18992.81
2013-9-9,19078.12
2013-10-10,19083.86
2013-11-11,19153.48
2013-12-12,19138.15
2014-1-1,19207.13
2014-2-2,19267.11
2014-3-3,19349.58
2014-4-4,19387.83
2014-5-5,19359.3
2014-6-6,19424.79
2014-7-7,19756.15
2014-8-8,19766.62
2014-9-9,19743.93
2014-10-10,19837.5
2014-11-11,19957.4
2014-12-12,20102.38
2015-1-1,20197.48
2015-2-2,20338.35
2015-3-3,20473.47
2015-4-4,20462.71
2015-5-5,20565.52
2015-6-6,21181.92
2015-7-7,21156.55
2015-8-8,21254.95
2015-9-9,21502.61
2015-10-10,21488.21
2015-11-11,21557.95
2015-12-12,21592.95
2016-1-1,21584.57
2016-2-2,21760.03
2016-3-3,21803.32
2016-4-4,21932.34
2016-5-5,21890.13
2016-6-6,22673.18
2016-7-7,22754.16
2016-8-8,22706.63
2016-9-9,22734.8
2016-10-10,22735.78
2016-11-11,22723.47
2016-12-12,22759.61
2017-1-1,22675.24
2017-2-2,22664.49
2017-3-3,22746.02
2017-4-4,22838.1
2017-5-5,22886.26
2017-6-6,22877.84
2017-7-7,23318.98
2017-8-8,23269.72
2017-9-9,23504.86
2017-10-10,23671.86
2017-11-11,23900.83
2017-12-12,23876.71
2018-1-1,23976.1
2018-2-2,23987.51
2018-3-3,23982.29
2018-4-4,24048.97
2018-5-5,23993.24
2018-6-6,23921.03
2018-7-7,24023.86
2018-8-8,24078.74
2018-9-9,24254.68
2018-10-10,24435.97
2018-11-11,24478.14
2018-12-12,24601.03
2019-1-1,24619.32
2019-2-2,24631.42
2019-3-3,24763.8
2019-4-4,24845.51
2019-5-5,24808.48
2019-6-6,24745.74
2019-7-7,25060.43
2019-8-8,25092.05
2019-9-9,24936.44
2019-10-10,25000.23
2019-11-11,25136.09
2019-12-12,25176.21
2020-1-1,25241.11
2020-2-2,25310.04
2020-3-3,25431.7
2020-4-4,25473.12
2020-5-5,25537.47
2020-6-6,25590.2
2020-7-7,25734.49
2020-8-8,26015.28
2020-9-9,26406.16
2020-10-10,27041.59
2020-11-11,27554.19
2020-12-12,28091.25
2021-1-1,28996.34
2021-2-2,29539.83
2021-3-3,30047.73
2021-4-4,30891.05
2021-5-5,31413.29
2021-6-6,31741.63
2021-7-7,32040.49
2021-8-8,32554.33
2021-9-9,32553.95
2021-10-10,33252.89
2021-11-11,33500.67
2021-12-12,33733.72
2022-1-1,34984.03
2022-2-2,35164.8
2022-3-3,35245.02
2022-4-4,35381.61
2022-5-5,35657.72
2022-6-6,35781.13
2022-7-7,35814.69
2022-8-8,35919.9
2022-9-9,36309.49
2022-10-10,37321.99
2022-11-11,37254.89
2022-12-12,37277.75
2023-1-1,37302.02
2023-2-2,37373.86
2023-3-3,37434.68
2023-4-4,37694.54
2023-5-5,37701.72
2023-6-6,37635.73
2023-7-7,37619.42
2023-8-8,37565.81
2023-9-9,38237.71
