Ano,Rio de Janeiro- custo m2 (R$)
2010-5,20072.39341514764
2010-6,20186.62222059553
2010-7,20300.14927408297
2010-8,20412.339472569605
2010-9,20525.493443425054
2010-10,20639.110655867236
2010-11,20753.145064466356
2010-12,20868.165231602514
2011-1,20984.236058511822
2011-2,21102.162716219696
2011-3,21219.01314099921
2011-4,21334.1925864315
2011-5,21417.554860663542
2011-6,21534.195561175162
2011-7,21616.07333044361
2011-8,21698.195236811916
2011-9,21782.483452828397
2011-10,21867.02404433555
2011-11,21948.498493329298
2011-12,22030.746278479884
2012-1,22114.222911498135
2012-2,22199.416701277118
2012-3,22288.647750157666
2012-4,22378.82793923815
2012-5,22469.16836408485
2012-6,22558.34091406316
2012-7,22646.765989440053
2012-8,22736.093881590197
2012-9,22826.90356340694
2012-10,22918.295402590247
2012-11,23007.62100966622
2012-12,23097.16562079275
2013-1,23186.478281796633
2013-2,23272.670980231018
2013-3,23354.696659088393
2013-4,23435.981832926947
2013-5,23516.10610326359
2013-6,23629.3075571942
2013-7,23707.010250990512
2013-8,23817.277126920035
2013-9,23925.487573656937
2013-10,24031.579086326903
2013-11,24137.539597387957
2013-12,24242.402885225885
2014-1,24347.169550669678
2014-2,24451.44948208135
2014-3,24554.44055924062
2014-4,24651.615106364756
2014-5,24748.53566079591
2014-6,24852.69540154512
2014-7,24956.565084963117
2014-8,25059.77731140237
2014-9,25161.12738139853
2014-10,25260.50786747999
2014-11,25356.314652477744
2014-12,25453.738400290225
2015-1,25549.70213048405
2015-2,25643.27894372257
2015-3,25736.66420828362
2015-4,25832.082117450864
2015-5,25927.031511012585
2015-6,26006.817335660522
2015-7,26099.43671889453
2015-8,26193.433789668077
2015-9,26289.390660336412
2015-10,26387.70582537068
2015-11,26487.821269024633
2015-12,26585.91987456824
2016-1,26687.32430292217
2016-2,26787.31848153956
2016-3,26884.893359079528
2016-4,26979.270150912973
2016-5,27075.33515182212
2016-6,27173.898610822656
2016-7,27248.982349787508
2016-8,27324.262498049226
2016-9,27404.36852226651
2016-10,27485.728137386264
2016-11,27567.421408200673
2016-12,27650.559709337886
2017-1,27735.23953197151
2017-2,27822.97478506309
2017-3,27913.663271621066
2017-4,28008.280191281006
2017-5,28101.296070338765
2017-6,28196.883306243384
2017-7,28291.178121969566
2017-8,28369.283456726196
2017-9,28455.574266257994
2017-10,28544.256176582927
2017-11,28633.91393885256
2017-12,28720.214605583744
2018-1,28807.45939601263
2018-2,28891.857459136925
2018-3,28978.75131582259
2018-4,29078.02209044999
2018-5,29179.113966767072
2018-6,29280.810065031255
2018-7,29383.036013076333
2018-8,29486.212414367943
2018-9,29592.872208578523
2018-10,29702.242283809384
2018-11,29819.661348022102
2018-12,29950.519714140904
2019-1,30087.812979545044
2019-2,30230.016111128178
2019-3,30382.298995333596
2019-4,30546.42278561344
2019-5,30736.592430395736
2019-6,30940.889090805063
2019-7,31161.519617020607
2019-8,31395.170667940016
2019-9,31637.091019189276
2019-10,31882.82319782053
2019-11,32144.928239070272
2019-12,32413.496081931862
2020-1,32690.95407124509
2020-2,32975.011105433514
2020-3,33265.64281250078
2020-4,33562.54284304524
2020-5,33881.35040942473
2020-6,34212.562173560604
2020-7,34565.073236999975
2020-8,34926.09828238617
2020-9,35290.55227969267
2020-10,35658.00248522561
2020-11,36022.0259587239
2020-12,36382.49380792189
2021-1,36736.23164657048
2021-2,37089.952027530184
2021-3,37438.80582174247
2021-4,37785.17718554674
2021-5,38124.09237738211
2021-6,38437.20339670837
2021-7,38764.94062744109
2021-8,39076.65575010273
2021-9,39379.95197626931
2021-10,39545.41849571409
2021-11,39705.46538493979
2021-12,39853.091961696504
2022-1,39999.397247062305
2022-2,40144.82066576412
2022-3,40290.188345440736
2022-4,40437.08486635456
2022-5,40582.17430268783
2022-6,40693.875757586604
2022-7,40795.45702275616
2022-8,40871.62309666438
2022-9,40934.32168885202
2022-10,40988.93727490789
2022-11,41036.62619103904
2022-12,41080.573144667105
2023-1,41117.68382592202
2023-2,41144.32401358682
2023-3,41159.5713038979
2023-4,41168.29786343301
2023-5,41155.89919244403
2023-6,41127.31262128352
2023-7,41085.437504463465
2023-8,40981.16267298215
2023-9,40855.12465681662
