Ano,Rio Grande do Sul- custo m2 (R$)
2018-1,25969.37120915858
2018-2,26079.418498063595
2018-3,26186.715482528212
2018-4,26297.599687767262
2018-5,26404.788673727016
2018-6,26510.58963914244
2018-7,26609.94824110473
2018-8,26708.726253549907
2018-9,26815.055334978835
2018-10,26928.395427629992
2018-11,27056.1685856514
2018-12,27200.974025492076
2019-1,27353.172994269316
2019-2,27512.74818611178
2019-3,27677.774839521266
2019-4,27855.036423366986
2019-5,28039.852722100877
2019-6,28231.631207096172
2019-7,28443.345826065524
2019-8,28663.08576507669
2019-9,28884.510066903124
2019-10,29107.467408285043
2019-11,29338.587381062734
2019-12,29579.630416030923
2020-1,29825.28396519764
2020-2,30072.443613280073
2020-3,30326.251064611024
2020-4,30598.03587240863
2020-5,30875.57742719723
2020-6,31165.68944257417
2020-7,31483.400867134005
2020-8,31808.675410522355
2020-9,32140.944576991184
2020-10,32476.193132950615
2020-11,32810.68002489593
2020-12,33132.09556447236
2021-1,33437.11824894135
2021-2,33737.598560261176
2021-3,34034.450812794836
2021-4,34329.99624082082
2021-5,34615.49276770764
2021-6,34901.59746251594
2021-7,35184.950039157164
2021-8,35462.79175779169
2021-9,35735.46085968383
2021-10,35872.398810776845
2021-11,36011.91541105915
2021-12,36146.264398908184
2022-1,36277.17258517008
2022-2,36409.255794377874
2022-3,36542.88156124939
2022-4,36677.583991199106
2022-5,36797.53014022324
2022-6,36913.01846155447
2022-7,37018.13942259382
2022-8,37093.08542201628
2022-9,37159.163406705746
2022-10,37216.297357717434
2022-11,37262.597688645554
2022-12,37297.766963716
2023-1,37325.28964138144
2023-2,37347.464361188366
2023-3,37359.41404383725
2023-4,37361.09395299991
2023-5,37348.4557345578
2023-6,37320.998188179525
2023-7,37269.070370173715
2023-8,37194.27232021949
2023-9,37075.55083552538
