Ano,Pará- custo m2 (R$)
2009-10,16286.126181049322
2009-11,16384.79733809407
2009-12,16482.259501353066
2010-1,16579.40576766522
2010-2,16677.58113260988
2010-3,16772.19159884828
2010-4,16865.77562961768
2010-5,16958.169208953102
2010-6,17051.41314537504
2010-7,17143.18840016064
2010-8,17235.656076466654
2010-9,17325.776757604366
2010-10,17417.181209283728
2010-11,17505.438108708455
2010-12,17594.332799150907
2011-1,17683.685881714184
2011-2,17772.718702288785
2011-3,17862.281909582598
2011-4,17950.781304312717
2011-5,18014.89222180879
2011-6,18099.190047337655
2011-7,18159.182775619083
2011-8,18218.371972346133
2011-9,18291.687566472534
2011-10,18367.431535437205
2011-11,18428.694501853282
2011-12,18490.638933766735
2012-1,18554.20871810171
2012-2,18620.33734974327
2012-3,18686.489109276605
2012-4,18750.974364591468
2012-5,18814.009440815422
2012-6,18876.83373126159
2012-7,18938.301702402132
2012-8,18999.81299428461
2012-9,19058.988033423757
2012-10,19130.34969211395
2012-11,19187.062518294155
2012-12,19244.212812367332
2013-1,19301.789547330933
2013-2,19359.757173159847
2013-3,19416.8163256266
2013-4,19471.014374933624
2013-5,19525.452804946297
2013-6,19604.816898479712
2013-7,19667.427446462203
2013-8,19756.154888724308
2013-9,19846.837601303454
2013-10,19942.99372446327
2013-11,20036.570299749514
2013-12,20130.22286705352
2014-1,20224.729477936926
2014-2,20323.213983239686
2014-3,20420.089628821243
2014-4,20515.871884322154
2014-5,20615.492650030945
2014-6,20717.536184912893
2014-7,20821.533377844553
2014-8,20926.451167139297
2014-9,21032.955007401633
2014-10,21157.521680339963
2014-11,21269.98804744661
2014-12,21383.193262327273
2015-1,21497.09163885707
2015-2,21610.801477459645
2015-3,21719.984626526988
2015-4,21830.17051021883
2015-5,21941.06634971445
2015-6,22052.52825879135
2015-7,22161.171960022195
2015-8,22264.636133768327
2015-9,22373.035751014122
2015-10,22480.28714182454
2015-11,22569.632925852322
2015-12,22658.529305976874
2016-1,22745.76535575082
2016-2,22831.995475706197
2016-3,22913.87305718511
2016-4,22994.39557613131
2016-5,23075.277284127416
2016-6,23155.235337884485
2016-7,23235.579198149208
2016-8,23315.964214890122
2016-9,23396.763460762584
2016-10,23489.12465368832
2016-11,23565.678387838292
2016-12,23645.82982335649
2017-1,23725.474038887693
2017-2,23805.47551643934
2017-3,23885.326007030762
2017-4,23972.588688265536
2017-5,24059.567426593017
2017-6,24148.102346529315
2017-7,24237.93447076886
2017-8,24328.7932975188
2017-9,24419.77895392187
2017-10,24513.916366226113
2017-11,24605.10022794859
2017-12,24694.678948399534
2018-1,24787.30424722449
2018-2,24881.840551132118
2018-3,24976.011879202026
2018-4,25067.565936794213
2018-5,25159.78635231794
2018-6,25252.122251668774
2018-7,25344.290556031716
2018-8,25437.907522519108
2018-9,25543.255141042155
2018-10,25658.748848802963
2018-11,25774.49852625428
2018-12,25900.854855609712
2019-1,26034.772101165894
2019-2,26175.422265702186
2019-3,26326.5352605851
2019-4,26489.77381678009
2019-5,26659.532084708957
2019-6,26835.13177160928
2019-7,27017.10829048846
2019-8,27210.78591946233
2019-9,27418.604952563226
2019-10,27660.73385049468
2019-11,27905.587472622607
2019-12,28156.751089860853
2020-1,28417.33358254374
2020-2,28679.175609795155
2020-3,28950.71224364542
2020-4,29235.109802103445
2020-5,29534.04865649751
2020-6,29844.536866786893
2020-7,30161.680022197466
2020-8,30483.61776640493
2020-9,30809.95307750464
2020-10,31147.02181090183
2020-11,31485.434524414057
2020-12,31815.47138151936
2021-1,32144.630290211386
2021-2,32471.650049171505
2021-3,32795.55428965047
2021-4,33112.489984121195
2021-5,33419.94398753632
2021-6,33721.58790392055
2021-7,34019.955580090165
2021-8,34313.53838191876
2021-9,34598.8747587036
2021-10,34764.745270471176
2021-11,34903.251370267935
2021-12,35034.91887609213
2022-1,35168.8714685882
2022-2,35298.779181193495
2022-3,35429.885291718885
2022-4,35555.486918856805
2022-5,35671.3075050912
2022-6,35777.25891393332
2022-7,35873.398169345615
2022-8,35964.35149346387
2022-9,36052.06622915368
2022-10,36133.84621195376
2022-11,36185.38765803963
2022-12,36219.955622500376
2023-1,36245.723194121034
2023-2,36253.24432218449
2023-3,36246.397180094085
2023-4,36229.21218244534
2023-5,36200.25440247188
2023-6,36157.819931665006
2023-7,36097.25037460608
2023-8,36021.38903495694
2023-9,35927.533022476746
