Ano,Espírito Santo- custo m2 (R$)
2013-3,19761.632650664073
2013-4,19838.512997167058
2013-5,19914.235005969644
2013-6,20015.62548729194
2013-7,20092.509678020368
2013-8,20188.81612225392
2013-9,20287.988884935952
2013-10,20387.9025878779
2013-11,20488.834900454513
2013-12,20588.60161461702
2014-1,20689.541802138177
2014-2,20793.090544448733
2014-3,20896.827973422303
2014-4,20997.715854770253
2014-5,21096.498017993144
2014-6,21194.57990292047
2014-7,21280.73164040686
2014-8,21377.755060316907
2014-9,21475.987604809197
2014-10,21576.88223880956
2014-11,21683.49878177859
2014-12,21794.05317586814
2015-1,21901.981720297925
2015-2,22011.755628209936
2015-3,22122.19285460087
2015-4,22232.25102202815
2015-5,22341.810165392664
2015-6,22452.999250278845
2015-7,22557.966265850006
2015-8,22656.138645193474
2015-9,22756.902370151423
2015-10,22854.48570658439
2015-11,22952.869035537577
2015-12,23049.973405641318
2016-1,23151.53058504998
2016-2,23253.455458170625
2016-3,23350.583109471074
2016-4,23447.14831632921
2016-5,23542.958774728373
2016-6,23642.030626906642
2016-7,23747.80737637575
2016-8,23853.672799558786
2016-9,23951.87336566576
2016-10,24049.862462826102
2016-11,24146.816140867257
2016-12,24236.061393093554
2017-1,24320.559928138973
2017-2,24404.45744258471
2017-3,24488.375234714807
2017-4,24569.832222064073
2017-5,24652.789185330104
2017-6,24737.32202247169
2017-7,24824.314528026647
2017-8,24908.93571705066
2017-9,24997.1579021906
2017-10,25084.406790599565
2017-11,25171.972731089667
2017-12,25259.187296305023
2018-1,25345.041661420604
2018-2,25429.214132366946
2018-3,25513.491044085236
2018-4,25598.25977744471
2018-5,25682.48123583482
2018-6,25773.194347285975
2018-7,25862.153606885553
2018-8,25951.950672814324
2018-9,26047.13838451342
2018-10,26151.963997142964
2018-11,26269.217089680038
2018-12,26398.148129451725
2019-1,26540.56847101006
2019-2,26695.29538004825
2019-3,26857.824317547504
2019-4,27027.010829442046
2019-5,27214.252433674254
2019-6,27422.703928538416
2019-7,27649.20519192753
2019-8,27874.90398098674
2019-9,28102.393333311964
2019-10,28334.526709457296
2019-11,28580.808748617656
2019-12,28839.766626526394
2020-1,29109.696408775806
2020-2,29387.664873007547
2020-3,29674.921826898168
2020-4,29973.926536751493
2020-5,30301.066266533267
2020-6,30648.867389608746
2020-7,30996.751533329614
2020-8,31351.708021624392
2020-9,31702.803069559297
2020-10,32051.275001907165
2020-11,32391.157267310515
2020-12,32720.307883180525
2021-1,33037.130531215815
2021-2,33349.02751203633
2021-3,33652.96102493405
2021-4,33955.17463120724
2021-5,34253.10185165144
2021-6,34559.9273499775
2021-7,34845.457419802784
2021-8,35113.63399588187
2021-9,35380.68134312463
2021-10,35535.34132964416
2021-11,35690.1169881512
2021-12,35836.838623535645
2022-1,35977.55885954776
2022-2,36111.57366205502
2022-3,36243.861393476014
2022-4,36371.2211782392
2022-5,36488.61741774474
2022-6,36577.201631968645
2022-7,36642.35742361809
2022-8,36700.68751082616
2022-9,36749.324186502585
2022-10,36795.261556042744
2022-11,36833.884359190706
2022-12,36868.50057833985
2023-1,36899.52310177922
2023-2,36930.83171653993
2023-3,36950.42061721874
2023-4,36958.55429086885
2023-5,36954.02132364577
2023-6,36937.74849491864
2023-7,36867.947370468995
2023-8,36784.82688282035
2023-9,36681.53127361071
