Ano,Mato Grosso do Sul- custo m2 (R$)
2009-6,15961.771143137508
2009-7,16063.317077798083
2009-8,16165.818002182328
2009-9,16268.01092017599
2009-10,16370.656721555148
2009-11,16472.69650599765
2009-12,16574.530518572286
2010-1,16675.175248814274
2010-2,16775.64291416931
2010-3,16876.001316285066
2010-4,16975.378460356922
2010-5,17061.939614900508
2010-6,17156.49399260516
2010-7,17250.490651999175
2010-8,17342.140363408587
2010-9,17430.389653355633
2010-10,17518.732650484428
2010-11,17608.327432544032
2010-12,17696.861338287978
2011-1,17784.612234485907
2011-2,17876.497281895234
2011-3,17967.74250886924
2011-4,18060.740834287346
2011-5,18130.4816856535
2011-6,18202.403858608595
2011-7,18252.9153425978
2011-8,18315.70959289984
2011-9,18380.863298832846
2011-10,18446.24191880544
2011-11,18510.393453443197
2011-12,18574.944819717595
2012-1,18636.378785047094
2012-2,18699.54355109266
2012-3,18762.995400825792
2012-4,18826.598749489884
2012-5,18889.05100028852
2012-6,18964.22429386787
2012-7,19030.826748995678
2012-8,19097.241975464993
2012-9,19161.086294078388
2012-10,19228.10785817477
2012-11,19293.204699148046
2012-12,19354.429337242003
2013-1,19415.26460252678
2013-2,19478.213018201084
2013-3,19537.42946179916
2013-4,19595.793889409975
2013-5,19653.00925788187
2013-6,19746.41859609061
2013-7,19822.656243794325
2013-8,19918.29177239017
2013-9,19999.5107964614
2013-10,20078.33094947423
2013-11,20158.285215406246
2013-12,20239.890353405495
2014-1,20322.786792868512
2014-2,20409.518384864867
2014-3,20496.311952901036
2014-4,20584.25412743318
2014-5,20684.540155554474
2014-6,20786.62768933541
2014-7,20877.48428924291
2014-8,20970.390973737754
2014-9,21059.75503492699
2014-10,21147.132152087168
2014-11,21232.215505024156
2014-12,21321.82246024612
2015-1,21411.30109540947
2015-2,21503.71592179483
2015-3,21595.357205541644
2015-4,21687.687975822097
2015-5,21781.822753095817
2015-6,21875.08200810018
2015-7,21961.88575120242
2015-8,22044.82492482299
2015-9,22129.202336097136
2015-10,22217.07093894684
2015-11,22307.306448936077
2015-12,22395.734229212198
2016-1,22480.9824715756
2016-2,22565.71564869207
2016-3,22649.654776525276
2016-4,22732.68687496659
2016-5,22814.561624916245
2016-6,22883.34369571955
2016-7,22960.257491768203
2016-8,23039.174699983007
2016-9,23115.795796436993
2016-10,23196.108260957604
2016-11,23281.724916240677
2016-12,23368.241843000193
2017-1,23454.204687546197
2017-2,23540.92884248776
2017-3,23624.106453114146
2017-4,23705.273172452366
2017-5,23783.238176465224
2017-6,23859.281960615623
2017-7,23937.711959646553
2017-8,24007.11820879847
2017-9,24085.631132961236
2017-10,24163.080700244176
2017-11,24238.99987904616
2017-12,24312.895867415762
2018-1,24387.696513093375
2018-2,24465.30333026721
2018-3,24542.11409927895
2018-4,24618.391024233108
2018-5,24695.330292585488
2018-6,24770.746796007305
2018-7,24846.473389890733
2018-8,24917.208408219765
2018-9,24993.23297369398
2018-10,25075.824548740045
2018-11,25165.627330123356
2018-12,25258.24860387607
2019-1,25357.626088791898
2019-2,25458.71979085814
2019-3,25569.494912253456
2019-4,25686.34712570528
2019-5,25822.544757404317
2019-6,25996.50162640307
2019-7,26197.534272643632
2019-8,26409.237585153773
2019-9,26634.12777650796
2019-10,26860.698524335447
2019-11,27095.14460237813
2019-12,27338.79939265021
2020-1,27587.08109724683
2020-2,27838.820578556086
2020-3,28094.945012194632
2020-4,28368.888500213325
2020-5,28653.582938498635
2020-6,28944.091155762162
2020-7,29249.85369371634
2020-8,29588.51533256993
2020-9,29928.647718781158
2020-10,30265.895774803343
2020-11,30600.777024314837
2020-12,30933.191099706506
2021-1,31270.625844519367
2021-2,31605.10155381993
2021-3,31938.66546734976
2021-4,32272.516703168054
2021-5,32603.9601639326
2021-6,32916.085784473995
2021-7,33198.215257087686
2021-8,33471.807726157975
2021-9,33735.99548413765
2021-10,33876.28409229947
2021-11,34013.25068081572
2021-12,34147.35713210383
2022-1,34277.02590702733
2022-2,34407.25251422751
2022-3,34539.132617713534
2022-4,34671.96071826668
2022-5,34790.141765494
2022-6,34900.25828030623
2022-7,35007.27764966137
2022-8,35100.51532349313
2022-9,35153.89735901789
2022-10,35200.39338677496
2022-11,35240.69198673915
2022-12,35275.15895583219
2023-1,35300.4537077097
2023-2,35310.519694300325
2023-3,35311.873818002925
2023-4,35305.0902236248
2023-5,35279.19518031726
2023-6,35242.972330199475
2023-7,35201.411918196696
2023-8,35142.3545558623
2023-9,35036.42221128497
