Ano,Goiás- custo m2 (R$)
2009-10,16046.201960717493
2009-11,16150.075037666433
2009-12,16254.39244146302
2010-1,16357.230987741394
2010-2,16460.33868547752
2010-3,16564.095294002716
2010-4,16665.623410262295
2010-5,16765.562854122272
2010-6,16852.60512368956
2010-7,16937.96469029077
2010-8,17040.886860185903
2010-9,17143.054740687865
2010-10,17243.733421415396
2010-11,17345.56319413752
2010-12,17446.592645606877
2011-1,17548.16786464891
2011-2,17648.965174888795
2011-3,17749.28602845777
2011-4,17852.08636760703
2011-5,17931.69513105804
2011-6,18020.66694487173
2011-7,18104.60421608097
2011-8,18187.815821871143
2011-9,18270.66763604047
2011-10,18353.57605169371
2011-11,18435.430829060573
2011-12,18516.36992684413
2012-1,18599.920895933537
2012-2,18684.838853243582
2012-3,18768.728448504116
2012-4,18853.14218635108
2012-5,18937.778487903914
2012-6,19022.672888593333
2012-7,19106.45794501994
2012-8,19203.175562463395
2012-9,19281.579005367017
2012-10,19356.416847503326
2012-11,19432.99936640308
2012-12,19511.46275767381
2013-1,19591.281127307826
2013-2,19672.433846953925
2013-3,19754.010146383825
2013-4,19835.195740627216
2013-5,19913.74042170926
2013-6,20015.084407232753
2013-7,20092.365988097266
2013-8,20190.83275895474
2013-9,20289.834125017667
2013-10,20389.51711458863
2013-11,20489.25529954567
2013-12,20587.014166290264
2014-1,20686.655273217737
2014-2,20784.672505407212
2014-3,20882.666457492185
2014-4,20982.11376379806
2014-5,21080.650326603103
2014-6,21179.947915147983
2014-7,21278.213527934815
2014-8,21390.843029626954
2014-9,21490.595222834374
2014-10,21592.31106400718
2014-11,21696.959517405212
2014-12,21800.57972456852
2015-1,21903.223336137802
2015-2,22004.887462848623
2015-3,22104.756924397494
2015-4,22205.672777010015
2015-5,22307.353941017824
2015-6,22410.541972024123
2015-7,22510.271105999454
2015-8,22612.07876146685
2015-9,22698.982761518117
2015-10,22798.284774507923
2015-11,22899.47472675117
2015-12,23000.654715061486
2016-1,23103.9253385058
2016-2,23209.510645960658
2016-3,23312.659383522972
2016-4,23417.787606503196
2016-5,23518.895440027787
2016-6,23619.155544383393
2016-7,23720.312230694322
2016-8,23823.442204220024
2016-9,23913.10504451784
2016-10,24004.627081695056
2016-11,24094.41189838257
2016-12,24184.8748041168
2017-1,24275.853275127985
2017-2,24364.89919225024
2017-3,24455.693513258433
2017-4,24546.43364772498
2017-5,24634.98325733141
2017-6,24725.219365827605
2017-7,24812.413394272575
2017-8,24913.40242056386
2017-9,25013.012903402574
2017-10,25114.241273645115
2017-11,25207.71446750506
2017-12,25299.735278540848
2018-1,25391.86284106084
2018-2,25487.02891254155
2018-3,25577.41704043096
2018-4,25668.66331914336
2018-5,25756.314864299293
2018-6,25845.05199540687
2018-7,25935.42865767266
2018-8,26028.017768427315
2018-9,26125.520535043794
2018-10,26230.1941164831
2018-11,26353.561811070605
2018-12,26492.946503166284
2019-1,26641.835721514235
2019-2,26798.433730624154
2019-3,26959.712598754235
2019-4,27122.704008662313
2019-5,27295.84422011001
2019-6,27477.28913771774
2019-7,27668.36545959305
2019-8,27869.657950722038
2019-9,28082.722145215066
2019-10,28305.060701170423
2019-11,28536.87395479338
2019-12,28768.471291268652
2020-1,29010.40345479371
2020-2,29256.844691808674
2020-3,29509.31991179371
2020-4,29777.58241937254
2020-5,30087.402809173138
2020-6,30406.890114170572
2020-7,30740.67885128819
2020-8,31082.659467484424
2020-9,31426.02950215906
2020-10,31767.672746385902
2020-11,32106.884963322696
2020-12,32429.830741940084
2021-1,32747.670828445673
2021-2,33060.413585729984
2021-3,33367.86684807909
2021-4,33675.215302146935
2021-5,33982.520430585406
2021-6,34295.33892467673
2021-7,34604.47320604324
2021-8,34904.98744576672
2021-9,35199.56723137988
2021-10,35360.089362995386
2021-11,35516.07464011922
2021-12,35665.77084284629
2022-1,35817.8361849446
2022-2,35964.98684210586
2022-3,36113.17123727803
2022-4,36258.341060200946
2022-5,36393.590077299225
2022-6,36484.45401093486
2022-7,36567.59908549123
2022-8,36636.033278114766
2022-9,36694.01373997275
2022-10,36745.95007268904
2022-11,36791.92199837452
2022-12,36830.25049935766
2023-1,36862.1374768357
2023-2,36876.496980749
2023-3,36880.808605773775
2023-4,36876.90095122273
2023-5,36860.34773054337
2023-6,36833.247910204125
2023-7,36770.60705449049
2023-8,36688.93670460347
2023-9,36586.60694314108
