Ano,Paraíba- custo m2 (R$)
2010-12,16716.67288496761
2011-1,16810.69059632343
2011-2,16906.28442660746
2011-3,17000.690757745935
2011-4,17093.44520491095
2011-5,17180.852004110227
2011-6,17276.832390990086
2011-7,17348.979478314766
2011-8,17420.419359189345
2011-9,17492.930958789628
2011-10,17564.021968631667
2011-11,17633.717927896785
2011-12,17703.680115419807
2012-1,17772.299528793636
2012-2,17842.514560646807
2012-3,17911.85955393239
2012-4,17981.594250556736
2012-5,18062.64091007785
2012-6,18145.12238524081
2012-7,18226.771985596864
2012-8,18309.599380002506
2012-9,18378.72695039199
2012-10,18449.485194946956
2012-11,18519.121902688843
2012-12,18587.11560564843
2013-1,18656.67402851947
2013-2,18726.79287407449
2013-3,18796.021821981976
2013-4,18863.448782476593
2013-5,18933.03518201875
2013-6,19013.861369323004
2013-7,19074.785634186937
2013-8,19157.955147572087
2013-9,19240.709347335003
2013-10,19330.049518529802
2013-11,19417.74314199711
2013-12,19505.047125958343
2014-1,19592.123187397905
2014-2,19684.12958859391
2014-3,19774.25928304181
2014-4,19874.72050200323
2014-5,19974.623690808257
2014-6,20062.527216945615
2014-7,20149.246703306937
2014-8,20241.270677137756
2014-9,20335.02805054868
2014-10,20426.642562796773
2014-11,20518.62659071208
2014-12,20609.079339447246
2015-1,20698.38104830028
2015-2,20785.49078339785
2015-3,20872.127883588124
2015-4,20971.68698688621
2015-5,21073.418582894566
2015-6,21174.060080871623
2015-7,21268.73617702568
2015-8,21360.805167695853
2015-9,21454.482106882053
2015-10,21553.59522442383
2015-11,21644.517381686976
2015-12,21738.756039639826
2016-1,21832.25724195986
2016-2,21925.879977767247
2016-3,22016.781414280988
2016-4,22108.893906755253
2016-5,22190.97989460734
2016-6,22276.588796725693
2016-7,22364.179237129363
2016-8,22453.325411289003
2016-9,22539.087956883926
2016-10,22624.93346517648
2016-11,22712.333891755658
2016-12,22800.707101981036
2017-1,22890.41134203275
2017-2,22983.98400108851
2017-3,23078.51855655159
2017-4,23175.778570285533
2017-5,23262.128806681438
2017-6,23349.0343214526
2017-7,23436.86134677058
2017-8,23522.556146153136
2017-9,23608.322288570627
2017-10,23694.18249636019
2017-11,23774.25550190991
2017-12,23855.79648395528
2018-1,23937.960166492325
2018-2,24021.575940462375
2018-3,24106.040551945945
2018-4,24194.014820061562
2018-5,24280.83422645557
2018-6,24367.57329445247
2018-7,24463.323386242813
2018-8,24562.77040969411
2018-9,24665.6225525187
2018-10,24775.618156511246
2018-11,24893.121109395634
2018-12,25026.75962404134
2019-1,25171.485185716043
2019-2,25332.1424070157
2019-3,25499.627680606056
2019-4,25680.306030076557
2019-5,25867.88026394984
2019-6,26063.872946751242
2019-7,26269.14087787978
2019-8,26482.233113208542
2019-9,26707.616316617834
2019-10,26942.51374576166
2019-11,27180.876016157603
2019-12,27427.41704706062
2020-1,27674.123589164807
2020-2,27920.600189627516
2020-3,28176.277827365575
2020-4,28467.335730945564
2020-5,28768.77513729014
2020-6,29079.474951796965
2020-7,29399.297230518285
2020-8,29710.83975795247
2020-9,30023.38464261081
2020-10,30339.74264444942
2020-11,30649.51906257061
2020-12,30958.154939166023
2021-1,31253.225863964482
2021-2,31537.947102296086
2021-3,31813.112708322213
2021-4,32086.21607623479
2021-5,32352.984036360467
2021-6,32627.41941947089
2021-7,32900.814653608024
2021-8,33168.62962862288
2021-9,33427.31976159053
2021-10,33562.545245060595
2021-11,33694.48368642995
2021-12,33827.59023766261
2022-1,33958.38920273515
2022-2,34094.887494014816
2022-3,34235.15062886138
2022-4,34371.449758155606
2022-5,34471.08667974988
2022-6,34557.616385305126
2022-7,34636.71761142855
2022-8,34706.14308491115
2022-9,34772.60298793465
2022-10,34833.16385830295
2022-11,34882.376574650276
2022-12,34929.87904778939
2023-1,34964.73459798371
2023-2,34992.562827108806
2023-3,35014.218264267554
2023-4,35020.98439160799
2023-5,35014.60103667631
2023-6,34990.88275228317
2023-7,34927.56223691634
2023-8,34834.566845386515
2023-9,34718.24220787252
