Ano,Amazonas- custo m2 (R$)
2012-2,19745.535342692987
2012-3,19798.9854733896
2012-4,19851.43394224326
2012-5,19904.969615186485
2012-6,19954.39882183782
2012-7,20000.378444479382
2012-8,20057.78052863688
2012-9,20104.089524243915
2012-10,20150.61917324404
2012-11,20197.18680786517
2012-12,20247.645323364057
2013-1,20299.76001295177
2013-2,20351.061355574522
2013-3,20403.109128951408
2013-4,20455.70908448843
2013-5,20504.674191801994
2013-6,20579.264448782968
2013-7,20636.167105035638
2013-8,20731.906854195775
2013-9,20819.69488722743
2013-10,20910.769818534674
2013-11,21002.002265136147
2013-12,21093.504604915353
2014-1,21182.19436486626
2014-2,21272.39961468665
2014-3,21359.256028400807
2014-4,21444.349713196953
2014-5,21524.49676974703
2014-6,21604.937936166632
2014-7,21687.557509928447
2014-8,21769.611368407
2014-9,21839.920365137
2014-10,21911.206096583803
2014-11,21981.941135835634
2014-12,22051.12204048809
2015-1,22135.747075531435
2015-2,22218.698240073878
2015-3,22305.21307445142
2015-4,22389.360705992236
2015-5,22472.661351329043
2015-6,22555.982517850007
2015-7,22639.12921313709
2015-8,22717.56803166977
2015-9,22783.088872026383
2015-10,22845.43425947126
2015-11,22904.930676633234
2015-12,22963.73737890868
2016-1,23022.823762051405
2016-2,23085.539464034773
2016-3,23144.35333851127
2016-4,23204.07369177883
2016-5,23266.25458930091
2016-6,23330.89332031221
2016-7,23394.042409784568
2016-8,23460.530468965306
2016-9,23542.035144486905
2016-10,23626.658915494045
2016-11,23714.411013839155
2016-12,23804.281215431056
2017-1,23896.605076144184
2017-2,23972.07870880975
2017-3,24051.78912653905
2017-4,24132.625168418388
2017-5,24216.259545202596
2017-6,24299.683794057164
2017-7,24377.81810581649
2017-8,24458.19481791199
2017-9,24555.00148701897
2017-10,24650.218275080042
2017-11,24743.544275398588
2017-12,24839.07047129176
2018-1,24933.78400378937
2018-2,25028.19768219219
2018-3,25121.784584603567
2018-4,25218.368691666674
2018-5,25315.26165084806
2018-6,25412.454243940854
2018-7,25515.185895443487
2018-8,25625.97821147734
2018-9,25742.00000214085
2018-10,25859.456427807258
2018-11,25988.703723976916
2018-12,26126.303371122587
2019-1,26268.726476340777
2019-2,26417.069157977447
2019-3,26575.351820205353
2019-4,26738.904732320996
2019-5,26910.33186627819
2019-6,27089.690689157287
2019-7,27276.002462526674
2019-8,27473.767449398307
2019-9,27692.600768408236
2019-10,27908.19463129373
2019-11,28134.319863053195
2019-12,28371.952834229818
2020-1,28619.504106942844
2020-2,28870.6371702725
2020-3,29142.964710845576
2020-4,29423.39103995255
2020-5,29714.652108284914
2020-6,30022.239464559138
2020-7,30340.484877224815
2020-8,30684.065876853005
2020-9,31029.714604717814
2020-10,31378.111841505102
2020-11,31722.223584641793
2020-12,32068.475010369646
2021-1,32418.66626831346
2021-2,32780.9293252925
2021-3,33144.190349115255
2021-4,33504.53787011342
2021-5,33867.51548517041
2021-6,34228.99290596412
2021-7,34584.50458385814
2021-8,34931.010545517966
2021-9,35289.866731153066
2021-10,35469.791787275935
2021-11,35647.04389245164
2021-12,35822.135586404904
2022-1,35995.69510504002
2022-2,36165.13978920223
2022-3,36339.22542660064
2022-4,36498.44914427578
2022-5,36655.126638144044
2022-6,36805.97916734412
2022-7,36945.34529221923
2022-8,37077.037810830116
2022-9,37178.48510123032
2022-10,37271.721923389836
2022-11,37355.149694969106
2022-12,37427.11986571312
2023-1,37477.375463320896
2023-2,37506.31842139365
2023-3,37505.99124453865
2023-4,37489.69531587071
2023-5,37456.01023868547
2023-6,37394.661845549774
2023-7,37304.89224499924
2023-8,37191.08301062002
2023-9,37063.6372296489
