,Maranhão - Produção de Cimento (t)
2012-3,55.70163576417375
2012-4,56.443657719453284
2012-5,57.11493407714197
2012-6,57.67101094263246
2012-7,58.14624744952479
2012-8,58.5837394583618
2012-9,58.66707476850462
2012-10,58.743421944991944
2012-11,58.80091804185406
2012-12,58.844435498620044
2013-1,58.855045084481084
2013-2,59.0522466852013
2013-3,59.53006585060945
2013-4,59.80020602174653
2013-5,60.226803253374264
2013-6,60.57835348752928
2013-7,60.70218853169005
2013-8,60.839641746279455
2013-9,60.468672555124435
2013-10,60.121959832285434
2013-11,59.71671216754558
2013-12,59.31660087700141
2014-1,58.77680682243653
2014-2,58.44428116792945
2014-3,58.23319713772435
2014-4,58.00445349228661
2014-5,57.755898303977084
2014-6,57.48857104330025
2014-7,57.20443961678326
2014-8,56.904810885502826
2014-9,56.590138873811824
2014-10,56.26734426371606
2014-11,55.936403902873685
2014-12,55.59753626738429
2015-1,55.250864854501934
2015-2,54.7967305640942
2015-3,54.335744520806294
2015-4,53.77332571815724
2015-5,53.284071018084
2015-6,52.78989280920051
2015-7,52.33367116270401
2015-8,51.91482795109205
2015-9,51.289460322618844
2015-10,50.83072946073097
2015-11,50.253745167433934
2015-12,49.71237033069698
2016-1,49.04802276852749
2016-2,48.23171697150893
2016-3,47.37104015117384
2016-4,46.50279204940749
2016-5,45.682198958736485
2016-6,45.03106631903771
2016-7,44.31172540629765
2016-8,43.655290422410204
2016-9,43.033810412959326
2016-10,42.42171391375825
2016-11,41.81184798824891
2016-12,41.06922031652187
2017-1,40.41940570527978
2017-2,39.5552126614181
2017-3,38.9222837246288
2017-4,38.12886615735986
2017-5,37.475550656119104
2017-6,36.95200942424226
2017-7,36.35799139597781
2017-8,35.722671400738506
2017-9,34.93387228746598
2017-10,34.49373783776898
2017-11,33.966493110769754
2017-12,33.56205939532764
2018-1,32.96668570276908
2018-2,32.44635229326381
2018-3,32.12612036105472
2018-4,31.69226485513392
2018-5,31.59005001443446
2018-6,31.53525105638748
2018-7,31.44700992857829
2018-8,31.437668796379935
2018-9,31.38618672237932
2018-10,31.263827055224628
2018-11,30.867237527499448
2018-12,30.465612824218848
2019-1,30.24370246723307
2019-2,29.92111668686477
2019-3,29.770992279220824
2019-4,29.642292453804338
2019-5,29.730852174139937
2019-6,29.81855220511995
2019-7,29.823971445546025
2019-8,29.888073079210688
2019-9,29.866244542036647
2019-10,30.021068465599317
2019-11,29.93844256004484
2019-12,29.962768059009633
2020-1,29.695558031737843
2020-2,29.686249303757606
2020-3,29.83047169172687
2020-4,29.894580902556918
2020-5,30.063322046381877
2020-6,30.2113684143808
2020-7,30.12092182985005
2020-8,30.002511868651514
2020-9,29.94620254359583
2020-10,29.80285592770229
2020-11,29.80383610877326
2020-12,30.092725875738033
2021-1,30.24697252005589
2021-2,30.379850021606497
2021-3,30.54925400761407
2021-4,30.79644324619201
2021-5,30.907706747068822
2021-6,30.976882591719935
2021-7,31.007697186441835
2021-8,30.900439209059826
2021-9,30.809109342532555
2021-10,30.83028816671277
2021-11,30.784669952708196
2021-12,30.8752887998804
2022-1,30.740033509345707
2022-2,31.028762337544386
2022-3,31.220211613171774
2022-4,31.29784650816016
2022-5,31.466756261715265
2022-6,31.766536599684574
2022-7,31.616026759184184
2022-8,31.7240657829262
2022-9,31.679230772111943
2022-10,31.524869994357427
2022-11,31.512211689011757
2022-12,31.315195179781767
