,Espírito Santo - Produção de Cimento (t)
2017-9,99.96989835678704
2017-10,97.57286138189488
2017-11,94.92995130443965
2017-12,92.21649464145804
2018-1,89.8438349660081
2018-2,88.30129857703628
2018-3,86.95680201295265
2018-4,85.39758114807647
2018-5,84.29811299668808
2018-6,83.41869955606906
2018-7,82.22952115935007
2018-8,81.15639841965975
2018-9,80.0588678277468
2018-10,79.04829615480486
2018-11,77.8728362746475
2018-12,76.7724645970683
2019-1,76.00064056626665
2019-2,74.85346431163018
2019-3,74.24194779955435
2019-4,73.60242274901492
2019-5,73.06976150590177
2019-6,72.42247855502947
2019-7,72.06139124217033
2019-8,71.67028604500537
2019-9,71.1130471867196
2019-10,70.57464206079986
2019-11,70.09857636036935
2019-12,69.69699727987812
2020-1,69.69312998678465
2020-2,69.37878906884131
2020-3,69.47669703806181
2020-4,69.29657244673753
2020-5,69.48855186099591
2020-6,69.28364245006341
2020-7,68.84109026422658
2020-8,68.59024473575467
2020-9,68.34324159934843
2020-10,68.16716759468724
2020-11,67.88208333835831
2020-12,67.8100679723116
2021-1,67.85726945871899
2021-2,67.76918218959499
2021-3,68.00720175628106
2021-4,67.88830077212567
2021-5,67.8048275629265
2021-6,67.70782508897187
2021-7,67.65409107999365
2021-8,67.36842744384285
2021-9,67.05769166490985
2021-10,66.97716182242523
2021-11,67.0483902851634
2021-12,67.08204445300011
2022-1,67.33693588705904
2022-2,67.2116999381257
2022-3,67.27818849128484
2022-4,67.03590606536082
2022-5,67.07385105548533
2022-6,66.80282364419419
2022-7,66.7384238054717
2022-8,66.9197257829447
2022-9,66.75601888402093
2022-10,66.68456689026884
2022-11,66.66425789741695
2022-12,66.93175519567596
