,Pernambuco - Produção de Cimento (t)
2021-10,27.08501967008142
2021-11,26.903382899510774
2021-12,26.75993051330927
2022-1,26.691621625219202
2022-2,26.67216273920529
2022-3,26.66238554242215
2022-4,26.50657606807209
2022-5,26.327456095930646
2022-6,26.37187436573369
2022-7,26.62904937006546
2022-8,26.779678443385468
2022-9,26.996500607271106
2022-10,26.91924135122502
2022-11,27.026250009098547
2022-12,27.05220174118064
