,Pará - Produção de Cimento (t)
2011-1,124.11579870170931
2011-2,124.4135731001791
2011-3,125.34404904364669
2011-4,126.22694566389043
2011-5,127.14627196785088
2011-6,127.71077364170014
2011-7,128.80045092236946
2011-8,129.2732466039461
2011-9,129.7476254654293
2011-10,130.55094018027444
2011-11,131.09527373418342
2011-12,131.65442677320604
2012-1,131.7985887593698
2012-2,131.4302261736394
2012-3,131.42888907423708
2012-4,131.29400335848905
2012-5,131.36260645857107
2012-6,131.27820856948097
2012-7,131.22541863833115
2012-8,130.83676089458703
2012-9,130.31657741834866
2012-10,130.08268329434023
2012-11,129.5330041691698
2012-12,129.176450977292
2013-1,128.69183135594662
2013-2,128.25263143926924
2013-3,128.05150376688917
2013-4,127.30035386328186
2013-5,126.91925432216156
2013-6,126.49987087166646
2013-7,126.02235740405644
2013-8,125.19399339639408
2013-9,124.42382029886387
2013-10,123.60766684065406
2013-11,122.62616738474343
2013-12,121.76853897527964
2014-1,120.80474184820828
2014-2,120.133302989963
2014-3,119.87138327484425
2014-4,119.60414554715983
2014-5,119.33420675800735
2014-6,119.05735895070721
2014-7,118.77658359405584
2014-8,118.49115547361873
2014-9,118.20783408018791
2014-10,117.92934660681438
2014-11,117.64994906508642
2014-12,117.376067474041
2015-1,117.10387305852275
2015-2,116.62028906994558
2015-3,116.34658470672325
2015-4,115.94085807867319
2015-5,115.61255816470161
2015-6,115.57359060463682
2015-7,115.53276389364788
2015-8,115.32759376369783
2015-9,114.91890689072736
2015-10,114.52136230222312
2015-11,114.39132984808604
2015-12,114.42325561264406
2016-1,113.470631170841
2016-2,112.36404057392681
2016-3,111.22919148671906
2016-4,109.78523130445411
2016-5,108.36851118871375
2016-6,107.70217279517135
2016-7,106.9250792001604
2016-8,106.29502983935205
2016-9,105.38005934535826
2016-10,104.30369776184864
2016-11,103.6145935580155
2016-12,102.64711749810442
2017-1,101.33919023912033
2017-2,99.8010946713774
2017-3,98.78627437752907
2017-4,97.24773743203531
2017-5,95.94240843924678
2017-6,94.71048701627832
2017-7,93.21928082059755
2017-8,91.73351585992302
2017-9,90.55122855576435
2017-10,89.56672491627533
2017-11,88.4230180308478
2017-12,87.10393003457764
2018-1,85.37539277788241
2018-2,84.20144913720979
2018-3,83.22641665890944
2018-4,82.15729880528067
2018-5,81.95609610121592
2018-6,82.15692436473635
2018-7,81.56816419268667
2018-8,80.85645164151374
2018-9,80.02472555584356
2018-10,79.33571874381265
2018-11,78.7711885597711
2018-12,77.49846600878652
2019-1,76.59890169267798
2019-2,75.92385498764855
2019-3,75.5003807083888
2019-4,74.9358726743247
2019-5,74.93250808743264
2019-6,74.8052652231099
2019-7,74.80687294161667
2019-8,74.46257890327013
2019-9,74.12772304701191
2019-10,73.85091681213942
2019-11,73.57671664674888
2019-12,73.51405743482849
2020-1,72.73863146340504
2020-2,72.44588123249734
2020-3,72.88950229566647
2020-4,73.07032036988599
2020-5,73.71909632018406
2020-6,73.8902799981222
2020-7,73.60538929676272
2020-8,73.5436591968459
2020-9,73.35592873879146
2020-10,73.15956553844346
2020-11,73.29548077915021
2020-12,73.47887449791305
2021-1,73.80415122680971
2021-2,74.05660656214889
2021-3,74.45883173903256
2021-4,74.8715046894698
2021-5,75.13057597821106
2021-6,75.13180025423408
2021-7,75.16637966579022
2021-8,74.88223055335033
2021-9,74.98265260843608
2021-10,75.08643676663762
2021-11,74.95314615403593
2021-12,74.83732387461224
2022-1,74.64678471667878
2022-2,75.35161151582028
2022-3,75.80344509814803
2022-4,75.85994170119741
2022-5,76.29417804596332
2022-6,76.23663803860018
2022-7,76.04877124123611
2022-8,75.89901790281229
2022-9,75.41656706741153
2022-10,75.55916726726457
2022-11,75.69600453634479
2022-12,75.48298566808636
