,Rio Grande Do Norte - Produção de Cimento (t)
2017-8,80.13607269641491
2017-9,79.3673214134999
2017-10,78.7094959565405
2017-11,78.13125516774846
2017-12,77.60981396090928
2018-1,77.22668382939935
2018-2,76.90402173046493
2018-3,76.62955972902863
2018-4,76.29279920942295
2018-5,76.21042586711917
2018-6,76.85139820967862
2018-7,77.11239973631382
2018-8,77.44738495262071
2018-9,77.73182572879139
2018-10,78.25219018653678
2018-11,78.72214853832263
2018-12,78.96061801954376
2019-1,79.4894930942985
2019-2,79.67231460513563
2019-3,80.29360920744092
2019-4,80.86214094954886
2019-5,81.44601421788532
2019-6,82.14377693443755
2019-7,83.34413382966909
2019-8,84.31587546470963
2019-9,85.0780347048789
2019-10,86.04719211898869
2019-11,86.83575734679376
2019-12,87.6997675953457
2020-1,88.12168501645665
2020-2,88.71141973455984
2020-3,89.52379520403117
2020-4,90.61637143821491
2020-5,91.6222810755372
2020-6,92.50280873285185
2020-7,92.83010282516148
2020-8,93.47338248003592
2020-9,93.64628038875867
2020-10,93.7133713001866
2020-11,93.66359948617944
2020-12,93.57069032185001
2021-1,93.44660204318659
2021-2,93.30742568131583
2021-3,93.68958952387011
2021-4,93.58680218698788
2021-5,93.97258544663391
2021-6,94.33854257861957
2021-7,94.52495467916246
2021-8,94.3817053018126
2021-9,94.1254436802855
2021-10,94.09238862017504
2021-11,93.79658822863192
2021-12,93.75173469107706
2022-1,93.6385597407106
2022-2,94.27202929685247
2022-3,94.50178338094496
2022-4,94.70129160997098
2022-5,94.90873572814996
2022-6,95.2941934823681
2022-7,95.39617942343094
2022-8,95.5573261827999
2022-9,94.91001439299862
2022-10,94.80078285215559
2022-11,94.7529826369296
2022-12,94.5597172684368
