,Paraná - Produção de Cimento (t)
2009-8,448.71445977025814
2009-9,449.8503896278038
2009-10,452.1602969392727
2009-11,453.6659277622071
2009-12,454.5721148754337
2010-1,454.3371906292707
2010-2,456.50193640199046
2010-3,459.27714094896146
2010-4,459.4434336558358
2010-5,460.87091278877796
2010-6,461.09348293270335
2010-7,462.2530367503111
2010-8,462.90112338266545
2010-9,463.0718513814483
2010-10,463.0768218255815
2010-11,462.6482779246994
2010-12,462.31952964250894
2011-1,461.6597106017423
2011-2,462.6886099622179
2011-3,464.370957895015
2011-4,465.2264181420193
2011-5,467.2149031732626
2011-6,466.75553693255983
2011-7,468.41927482743216
2011-8,470.25470079130565
2011-9,471.7934404039802
2011-10,473.8723802157389
2011-11,475.2900145683198
2011-12,476.26520001334256
2012-1,476.05922215901415
2012-2,477.85499831268237
2012-3,478.79761590269646
2012-4,479.50889906501754
2012-5,480.9239208080621
2012-6,481.440814849272
2012-7,482.68029101083465
2012-8,483.1797288528861
2012-9,483.62489222982936
2012-10,484.2617012267351
2012-11,484.9698171328811
2012-12,485.74233834121134
2013-1,486.76737933506246
2013-2,488.74556441125264
2013-3,489.5284328693961
2013-4,489.5983568484652
2013-5,489.5389270261478
2013-6,488.5574417986556
2013-7,489.6859786326577
2013-8,488.97841340419274
2013-9,487.768097335068
2013-10,486.973110741825
2013-11,485.64976238521444
2013-12,483.8937654018858
2014-1,483.3782789812438
2014-2,484.1455821816975
2014-3,483.855696138208
2014-4,483.5406569593408
2014-5,483.20467242657196
2014-6,482.83295307184767
2014-7,482.4430987498594
2014-8,482.01999278534964
2014-9,481.5780593962163
2014-10,481.1180219914487
2014-11,480.6355999662388
2014-12,480.12888124855215
2015-1,479.59605559359994
2015-2,478.45816735397824
2015-3,478.7938653732176
2015-4,477.91986195492814
2015-5,478.17022328363157
2015-6,477.00424973786585
2015-7,478.42052745091104
2015-8,480.0088570186305
2015-9,480.7881599495374
2015-10,481.0892673498327
2015-11,479.86120932142467
2015-12,479.4188470140003
2016-1,477.83216704690074
2016-2,477.8036014972202
2016-3,479.6488304628431
2016-4,480.07454748987635
2016-5,478.8854187251935
2016-6,481.4360992619001
2016-7,482.5690695923093
2016-8,483.7921955278696
2016-9,484.66699558383937
2016-10,485.63345958766837
2016-11,486.5384807631014
2016-12,487.6570375140579
2017-1,487.1976162133539
2017-2,488.0432807157978
2017-3,489.61656874359005
2017-4,489.2369096286997
2017-5,490.3568901934705
2017-6,490.4765976814264
2017-7,492.88548233333574
2017-8,493.62748141256907
2017-9,493.37447374713923
2017-10,494.63770464096785
2017-11,495.87593805507254
2017-12,496.8830753761674
2018-1,497.03428411825246
2018-2,500.3141436503209
2018-3,500.95305267385356
2018-4,499.3423429230579
2018-5,501.9793795645513
2018-6,504.8649297857626
2018-7,505.90645693931083
2018-8,509.2565056606783
2018-9,511.2736548470622
2018-10,515.6985866687605
2018-11,518.7498545683748
2018-12,520.2121275031761
2019-1,521.5623130131582
2019-2,525.325837437644
2019-3,529.6308079829878
2019-4,533.3537720490979
2019-5,538.6902998535959
2019-6,542.54526739768
2019-7,547.5806688204608
2019-8,552.0465909936673
2019-9,555.3314095565469
2019-10,559.0238164098001
2019-11,562.2075533846743
2019-12,565.9588312485438
2020-1,569.5765813683881
2020-2,574.2113833530848
2020-3,577.0701229388554
2020-4,581.8295937605901
2020-5,587.8712927572745
2020-6,589.0280460877382
2020-7,595.1018647877785
2020-8,597.9940159683596
2020-9,599.3802304644347
2020-10,601.1415687423403
2020-11,601.5761398050664
2020-12,603.3534925649989
2021-1,606.2780104322243
2021-2,609.3089829396986
2021-3,611.6584639927802
2021-4,612.1429333261707
2021-5,613.1778672944262
2021-6,612.9392262417576
2021-7,614.1030163628491
2021-8,613.7793667020012
2021-9,613.0742202622596
2021-10,612.7017082357974
2021-11,612.8381977111077
2021-12,612.7587339823926
2022-1,612.6396683356215
2022-2,615.2619470585602
2022-3,616.786256198679
2022-4,618.2116316368155
2022-5,618.534402559098
2022-6,617.4281610223535
2022-7,619.6761368875857
2022-8,616.0738406457716
2022-9,614.4230786930283
2022-10,613.7721500604957
2022-11,614.7611397289054
2022-12,614.4531453150153
