,Distrito Federal - Produção de Cimento (t)
2014-8,292.71091101325896
2014-9,290.1747375395535
2014-10,287.5979975659808
2014-11,284.9738315288064
2014-12,282.3131326125842
2015-1,279.5814048974876
2015-2,276.0403740454085
2015-3,273.17319811470213
2015-4,270.01529054267866
2015-5,267.6685876132112
2015-6,265.4255000104066
2015-7,263.6972796946089
2015-8,261.77784122600815
2015-9,260.0981944970159
2015-10,258.5241996168087
2015-11,256.64986650417956
2015-12,254.12185694352965
2016-1,251.9396230635095
2016-2,249.32596090716663
2016-3,246.91804379906173
2016-4,244.87929837183597
2016-5,241.97723094596347
2016-6,240.81964465278486
2016-7,239.4801949206802
2016-8,238.70286998364617
2016-9,238.13953970024295
2016-10,237.39774965687505
2016-11,236.07670611354058
2016-12,234.55251463276255
2017-1,232.90481572355338
2017-2,231.21423227102412
2017-3,230.43129060215915
2017-4,229.27337412231134
2017-5,229.34302888924262
2017-6,228.44622156834524
2017-7,227.9906852736093
2017-8,227.2236731425685
2017-9,225.66217991637583
2017-10,224.31260819024033
2017-11,222.7100655080655
2017-12,221.10770222243048
2018-1,220.09476028934685
2018-2,218.59555900824145
2018-3,217.64191815316138
2018-4,216.71544620120423
2018-5,216.66959207527302
2018-6,218.19345658811605
2018-7,218.99104458679625
2018-8,220.42549049834963
2018-9,220.93085010069055
2018-10,221.34187684355683
2018-11,221.79947127593806
2018-12,221.95228280986458
2019-1,222.86933930327478
2019-2,223.18949284571806
2019-3,223.98596755132408
2019-4,225.4041854482458
2019-5,226.9430591487751
2019-6,227.724937317337
2019-7,229.1871560060919
2019-8,230.29834928634665
2019-9,230.67462839132176
2019-10,232.86108652346348
2019-11,233.79087179557013
2019-12,234.40227600551916
2020-1,235.04414485823528
2020-2,235.96370372698811
2020-3,237.91189035390127
2020-4,240.3531346845286
2020-5,243.0192099596985
2020-6,244.60003889611534
2020-7,245.17060180036023
2020-8,245.64093970267785
2020-9,245.01311213541925
2020-10,245.12091340143414
2020-11,244.5777916985337
2020-12,244.28943089083154
2021-1,245.14950545274402
2021-2,245.60628569959962
2021-3,247.01843958119704
2021-4,248.19041539477638
2021-5,248.70265733435147
2021-6,248.8024772301638
2021-7,248.77133478118742
2021-8,248.18956681914548
2021-9,247.42733642794406
2021-10,247.40608115780475
2021-11,246.42205683654547
2021-12,246.59546877918115
2022-1,247.59962604453793
2022-2,249.2603719654191
2022-3,250.94081432435584
2022-4,251.61435184844098
2022-5,251.55802588007703
2022-6,250.93753690589816
2022-7,250.18007140308748
2022-8,250.07791764466734
2022-9,248.5456639156194
2022-10,248.2654126450942
2022-11,247.4866400254309
2022-12,247.931979559524
