,Paraíba - Produção de Cimento (t)
2018-5,211.63861170483676
2018-6,215.14603631277433
2018-7,216.94669156212
2018-8,219.6288945070174
2018-9,221.51002445516338
2018-10,224.92495255422185
2018-11,227.68674595244147
2018-12,229.82676962330888
2019-1,233.73420564100212
2019-2,236.07653387309645
2019-3,240.14910638533013
2019-4,243.1517400108623
2019-5,245.99461792046753
2019-6,248.15952488537093
2019-7,250.82929519155377
2019-8,252.39267702949016
2019-9,253.90778915253227
2019-10,257.3391045067308
2019-11,258.4308961624455
2019-12,259.869279817872
2020-1,261.5445229605502
2020-2,263.08877192757507
2020-3,265.21640089487465
2020-4,266.8598227938333
2020-5,270.4957146086831
2020-6,271.2146963005983
2020-7,272.24303630034984
2020-8,274.3382882337831
2020-9,276.30603096290076
2020-10,278.81996987122193
2020-11,279.49897022463006
2020-12,281.1475258220217
2021-1,282.19171919745366
2021-2,282.3194688305155
2021-3,283.4301949998184
2021-4,283.34524574680296
2021-5,284.42801282595633
2021-6,285.7355804476178
2021-7,286.459952733567
2021-8,286.7266261549225
2021-9,287.3602905369315
2021-10,287.4906954579912
2021-11,287.4730187845505
2021-12,288.20531990364924
2022-1,289.0171354589111
2022-2,289.78455682911886
2022-3,290.2642727623737
2022-4,290.5585195693394
2022-5,291.6026513301159
2022-6,291.2070251382304
2022-7,293.1488702707591
2022-8,294.16565317562697
2022-9,293.45751096553664
2022-10,292.8096217421357
2022-11,290.98047841956065
2022-12,289.80567788414027
