,Rondônia - Produção de Cimento (t)
2017-2,19.45821261505089
2017-3,19.33887920831339
2017-4,19.15119938109709
2017-5,19.074052926616623
2017-6,18.918865750234616
2017-7,18.878758169305893
2017-8,18.811820680548404
2017-9,18.689723317858878
2017-10,18.54272076495465
2017-11,18.336632170522055
2017-12,18.132828399035105
2018-1,17.96611544770277
2018-2,17.832951459368214
2018-3,17.652258166624534
2018-4,17.572593328896033
2018-5,17.57288759400872
2018-6,17.569477061209465
2018-7,17.825449278740994
2018-8,18.179924808824346
2018-9,18.294496225247563
2018-10,18.623960427888647
2018-11,18.611640309360983
2018-12,18.63465146282093
2019-1,18.655044520049422
2019-2,18.673227417842455
2019-3,18.780860373001463
2019-4,18.87996202942367
2019-5,19.136957185511967
2019-6,19.363751149979223
2019-7,19.70599370915768
2019-8,19.901325046705676
2019-9,19.998192482749705
2019-10,19.946446955502577
2019-11,20.003890347146413
2019-12,20.063711942587727
2020-1,20.1632605863337
2020-2,20.212426813652698
2020-3,20.35147733108707
2020-4,20.56003282423937
2020-5,20.720327507817807
2020-6,20.891152812181257
2020-7,21.128044154037823
2020-8,20.958648131084697
2020-9,20.726928198885933
2020-10,20.575957422837735
2020-11,20.183406341102003
2020-12,20.1715036070559
2021-1,20.23761518520779
2021-2,20.31410850117303
2021-3,20.43449957909702
2021-4,20.5517915521013
2021-5,20.67326021289173
2021-6,20.618389590572463
2021-7,20.53386644845736
2021-8,20.27783569693924
2021-9,20.092694355618555
2021-10,20.061186566605418
2021-11,20.202658308124057
2021-12,20.249075234315995
2022-1,20.37825408226167
2022-2,20.510232584495654
2022-3,20.716939594946794
2022-4,20.846860863395474
2022-5,21.01516364160021
2022-6,21.10932492467707
2022-7,21.092174825916167
2022-8,20.931530187909082
2022-9,20.81225919664956
2022-10,20.6879847594056
2022-11,20.551023686173814
2022-12,20.555289327423637
