,Bahia - Produção de Cimento (t)
2009-11,89.73292238922421
2009-12,90.21592934371306
2010-1,91.0969376196336
2010-2,91.79376598697561
2010-3,93.03751072974332
2010-4,93.74393562651886
2010-5,94.58348243344015
2010-6,95.27159006475655
2010-7,96.16929550272847
2010-8,96.98354098542018
2010-9,97.58330441775945
2010-10,98.23785957772074
2010-11,98.68459026714444
2010-12,99.47472171065044
2011-1,100.88770452771993
2011-2,101.73450278501055
2011-3,102.30742991205881
2011-4,102.87720628333413
2011-5,103.50140418588373
2011-6,104.0229749475978
2011-7,104.61687179088392
2011-8,105.46910832635899
2011-9,106.47030782089338
2011-10,107.38120017389168
2011-11,108.2051448450829
2011-12,109.04686367071267
2012-1,109.7085562079984
2012-2,110.13254842408745
2012-3,110.64279529598187
2012-4,110.85152821715874
2012-5,111.25476363446043
2012-6,111.60873380474364
2012-7,112.00234023675505
2012-8,112.22352249080224
2012-9,112.39242415417739
2012-10,112.59198811381273
2012-11,112.77710968743558
2012-12,112.93583748901588
2013-1,113.12868591597962
2013-2,112.44545638162924
2013-3,112.21668167368848
2013-4,112.30379701576256
2013-5,112.3011705875614
2013-6,112.21283987272683
2013-7,112.15464003154872
2013-8,112.09364871284507
2013-9,111.48302650498911
2013-10,110.91816945189485
2013-11,110.15524229430308
2013-12,109.48077314603644
2014-1,109.17626575923546
2014-2,108.80771989001873
2014-3,108.46400618815727
2014-4,108.10286471948446
2014-5,107.7300931612229
2014-6,107.341484725909
2014-7,106.93772162517477
2014-8,106.51768567683347
2014-9,106.08456364272915
2014-10,105.6391554107171
2014-11,105.18058448091631
2014-12,104.70887696941301
2015-1,104.22430343111208
2015-2,103.58857201013808
2015-3,103.21723209585109
2015-4,102.52250688580779
2015-5,102.01767647499236
2015-6,101.51705997706824
2015-7,101.13812511039298
2015-8,100.85949535981544
2015-9,100.60890739051162
2015-10,100.3344361549392
2015-11,99.77568066491389
2015-12,98.9823304275794
2016-1,98.38664967239224
2016-2,97.61699978140707
2016-3,96.95007604741211
2016-4,96.24224365386921
2016-5,95.30432952133476
2016-6,95.02973259573938
2016-7,94.72917030736858
2016-8,94.64568733586816
2016-9,94.3468622968397
2016-10,94.28095527228804
2016-11,94.08009287879239
2016-12,93.11421812306394
2017-1,93.13539476468361
2017-2,92.95560071026674
2017-3,92.91615231639182
2017-4,92.4504772188518
2017-5,92.57576232768945
2017-6,92.1567028552955
2017-7,92.05989964872872
2017-8,91.9956909658376
2017-9,91.96412352922582
2017-10,92.17178100144447
2017-11,92.05278803912826
2017-12,92.19038206717343
2018-1,92.66395454961415
2018-2,92.9660015879248
2018-3,93.08998121662924
2018-4,92.91871397518469
2018-5,93.16043785929317
2018-6,94.21097068251682
2018-7,94.63879186796123
2018-8,95.00890659368761
2018-9,95.0516253540513
2018-10,95.38562051848419
2018-11,95.35094021738615
2018-12,95.36154934674519
2019-1,96.35486222886114
2019-2,96.06840238119129
2019-3,96.30513302753668
2019-4,96.39288773592743
2019-5,96.829365501582
2019-6,97.04250026023287
2019-7,97.74465939094588
2019-8,98.26291979384828
2019-9,98.65847548421584
2019-10,99.06289083023604
2019-11,98.74189307163996
2019-12,98.71907888863001
2020-1,98.90025637478216
2020-2,99.07662988141824
2020-3,99.20562229557116
2020-4,99.64247211350877
2020-5,100.66236513673987
2020-6,100.91950650974897
2020-7,101.09294601642718
2020-8,101.26950018272241
2020-9,101.47659392943741
2020-10,101.98383818607795
2020-11,102.17598548541658
2020-12,102.53208845007028
2021-1,102.85016402409934
2021-2,102.97991861600013
2021-3,103.46005850406122
2021-4,103.63874703696312
2021-5,104.02091990828126
2021-6,104.24276814816452
2021-7,104.44803091092871
2021-8,104.51721145802414
2021-9,104.42894903607912
2021-10,104.31160089730841
2021-11,104.01626697531844
2021-12,104.33452753961568
2022-1,104.78622132268794
2022-2,105.05865521613345
2022-3,105.25379287939371
2022-4,105.53809480252148
2022-5,105.94699222413192
2022-6,105.79749607289075
2022-7,106.3163122607585
2022-8,106.06916324369264
2022-9,105.75294275457347
2022-10,105.53736096122937
2022-11,104.97124110493633
2022-12,104.85714097391455
