,Santa Catarina - Produção de Cimento (t)
2009-11,43.261838143505976
2009-12,45.70532703074839
2010-1,48.086033163403016
2010-2,50.980701271252045
2010-3,54.074550842640924
2010-4,56.93440874315068
2010-5,60.55032359778373
2010-6,63.86237864819604
2010-7,67.08739869334785
2010-8,70.79785499372906
2010-9,74.55375277951607
2010-10,78.22900837042111
2010-11,82.01446767980674
2010-12,85.27083660920137
2011-1,88.27270697431612
2011-2,91.43247805473462
2011-3,94.71222638967485
2011-4,98.3937309412282
2011-5,102.02940447139353
2011-6,105.25187508461005
2011-7,108.27835265036246
2011-8,111.12692468594734
2011-9,113.49692855737638
2011-10,116.39028141090208
2011-11,118.53850591402548
2011-12,120.16017260321976
2012-1,121.72516945163754
2012-2,123.94998855956072
2012-3,125.6624422359985
2012-4,127.07862136064426
2012-5,128.57760179307124
2012-6,129.40909260172143
2012-7,130.4575503208896
2012-8,131.59099539783648
2012-9,132.08592887547135
2012-10,132.52371905818765
2012-11,132.9762944949642
2012-12,133.2230344008129
2013-1,134.06755622163297
2013-2,135.11764119169482
2013-3,136.0462620137319
2013-4,136.84547090401878
2013-5,137.2386113697317
2013-6,137.58959693325465
2013-7,138.27812245203165
2013-8,138.42917839550594
2013-9,138.43181447704214
2013-10,138.3313602538283
2013-11,137.8652353322554
2013-12,137.1764082358344
2014-1,137.15832499801604
2014-2,136.98864712286925
2014-3,136.29859059209127
2014-4,135.55950324075792
2014-5,134.7764308593025
2014-6,133.94678597144136
2014-7,133.08324035507994
2014-8,132.18067426248325
2014-9,131.23655692152852
2014-10,130.26307119652094
2014-11,129.26078392237613
2014-12,128.22880557249823
2015-1,127.17073093168716
2015-2,126.25056365171741
2015-3,125.68022912466247
2015-4,124.91395789952112
2015-5,124.43986171575587
2015-6,123.65608839920242
2015-7,123.54254565944042
2015-8,123.47551289690941
2015-9,123.22819377594679
2015-10,122.56397877621598
2015-11,122.09154533498193
2015-12,121.50782104932327
2016-1,120.81501839537113
2016-2,120.1608961031889
2016-3,119.83576590745197
2016-4,119.51873741534563
2016-5,118.75177251511855
2016-6,118.97021913783203
2016-7,118.83701573306449
2016-8,118.94043272328574
2016-9,118.74640155484728
2016-10,118.50547535202872
2016-11,118.60686785666009
2016-12,118.63225499234521
2017-1,118.80495687554905
2017-2,119.1200023029748
2017-3,119.24805207136782
2017-4,119.38170151925976
2017-5,119.59585955231567
2017-6,119.4352268551026
2017-7,119.99878070114137
2017-8,119.90331611015567
2017-9,119.41661821654847
2017-10,119.34972891941787
2017-11,119.49900953458527
2017-12,119.29826390600576
2018-1,119.4432933520605
2018-2,119.78299284097253
2018-3,119.48228052949871
2018-4,119.60482164423436
2018-5,119.97119071013003
2018-6,120.79101557125274
2018-7,121.0552154984654
2018-8,122.26577059571848
2018-9,123.26630810331915
2018-10,124.66761231859408
2018-11,126.29122735872808
2018-12,126.53188775672945
2019-1,127.01679862947199
2019-2,127.56779539996022
2019-3,128.53224015704154
2019-4,129.30528481185124
2019-5,130.3649905933327
2019-6,131.65431979825138
2019-7,133.3343012868871
2019-8,134.61751599271864
2019-9,135.66035680664848
2019-10,137.1309841248138
2019-11,137.99656076165863
2019-12,139.27949037853767
2020-1,140.57149500042604
2020-2,141.8445807483519
2020-3,143.44800090972697
2020-4,145.2355870399357
2020-5,146.63811286433778
2020-6,147.90411127564815
2020-7,149.34964384104396
2020-8,150.4417954398721
2020-9,150.33075513056912
2020-10,150.60733568214565
2020-11,150.93233003650383
2020-12,151.14247498911152
2021-1,152.23220545205928
2021-2,153.27370784088154
2021-3,154.2143517600512
2021-4,154.66531761256363
2021-5,155.4437119401381
2021-6,155.54895457471818
2021-7,155.54827813069875
2021-8,155.19811361788194
2021-9,154.8365313989581
2021-10,154.77998539873414
2021-11,154.64087978485665
2021-12,155.03102029318245
2022-1,155.20478557673323
2022-2,155.66295918110583
2022-3,155.9133808756311
2022-4,155.63404029507154
2022-5,156.04008696851554
2022-6,155.95912119666693
2022-7,155.76319223392312
2022-8,155.32149363484734
2022-9,154.790929057341
2022-10,155.4283773160119
2022-11,155.44808573716105
2022-12,155.27775939467378
