Ano, IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Piauí - Produção de Cimento (t),Piauí - Desemprego,Piauí - Consumo de Cimento (t),Piauí - PIB - Estadual,Piauí - PIB - Construção Civil,Piauí - PIB - Per Capita,Piauí - PIB - Preços de Mercado,Piauí - IDH
2013,0.5538880970557575,-7157.441849817399,2.4034452388120418,7.913560887352131,5.95293260648501,194406722.6863112,7833254.061482005,0.5967036355833683,585.346961204472,9.87481132042318,778.779,25527594.944947228,1456056.7388053213,6.4516606772738525,20039208.22166595,0.6785307719416385
2014,0.630874793029868,-3453.461327179957,2.748396553946451,10.350441947934849,7.080488623598588,195457708.66030347,7839143.45463983,0.5717704528856438,534.5695992749867,10.508944601657928,755.7138571428571,25974932.69883084,1458827.2174405586,6.481157764632998,20146485.94951548,0.6784916696034418
2015,0.5541042521482707,-1442.9193869428318,2.50152930957994,12.454397626561702,6.134044967715732,196433899.2586442,7833221.463646377,0.5208136713370025,485.5445221735698,10.96540070392644,794.9454857142857,26237072.024457317,1443457.1234868974,6.481716244493627,20157766.405057646,0.6778659754037285
2016,0.4224833689958323,-3128.377227515419,2.0734636810462583,13.111907772469475,4.765274329238291,197358032.3200872,7818954.81473363,0.4407878922585067,383.1950125901188,11.203809124569576,842.6876571428572,26453082.897402555,1433448.650220415,6.489827102468344,20189158.318351462,0.6894539768086306
2017,0.3698191241099404,-5386.337107960249,2.1773859032016323,9.479811697946742,5.310275626876232,198252845.68338645,7798615.333559711,0.3837115696747293,274.2637535745655,11.173036328163327,831.356,26588158.9288433,1433525.753473607,6.502281192120114,20230426.4303515,0.6898588837912333
2018,0.3285822922620568,-617.8957633825285,2.1991033826052147,6.239827995338425,7.216529334305507,199141077.18729573,7771953.540587035,0.3840184966215552,214.60239631262087,11.037275293038633,626.223,26573364.265849,1435230.5736502418,6.498516235884453,20215802.99239019,0.6894824186813454
2019,0.4061057052544192,5943.684499867275,1.875262537009908,5.780756476062364,13.062917316927464,199985833.75,7737711.875699298,0.5899700505822413,182.0658115315109,11.015948601022505,702.437,26360826.41609042,1440004.9343167972,6.475652438530998,20134902.91448048,0.6886171840160131
2020,0.5559971921631375,-295.4159240467579,1.7864082165521868,2.7295124084515754,14.893045332266247,201011393.1666667,7693097.069989687,0.7871485774442027,164.95134781084488,10.881622303721771,788.164,25986144.07223977,1444542.735761112,6.443468858975097,20018655.843980595,0.687036928017469
2021,0.568170054296025,-12254.220163626009,1.856764202286902,4.35045636240659,8.428991724541524,202036952.5833333,7637893.531466268,0.7655090848488225,157.36974780214882,10.793164693499335,826.368,25385177.67020819,1435365.7504180523,6.400409760518299,19865833.0380956,0.6851311942008752
2022,0.5191983596929338,-14613.924467801482,2.71770596632874,11.662816969174893,3.900451165155242,203062512.0,,0.7310204007359983,155.63343615366065,10.871213005300795,804.4169999999999,24662120.03882924,1424500.745818799,6.348366898579335,19679972.34794123,0.6846885754918639
