Ano,Ceará - Valor Cimento Portland,Distrito Federal - IDH,Distrito Federal - Produção de Cimento (t), IPCA - Variação mensal durante o Plano Real (%), NFSP - Fluxo Mensal (Milhões de reais),NFSP - Porcentagem do PIB (%),Taxa Selic (%),IGP-DI,População,Estoque liquido de capital fixo - (R$), INCC (%),Distrito Federal - Consumo de Cimento (t),Distrito Federal - Desemprego,Distrito Federal - PIB - Estadual,Distrito Federal - PIB - Construção Civil,Distrito Federal - PIB - Per Capita,Distrito Federal - PIB - Preços de Mercado
2013,4.470377422092817,0.8329951604938272,3818.436360713829,0.5538880970557575,-7157.441849817399,2.4034452388120418,7.913560887352131,5.95293260648501,194406722.6863112,7833254.061482005,0.5967036355833683,1152.069,11.341795557617724,137200244.59717315,3512366.254462568,43.88000074557417,113194506.92482129
2014,4.422096033875454,0.8326614238683128,3551.8139078344907,0.630874793029868,-3453.461327179957,2.748396553946451,10.350441947934849,7.080488623598588,195457708.66030347,7839143.45463983,0.5717704528856438,979.9988571428572,11.799788321817193,139269245.1539519,3476697.6680569304,43.88367040889595,113558730.43599048
2015,4.184843996404759,0.8323832091906721,3186.7735937060456,0.5541042521482707,-1442.9193869428318,2.50152930957994,12.454397626561702,6.134044967715732,196433899.2586442,7833221.463646377,0.5208136713370025,811.1946857142857,12.093704620142406,140716415.89201343,3438025.082619837,43.849398420687805,113703063.10790682
2016,4.095297427060689,0.8345836310637236,2900.2093767480696,0.4224833689958323,-3128.377227515419,2.0734636810462583,13.111907772469475,4.765274329238291,197358032.3200872,7818954.81473363,0.4407878922585067,638.8184571428571,12.238790236528455,141622933.32009846,3431105.5032185623,43.82855763714359,113758495.26670551
2017,4.269491469840179,0.8334548702513348,2730.619877429926,0.3698191241099404,-5386.337107960249,2.1773859032016323,9.479811697946742,5.310275626876232,198252845.68338645,7798615.333559711,0.3837115696747293,584.646,12.0856322334972,141735097.28149042,3426736.2023834586,43.80254589539537,113655813.70873272
2018,4.518185137002371,0.8326780402741835,2633.351748430539,0.3285822922620568,-617.8957633825285,2.1991033826052147,6.239827995338425,7.216529334305507,199141077.18729573,7771953.540587035,0.3840184966215552,571.13,12.018938170763702,141316093.49791422,3449895.3563211462,43.79448875314405,113450057.79229608
2019,4.886727349642545,0.831557862117291,2741.331349622988,0.4061057052544192,5943.684499867275,1.875262537009908,5.780756476062364,13.062917316927464,199985833.75,7737711.875699298,0.5899700505822413,637.028,12.023661895135747,140239130.38715172,3471857.408616907,43.72794037718175,113149571.9707696
2020,5.419116804004386,0.829063122309772,2906.704912108724,0.5559971921631375,-295.4159240467579,1.7864082165521868,2.7295124084515754,14.893045332266247,201011393.1666667,7693097.069989687,0.7871485774442027,662.625,11.936222220053123,138170308.2823351,3499967.188667909,43.62460093986788,112607313.32176971
2021,6.003453542582134,0.8290688607015695,2968.2816254946406,0.568170054296025,-12254.220163626009,1.856764202286902,4.35045636240659,8.428991724541524,202036952.5833333,7637893.531466268,0.7655090848488225,789.947,11.866376407842488,135737143.37702507,3512241.123256957,43.68742113415946,112328623.01762976
2022,6.367448548132178,0.8304387571289849,2994.3984121621525,0.5191983596929338,-14613.924467801482,2.71770596632874,11.662816969174893,3.900451165155242,203062512.0,,0.7310204007359983,786.865,11.896986554874037,132793918.27266905,3525212.5369577277,43.7634032268511,111974021.59133136
